milliseconds,S,ES
0,-0.07973759166898042,0.10725112820164377
100,0.17779782031563526,-0.19421482178115906
200,0.06344092510813124,-0.09020683904658564
300,0.37970082543482775,-0.4280173807588011
400,0.4784307553776778,-0.3318015763045231
500,0.44938515318039046,-0.4159422941342791
600,0.5614012148255306,-0.6146220752911774
700,0.7159909023559684,-0.82060869794504
800,0.7796163207317585,-0.898903187636362
900,0.9418229310588023,-0.970633604721874
1000,1.09458843983425,-1.0735514389963816
1100,1.1673824592654989,-1.1192528751538786
1200,1.1905038237122327,-1.114510508846366
1300,1.2416484561748602,-1.2705877662204685
1400,1.5011672841715564,-1.2617517429384968
1500,1.4845621403374443,-1.598250431483667
1600,1.6990636393284921,-1.6018844638875525
1700,1.6714660028716772,-1.6288097058654762
1800,1.8819234581723645,-1.6414326393475083
1900,1.7547689840211045,-1.9395910132975531
2000,1.822048612672552,-2.0526114212923168
2100,1.978119129297784,-2.07277463823884
2200,2.2342172977703734,-2.2460203828064955
2300,2.221469036008414,-2.32184084476823
2400,2.247310935414275,-2.214423525818916
2500,2.3660305646836135,-2.469201659338274
2600,2.5933416034302303,-2.546411294910417
2700,2.55675562897064,-2.520865260068546
2800,2.743934939264718,-2.7733085572924443
2900,2.7316106874852357,-2.924940782002469
3000,3.0265698876820526,-2.9198270658962815
3100,3.1212894415734094,-2.882083299653107
3200,2.9370260568289557,-3.019478556598756
3300,3.228999622794203,-3.268386077966655
3400,3.2859036107197848,-3.3522228530116784
3500,3.320703653569412,-3.4178790322467982
3600,3.4651121413843677,-3.550922549270531
3700,3.615964621607692,-3.4333862434223095
3800,3.6630281560366167,-3.498397905587116
3900,3.6861679174677104,-3.617633925353113
4000,3.9020381247136555,-3.755036708137728
4100,3.7843454828464043,-3.936601393103569
4200,3.946766152214966,-4.028724062848758
4300,3.984526523247063,-4.053413432417142
4400,4.304290469635412,-4.231146321280148
4500,4.166590870909306,-4.364218401054692
4600,4.21206623025214,-4.381425470936759
4700,4.417788403035149,-4.385360460106265
4800,4.465088000009009,-4.4462396811817815
4900,4.492527158871379,-4.597505634563822
5000,4.645889301930989,-4.805935495904732
