milliseconds,S,ES
0,0.01813703599989961,-0.06964411459189855
100,0.14402068977084176,-0.04125919141130229
200,0.11233815978025356,-0.29672294641051744
300,0.4185427173930316,-0.3804770945650301
400,0.28412513945852885,-0.3187676205949239
500,0.6235497626458824,-0.532020496178857
600,0.5778809039237283,-0.6687669259639216
700,0.590109597120835,-0.6078412233763986
800,0.8676312444835668,-0.7526165445943956
900,0.8555704192103037,-0.7851597442724956
1000,0.920767421121963,-1.111444799544451
1100,1.1765477486944629,-0.9875796848780252
1200,1.2890461830203432,-1.0789458360417705
1300,1.4121917321696442,-1.2700137082106298
1400,1.2762070437552995,-1.301295094465849
1500,1.3798161277464442,-1.5513679070325255
1600,1.7074826332003536,-1.5535929536331212
1700,1.7734264354423785,-1.7291375485219356
1800,1.6556246681863238,-1.6237150759557994
1900,1.99208749768459,-1.9749104654776137
2000,1.851153334680627,-1.8983560721009767
2100,1.9540948928561859,-2.0915810214019555
2200,2.1431432496451466,-2.011687010271327
2300,2.1073709221834385,-2.1463337783825813
2400,2.4651493670307585,-2.454545617706694
2500,2.4783549787284964,-2.4708006310343062
2600,2.451067631773345,-2.512819980611472
2700,2.5934875059115297,-2.6961511871916315
2800,2.7128214846256227,-2.654674353016791
2900,2.908841818881669,-2.771339603025782
3000,2.9134016673990484,-2.8363418918885426
3100,2.9582675517540418,-2.96531232833413
3200,3.094486941063743,-3.148501121187457
3300,3.181194207140954,-3.3005474631564535
3400,3.1915567932652085,-3.146665054213457
3500,3.489299968025222,-3.3434766442155786
3600,3.50421698729189,-3.3367635621463654
3700,3.563316611079699,-3.5786704045730207
3800,3.6338848112204927,-3.5930253287076184
3900,3.5932799753650686,-3.7300843606783265
4000,3.677036277479382,-3.8912677327037435
4100,3.9898671349897787,-3.8298922395379695
4200,4.009879005553556,-3.9982342432920226
4300,4.188649327627247,-4.006378042984267
4400,4.116127584082905,-4.19430368515478
4500,4.337671120090921,-4.200360230224035
4600,4.411888107864817,-4.382712138179927
4700,4.496198446627231,-4.556428485694207
4800,4.58848583361971,-4.445909900793119
4900,4.724117231823022,-4.607848611744823
5000,4.611645202897584,-4.815079851782279
