milliseconds,S,ES
0,-0.06573215072260416,0.0413502806793009
100,0.23296589950515972,-0.061047574480875264
200,0.10568130339364036,-0.1050132231853246
300,0.4213659350350603,-0.2869580549201035
400,0.3147659731100558,-0.29484240637631837
500,0.4821977899147741,-0.48246237532065656
600,0.551964947573796,-0.6800047846512373
700,0.7773509976031553,-0.8125872627052462
800,0.7813430723187912,-0.807494366609549
900,0.899587199851971,-0.7812618959607543
1000,0.8662166002781406,-1.0982644978537939
1100,1.0308315414968952,-1.1282818771737135
1200,1.180498950601241,-1.1636070519687725
1300,1.401533969623666,-1.2566315579280996
1400,1.4952234749138507,-1.4645548626622171
1500,1.501907166048064,-1.5809420419810798
1600,1.5425814908582578,-1.6164918120928504
1700,1.7914975388734398,-1.7081172940468068
1800,1.750748423127217,-1.6689866972713923
1900,1.8973353216640576,-1.7700272298116564
2000,2.0040729496196645,-1.895284084268754
2100,1.9817925234565763,-2.0509501389602005
2200,2.199822370845645,-2.108569363114079
2300,2.276105355434157,-2.3653166319335894
2400,2.2491968427781437,-2.3534446990975937
2500,2.3162539876440635,-2.371015594624932
2600,2.4400329629268223,-2.5824292439357994
2700,2.722643937282957,-2.617791478679376
2800,2.575786315660716,-2.6811975400045025
2900,2.890511308435028,-2.7684579567379113
3000,2.7632395952856985,-3.0119919207065027
3100,2.9784191792565804,-3.0530069742570634
3200,2.9552687778831803,-3.0162502276848553
3300,3.0812965105745502,-3.2688822335049594
3400,3.272389226752082,-3.3865936994685377
3500,3.3179089176052265,-3.307946727169456
3600,3.532741135349009,-3.3847236282971846
3700,3.4544876870119507,-3.401305874074085
3800,3.5501656269508164,-3.513163987917891
3900,3.7978011477892912,-3.813754632813513
4000,3.7962395764504273,-3.8861765713574967
4100,3.9311166877354284,-3.8932030112890197
4200,3.864492565971115,-4.095821172250548
4300,4.015060645956967,-4.003679324542745
4400,4.198561309293723,-4.24145005178419
4500,4.34040127138341,-4.291790979262777
4600,4.276594974691876,-4.352684365466792
4700,4.465429103262858,-4.4085831429658615
4800,4.639850175446628,-4.386670952876507
4900,4.493102326087514,-4.726858925848066
5000,4.706447166404622,-4.828642261564235
