milliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
0,1.0042116556480766e-08,1.9991992984844504e-07,9.38097805800275e-11,-6.81933762885936e-12,3.084767280902675e-12,2.913532511738938e-10,-8.854564283265836e-13,4.15550707791856e-11,-8.720684297174659e-12,4.3383483499499295e-14,4.421953831549321e-14,-3.553994443184594e-15,3.311652253697387e-18,-7.654374960007651e-15,2.1481896947905386e-14,-2.7645156601096305e-13,4.4370936336120687e-13,4.654023439524502e-15,1.5465884146317757e-16,1.2834966453413022e-18,-8.983888849301408e-20,-1.1602908139472797e-19,-1.6055551436507482e-14,9.042098161017598e-16,-1.694966297970987e-13,2.5056769375480723e-12,-1.911383966817715e-16,1.0848181511958197e-15,-5.855921529586986e-13,9.827046070530764e-14
100,1.7196367961239753e-09,1.9125752772534376e-07,7.826367199761135e-09,1.1035269710270515e-11,3.296117091221125e-11,1.9310723256522024e-10,5.491680560257058e-10,4.259731155895774e-11,-4.7839527487641364e-12,-2.1320051899586423e-13,5.889380142059099e-14,1.7188357262254247e-15,1.7473883838570818e-15,1.4545410808812316e-14,-1.9287842236112192e-15,7.230413361005856e-13,3.176924222534088e-13,-4.433811371639319e-15,-5.559543442013775e-17,3.339117652807022e-18,6.767260977074397e-20,-1.5854875909970405e-19,1.673838151021952e-14,-7.58541469341254e-17,-6.158772281606505e-13,-3.935176140759446e-12,1.8332253504591782e-16,1.6709766081823903e-15,9.863525013240802e-13,-1.140532587927224e-13
200,4.3743702179509825e-10,1.903861326903374e-07,8.01889542662628e-09,1.1464393093258282e-11,7.637626063451573e-11,2.029569403511802e-10,1.1421451540792752e-09,8.626990049930088e-12,2.192924073979393e-11,1.3911639232887317e-13,6.051725720185346e-14,-7.354122962737635e-16,3.138425694181552e-15,2.5087547197828465e-14,1.914614240579176e-15,9.293208523022545e-13,1.0634203138682126e-12,1.1162871354301086e-14,9.642672399643602e-17,4.439102325722634e-18,-7.974870732044187e-20,3.9850658910155603e-19,6.708642872493756e-15,1.348954527368942e-15,1.2325926468722173e-12,2.650603164308911e-12,-2.6714455889982964e-16,2.4178325030471334e-15,2.1999986039406835e-12,9.398186566851584e-13
300,3.7621179724798886e-10,1.8984511928829227e-07,7.591839787672851e-09,5.011630328477692e-12,1.0877584707697818e-10,1.953457341365095e-10,2.0180983511250283e-09,3.7132663140809506e-11,3.0170032560615014e-11,-6.274146747077538e-14,4.034652342067861e-14,2.630453973059241e-16,7.434239235950632e-15,2.6550702069822812e-14,-1.6609030677941804e-14,1.3213017601961417e-12,8.228959812167691e-13,-4.785900664502406e-15,-3.556752294294809e-16,-3.5175038550858815e-18,6.623752424700753e-20,-1.988952223863449e-19,-2.6792160417938288e-15,6.290940377310262e-16,-2.6985145817992106e-13,-3.05271278677548e-12,9.817958708594014e-17,1.6599877491049014e-15,-2.7361333259102637e-13,1.4558677855934122e-12
400,4.6213786632689264e-10,1.9024292457169833e-07,7.0267935050185504e-09,2.092935462462985e-11,1.3367384585755079e-10,3.7031207348709666e-10,2.550871721705194e-09,-3.406191070781953e-11,7.132637852737743e-11,-1.1463201312925674e-13,2.5393539538451353e-13,4.271571128373843e-15,1.2218855973766184e-14,2.2692165092971423e-14,-8.693989141935131e-15,1.533634620085305e-12,1.2369791853551281e-12,-5.1946632208461504e-15,-1.6925792929557447e-16,1.7650113121104535e-18,-7.027951241098421e-20,-1.2479970377624524e-19,2.1202142470449854e-14,1.1786245467578006e-15,1.4522868282246964e-12,1.4661695823079577e-12,4.528357531288879e-16,-8.452846033485837e-16,1.8772027731044636e-12,1.1576911038621983e-13
500,4.135184375057907e-10,1.892002438604792e-07,6.563286260550296e-09,2.8253114399858214e-11,1.5407729919314463e-10,4.151941553033621e-10,2.9159995981610168e-09,-2.1327876808789467e-11,8.649995959213534e-11,2.3195506867262926e-13,3.558500562995558e-13,4.2038045260607104e-15,1.8195324136896596e-14,-2.3110718938050572e-14,-4.614979888917187e-15,1.821280936326938e-12,1.2707083582918558e-12,8.165574612884178e-15,1.0890504351038426e-16,-7.041635338869558e-18,-1.1427345859953505e-19,-2.4918482051568835e-19,2.3809514897960205e-14,-3.847393459814302e-16,1.2497500852617222e-12,1.4416910469735443e-12,-1.0491499575769058e-16,-3.0761993129493157e-15,-1.378202537733677e-12,2.022605074432386e-12
600,4.389689754949668e-10,1.892713115622826e-07,5.906625352755618e-09,2.809966474029856e-11,1.646009499472054e-10,8.28040787486942e-10,3.3705737665227617e-09,2.2894278559295033e-11,1.242184378572491e-10,-1.6286004023296667e-13,5.11992604220244e-13,5.674229142533569e-15,2.2052946109255267e-14,-1.4376945590005115e-14,3.0703832961086383e-14,1.6862834692869474e-12,2.193490564658017e-12,-6.334172753545156e-15,-2.1100450606026747e-16,2.6993645695774237e-18,-4.065691133131136e-20,-6.171258185919429e-19,1.2159071482265885e-14,6.817728972256767e-16,1.4028239227037486e-12,4.536059962903587e-12,-4.9605573402798837e-17,-3.72915800249128e-16,-2.6553609885494017e-12,1.6964029762930626e-12
700,4.878022461459145e-10,1.8983751023887587e-07,5.661126814390107e-09,6.378310669270956e-11,1.7531734799276668e-10,7.40927915158177e-10,3.540096601525029e-09,2.163193058753855e-11,1.530452619685984e-10,1.719317180579274e-13,6.269269741867985e-13,4.702279007251297e-15,2.7419257976021578e-14,3.903212390121756e-14,5.635941339310162e-14,1.9354779588193466e-12,2.6296600683544697e-12,1.0727610667416344e-15,-1.242104819717088e-16,-1.642610202389793e-19,-2.2427761173835565e-21,-5.622559364017077e-19,1.503167493353149e-14,8.440841992566171e-16,3.718449842398759e-12,3.8455313599721894e-12,2.5990168430221524e-16,2.8546605719015342e-15,3.413043141083888e-12,2.8034650127644255e-12
800,3.8942122353126675e-10,1.8898630018789914e-07,5.389895932091093e-09,5.288805323832007e-11,1.78559363950776e-10,1.0219365196931024e-09,4.003631261837196e-09,-8.713474558570954e-12,1.62793986061013e-10,-3.443165532836553e-14,8.258886571093181e-13,1.087728384123282e-14,3.0402138472380034e-14,-3.096703680655774e-14,4.4271335656376004e-14,2.258678885260227e-12,2.4466963745846475e-12,-9.088750299239951e-15,7.342134306503899e-16,4.214112247314024e-18,1.0310596068107651e-19,-2.407871733217847e-19,1.8879065815163376e-14,-8.516705425128843e-16,4.071366125295635e-12,-9.291731761880367e-13,3.6251922228687327e-16,-6.779026829961972e-16,4.5577884069719116e-12,3.327996946074269e-12
900,4.130664076603778e-10,1.8850484052333108e-07,5.0973894332266046e-09,7.585095234904305e-11,1.817447070320848e-10,1.4014657290597489e-09,4.031523434472984e-09,4.782099591155641e-11,2.2095539457460858e-10,7.75709882384299e-14,1.0146678625875011e-12,1.0864487481797792e-14,3.5644307110678934e-14,3.250827106303503e-14,3.7663967963709116e-14,3.292707075447633e-12,2.4512673641681717e-12,2.5643166060040522e-14,4.433162130623142e-16,3.4465105652621226e-18,1.3251617178992072e-19,-2.682738012077386e-19,4.791487572768399e-14,-5.859910700421012e-16,5.090773061553491e-12,-1.4501138286294326e-12,7.272517589880478e-17,-9.735040087199888e-17,-1.5153989291999788e-12,3.280696085719299e-12
