milliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
0,9.963770643504427e-09,1.9980474596145872e-07,-4.201972616885131e-11,4.26812042315192e-12,-1.984234076457618e-12,-3.897325020934509e-10,7.677325573163383e-11,3.288395740275274e-11,6.044395469440156e-12,1.3928131641729124e-13,6.14650791487061e-14,3.0505949634712085e-15,1.6607937528136673e-16,2.6408652071121715e-14,-6.116719002491893e-15,-3.274402521973947e-13,1.432633216525769e-13,1.7065532382138605e-14,-3.5685240177490093e-16,-6.303540911266186e-18,-6.808416884079468e-20,-4.80991518289788e-19,3.4002679742993573e-15,-1.0007241035908142e-15,3.6883205961716094e-13,-4.13907675568745e-12,2.551722091459665e-16,1.816360966362856e-16,-2.266263694879685e-12,-9.78430352187298e-13
100,1.637282296658187e-09,1.9114501554440264e-07,7.921413773919589e-09,-3.548961862770532e-12,2.9724679830898455e-11,-5.455995194337793e-11,6.180635794907012e-10,-3.103384901491119e-11,1.0408966491524147e-12,9.8996598463041e-14,-8.578166833275792e-14,-1.797185866748196e-15,1.2487759550193386e-15,-6.793767475817819e-15,1.9662552555573007e-14,-6.308213256897194e-14,2.8113087611369594e-13,1.0444597279684172e-14,4.730844467518185e-16,3.423608259491738e-18,-1.3416825363701556e-19,-8.312752159208251e-20,-3.3943556695835337e-16,-1.281574610478757e-15,-1.2664514752402182e-12,3.382714835848038e-12,-3.317376138895231e-16,1.8167697887427022e-15,4.812606656967556e-13,-9.485685280585852e-13
200,5.359143614271425e-10,1.9101064591697447e-07,8.140497553655512e-09,1.3238901795781609e-11,7.353419006887952e-11,-5.563075995099184e-13,1.2985861488571739e-09,2.2959857140615876e-11,1.645844067204619e-12,-2.4996919663670204e-14,-4.924093056486904e-16,2.7024572741195187e-15,2.5396067566867038e-15,3.698906430573195e-14,-1.3682733777588476e-14,6.737466215512171e-13,1.055139701627912e-12,-7.353802776038729e-15,9.911967284646836e-17,-7.42643058261339e-19,-1.1187154286082958e-19,3.089380540238351e-19,-7.485347096237323e-15,-2.669772139083778e-17,-8.888056875530949e-13,1.1896032627897208e-12,1.5229814425547527e-16,3.1125950959809693e-15,-4.029821449840514e-12,9.278822162257289e-13
300,5.077119444248363e-10,1.9006312321839002e-07,7.53659896351965e-09,2.4951859235864954e-12,1.060933272028606e-10,4.2137800293200716e-10,1.953610611252669e-09,3.8602962452485436e-12,5.02829138485318e-11,-2.0971751496716078e-13,2.24109255595934e-13,3.8878449773337886e-15,7.149130585023539e-15,-1.7974254729998786e-14,-1.5247665088565854e-14,8.875184046650796e-13,1.0665112877043827e-12,-1.1649454909615392e-14,8.062990536832898e-17,1.0812199513237182e-18,-7.292159381668501e-20,2.5280359952070337e-19,7.46011493789871e-15,1.397557403702847e-15,1.5942720955689928e-12,-3.5118936185021065e-12,-2.6553087013166585e-16,-2.3577860985442762e-15,7.083644961245707e-13,9.034815398372269e-13
400,4.5771246935840036e-10,1.9018045347499533e-07,6.955987868023026e-09,1.6952469694736657e-11,1.35976471441782e-10,3.567995856452051e-10,2.475900317575621e-09,-2.206554693336334e-11,6.839225423321394e-11,-1.8326781642970071e-13,2.895492744513985e-13,-2.0741546695166286e-15,1.0888882531807686e-14,1.6625435839578722e-14,-8.868098570038707e-15,1.1442371201912761e-12,1.6448626801876273e-12,1.1949911493099962e-14,2.1696442138905712e-16,3.538431041675993e-18,-1.6117424210330344e-20,-6.533880655342996e-19,8.813666737096411e-15,1.1048772739222324e-15,5.971882279525937e-13,-1.5650786752246731e-12,-8.645085756874723e-17,-2.5690913744434214e-15,-9.770506689014948e-13,1.6606505192019864e-12
500,3.358083845458893e-10,1.8981872603004301e-07,6.419648076913051e-09,3.7300727796592626e-11,1.5268185214485907e-10,7.351375007382033e-11,3.0409379467193974e-09,2.9120807649783194e-12,9.60139363196203e-11,-1.3299581362157082e-13,3.5124685686901165e-13,4.099321186114054e-15,1.5589142048177802e-14,-3.082904697753881e-14,7.929842583563613e-15,1.2241417932829201e-12,1.547503436375867e-12,-1.0578843835452724e-15,-3.4554414184009116e-16,-6.887176921851558e-18,3.91628672755996e-20,-6.581813496966007e-19,2.376563979969447e-14,1.2071514185311606e-15,-1.620211779798364e-13,-2.589059504129235e-12,-3.1450058531115926e-16,-2.3999204270894394e-15,-1.0287128529718469e-14,1.125131795203476e-12
600,3.567111647341502e-10,1.8956400307772398e-07,6.044509092509293e-09,2.9258806440635564e-11,1.6424353538227899e-10,3.2699945447994417e-10,3.366854841983265e-09,1.2713774315939597e-11,1.266872700020253e-10,-1.1857265121655714e-13,5.52953831952068e-13,5.2230060191955815e-15,2.0493012520679597e-14,3.7046000851661786e-14,4.036924813474868e-14,1.6869501284118416e-12,2.3449906961936433e-12,-5.698872803665846e-15,-1.1082609467897506e-16,6.190361111673305e-18,6.497065223522262e-20,-2.686400003436446e-19,3.61650977550054e-14,-1.13246096149874e-15,3.014200061417794e-12,3.5785132464183493e-12,5.447772450178552e-16,6.662991136909931e-16,-3.489468495841567e-12,1.7292089718155763e-12
700,3.386906305930412e-10,1.8928178804623687e-07,5.76836838525621e-09,5.910081179550874e-11,1.7169702490821058e-10,7.764247731734587e-10,3.6781487463599663e-09,1.7905316742234867e-11,1.2518707522948845e-10,8.354438043362483e-14,5.505557393556873e-13,6.3349831817734805e-15,2.6378370807343282e-14,3.4037705667124215e-14,3.4093993295630266e-14,2.0631561158353534e-12,2.578173536821377e-12,2.2009770437602328e-15,-2.341923752497761e-16,4.034158424792205e-18,-2.79131894317699e-21,-8.484717802871384e-19,3.9062584860386187e-14,4.071802970839128e-16,1.3851484050401576e-12,4.634627018118765e-12,5.986306024050343e-16,2.7269788035585032e-15,2.8073927029697296e-12,1.7641383710177515e-12
800,3.798965217374084e-10,1.8914952386459897e-07,5.403051095101906e-09,7.506720651874189e-11,1.7711990487991358e-10,1.6307209717470438e-09,3.8683103282167254e-09,1.5965111519436104e-11,1.8581741707392284e-10,2.5361556888053066e-13,8.101022342059897e-13,4.457824795749639e-15,2.9462126858059093e-14,-1.3493059721497503e-14,7.097679139520979e-14,2.387456824940702e-12,2.4618884962991928e-12,1.9904077365302856e-14,5.861923604047254e-16,3.2413585849461647e-19,-1.2358647536568014e-19,-6.210130974634704e-19,3.0533798064756495e-14,5.253376825063008e-16,2.8981526941606587e-12,4.0438099753460203e-13,4.747425224881885e-16,9.791236816343454e-16,2.1148355997335487e-13,2.9852469924187535e-12
900,4.344733894764233e-10,1.887307649436072e-07,4.992041230539096e-09,8.094013130635332e-11,1.8293788247608545e-10,1.3933222574847965e-09,4.223398190953145e-09,8.661160002501759e-11,1.9410603102678742e-10,1.3711929761140786e-13,8.275971242756708e-13,1.088037945077413e-14,3.4734878392434716e-14,3.0561662602869796e-14,4.529971236768001e-14,2.6795284407239828e-12,2.604561679394393e-12,5.59170026256775e-15,4.349307944198409e-16,-9.292584874998697e-19,1.2089104531919795e-19,8.927711682004147e-21,2.5707946969029285e-14,1.1492563493271418e-15,4.54580241355226e-12,3.3173304376193004e-12,3.283724058730587e-16,3.505643621359195e-15,-2.4296163687229882e-12,4.09698265998886e-12
