milliseconds,TGFb_R1_surface,TGFb_R2_surface,TGFb_R1_endo,TGFb_R2_endo,TGFb,TGFb_In,Active_R2,Active_Rec,Active_Rec_endo,Inactive_Rec,pS2_c,S2_c,S4_c,pS2_pS2_S4_c,pS2_pS2_pS2_c,Smad7mRNA,S7,Smad7mRNA1,pS2_n,pS2_pS2_S4_n,pS2_pS2_pS2_n,S2_n,S4_n
0,16.109716026084108,6.94111873244591,18.76309651441349,28.05808131868369,25.0,0.0,0.0,0.0,0.0,0.0,0.0,638.6434569983527,460.47553390898076,0.0,0.0,0.05642005114580562,12.043365220732586,0.36708251187161006,0.0,0.0,0.0,237.39868237428928,169.4174879416023
100,10.081324876457527,0.3701359659224295,18.674374137193677,27.695925231702365,24.99643872241413,0.00021694991811403247,0.8157871364508621,3.3408331486037692,0.03356210237844999,2.742840994839673,0.01814815894158006,638.5769314720691,460.451171985203,0.024302400407889023,3.5904824661211506e-06,0.05642005114580562,9.300657616434675,0.36708251187161006,0.0005976752859404288,0.00016006935805865961,1.9998569036770138e-08,237.39728866408151,169.4174469189932
200,9.627239662960234,0.3343393401771373,18.55408080798856,27.29552639936077,24.99587505346827,0.0008280467735808603,0.676709227136503,2.4642238154778844,0.06033243706720196,4.167648417860658,0.026178547993388968,638.3679076674363,460.3486072079201,0.12611586961915508,2.8953660819904004e-05,0.05642005114580562,7.876214376134098,0.36708251187161006,0.002032609795420816,0.0021491055533454633,4.333401509784313e-07,237.38646245853946,169.41696049894503
300,9.349759030075875,0.3383052638890671,18.43067132573626,26.902476084019955,24.995240417221318,0.0016205482503996288,0.663365588040002,2.2042520230447042,0.07972023998273679,4.81029663597516,0.03152765881994426,638.0661458667136,460.19499369929486,0.27760420787250045,8.092636648553606e-05,0.05642005114580562,7.2340287035404325,0.36708251187161006,0.0037998729635452476,0.007664428781340507,2.002806339082075e-06,237.36024067694174,169.41569551646253
400,9.123465233406973,0.3501488631210516,18.30569867425402,26.517373588218863,24.994565929933103,0.0025086174376229837,0.683184287496724,2.171654835359498,0.09634094305167781,5.179338220044911,0.036061600762102825,637.6940693560028,460.0019507367549,0.4666902231885353,0.00016289247469767476,0.05642005114580562,6.865499108888236,0.36708251187161006,0.005866770523774667,0.017786757428634843,5.6791747610868285e-06,237.31620599989506,169.413487082263
500,8.922677610737308,0.36498607338135064,18.1797802667058,26.140268016032934,24.99386646837094,0.0034582268817998753,0.7159365424292955,2.225222799267134,0.11189677240915649,5.439361255702322,0.040243807695705264,637.2603642415636,459.7738696296206,0.6886080595095295,0.0002796166747001704,0.05642005114580562,6.606019380893669,0.36708251187161006,0.008158619609526291,0.033416934818547885,1.2698560100827364e-05,237.2533673238286,169.41018344649947
600,8.737861355334033,0.38107797160919044,18.05328190406586,25.771106976001985,24.993148362210565,0.004453994126880548,0.7542429255670954,2.313085221305804,0.1270472764912408,5.650754313519104,0.04423726932766885,636.7685468867562,459.5125439813248,0.941224315655458,0.0004367778878619305,0.05642005114580562,6.395193371919013,0.36708251187161095,0.010610000796365865,0.05536060662318198,2.4671684320996294e-05,237.17131833404525,169.40565855899501
700,8.565014947807219,0.397725818727449,17.926468177400906,25.409801853597113,24.99241462867804,0.005487870986886992,0.7951525192443947,2.4150073423481118,0.14205674794524453,5.837228868485805,0.048109424648301286,636.2201045084131,459.21876176455976,1.2234280583909938,0.0006406591581634642,0.05642005114580562,6.2093060261920305,0.3670825118716165,0.01319029454037986,0.08435607226026373,4.365238424651097e-05,237.0699070590862,169.39982004141706
800,8.402272869782378,0.4146309759804679,17.79955649636322,25.05624981992329,24.991666951945785,0.006554883241661956,0.8374181844942877,2.522795498293944,0.1570325790487694,6.008520964020879,0.05189422570722012,635.6157160297273,458.8929133664419,1.5345158487793964,0.0008979788620780471,0.05642005114580565,6.038619318335118,0.36708251187164226,0.015884308728819806,0.12109927209237463,7.220150601426053e-05,236.94910021718619,169.3925980570438
900,8.248635521341068,0.43165638350655006,17.67273831356349,24.7103422890062,24.990906454384255,0.007651443866662061,0.8804778772284769,2.633032982774391,0.1720177268233314,6.168812551942523,0.055610886180780146,634.9557433303637,458.53523266858997,1.8739479626381934,0.001215806039327198,0.056420051145805755,5.878949984981778,0.36708251187173935,0.018682008820564214,0.16625531622076659,0.00011344940851579986,236.80892589564007,169.38393918090168
1000,8.10346286094577,0.44873124425091493,17.546187958611707,24.371968322097413,24.990134007946963,0.008774653533029782,0.9240490293341597,2.7442264188204835,0.18702804598104167,6.320045689505363,0.05927090617711205,634.2404367609956,458.1458973173815,2.2412471105799594,0.0016015140682896542,0.05642005114580615,5.728354953467102,0.36708251187205426,0.021575668973309592,0.2204626393066282,0.00017115585873466257,236.6494482390196,169.37380426434896
1100,7.966269946210031,0.4658124028792191,17.42006644530534,24.041015976116473,24.989350360229185,0.009922003068079138,0.9679651226338404,2.8556722838049535,0.2020674532503411,6.463241699073136,0.06288354290819208,633.4700227033192,457.7250726303451,2.635954235741362,0.002062740601314837,0.05642005114580741,5.585812030639395,0.3670825118729609,0.02455894251119652,0.28433459627532387,0.0002497669349067983,236.47075600734107,169.3621674311305
1200,7.8366429514843645,0.4828684596290433,17.294523223292714,23.717372823990978,24.988556186578364,0.011091239176256243,1.0121087655037078,2.966997121913917,0.21713424506703832,6.599036989297798,0.06645400885761256,632.644742894055,457.2729292442792,3.057610882996262,0.002607372554594359,0.05642005114581095,5.450684019095782,0.367082511875329,0.027626305661469407,0.3584601015543289,0.00035447154691518174,236.27295725286356,169.34901540347346
1300,7.714204414641553,0.4998732170843379,17.16969708899265,23.400926142089883,24.987752112145497,0.012280298244274353,1.0563841548470339,3.077969085621472,0.23222380758768768,6.727902733734653,0.06998691495134413,631.7648733199222,456.7896538512788,3.5057486252526546,0.00324352682054766,0.05642005114582027,5.322499012175241,0.3670825118810348,0.03077287920904477,0.44340375294208745,0.0004912568824563407,236.05617681690694,169.3343470535737
1400,7.598598770248228,0.5168030024550754,17.04571682074391,23.09156297179197,24.986938721896028,0.013487268533633277,1.1007057948111316,3.188419847425901,0.24732984632068145,6.850235638666001,0.07348579123530113,630.8307337585421,456.2754536279053,3.9798848255094197,0.003979516873046219,0.05642005114584289,5.20085961430781,0.36708251189386026,0.03399423076414394,0.5397059903907547,0.000666956381414589,235.82055509277208,169.31817286235835
1500,7.489486644512951,0.5336356475977624,16.92270156882791,22.789170136908147,24.98611656513249,0.014710367399666156,1.1449941283656888,3.298212904335083,0.2624449721163741,6.966394428946141,0.07695311109896924,629.8426934866216,455.7305591800789,4.47951997464283,0.0048238513931570205,0.056420051145894407,5.085406449934567,0.3670825119210453,0.037286272631541315,0.6478828461023216,0.0008893044064286085,235.5662476531726,169.30051460403266
1600,7.386542515018699,0.5503501236534707,16.800761257734464,22.493634256505764,24.985286158240974,0.015947923982050322,1.1891738935469087,3.4072301101138294,0.2775610363452016,7.076714979951811,0.08039091847983626,628.8011745202796,455.1552266274884,5.0041358810201535,0.005785201615387528,0.056420051146005394,4.975803028513507,0.36708251197582337,0.04064521083511677,0.768425801238355,0.001166984018827748,235.29342514386536,169.28140494132285
