milliseconds,G,M,C_T,T_beta,I_gamma
0,100000.0,100000.0,1.0,5000.0,9000.0
100,100088.70287707553,30.709226940727913,0.9954100523635984,7067.197505981333,8908.66660236367
200,100177.47612088203,15.599129151922922,0.9908385341657489,8100.948406420813,8818.260070286244
300,100266.3180757458,10.563095364569733,0.9862853840921423,8617.899964464892,8728.77099779124
400,100355.22873886554,8.046023225796386,0.9817505409824778,8876.41590379918,8640.190074355454
500,100444.20813406534,6.536827451776002,0.9772339438261941,9005.690335222082,8552.50808394045
600,100533.25629164388,5.5315068621900725,0.9727355317619031,9070.336949181225,8465.715904033475
700,100622.37324423231,4.814070660508766,0.9682552440771114,9102.665327439046,8379.804504698479
800,100711.55902549434,4.276634647720173,0.9637930202080157,9118.831861862007,8294.764947636646
900,100800.81366961416,3.859167540022076,0.9593487997393221,9126.914343839828,8210.5883852564
1000,100890.13721106367,3.5257029792781336,0.9549225224040753,9130.955878523568,8127.266059752918
1100,100979.52968448354,3.253303870180877,0.9505141280834934,9132.979177345842,8044.789302196914
1200,101068.99112461826,3.02674140941477,0.9461235568068042,9133.988111227365,7963.149531632854
1300,101158.52156627616,2.835389706496052,0.9417507487510817,9134.496710369473,7882.338254185859
1400,101248.12104430716,2.6717346960936124,0.937395644241085,9134.750139071202,7802.347062178453
1500,101337.78959358578,2.5302155693739175,0.9330581837490952,9134.877431179015,7723.167633255486
1600,101427.52724900123,2.4067037838055145,0.9287383078947539,9134.940921243971,7644.7917295183925
1700,101517.33404544987,2.2980106601325345,0.9244359574448994,9134.972344902571,7567.211196668158
1800,101607.21001783008,2.201653199133186,0.920151073313405,9134.988440187382,7490.41796315676
1900,101697.15520103855,2.115691934954366,0.9158835965610147,9134.996729992223,7414.404039347405
2000,101787.16962996725,2.038578534186542,0.9116334683951801,9135.000828123755,7339.161516683595
2100,101877.25333950124,1.9690290906460892,0.9074006301698954,9135.002974754634,7264.682566866023
2200,101967.40636451726,1.9060238846634516,0.9031850233855334,9135.004103602965,7190.959441038154
2300,102057.628739882,1.848710357189024,0.8989865896886796,9135.004677988041,7117.984468980124
2400,102147.9205004514,1.7963597840314067,0.8948052708719674,9135.005017766216,7045.750058310601
2500,102238.28168106958,1.7483943447483807,0.890641008873911,9135.005227947262,6974.248693696957
2600,102328.71231656823,1.7043005034905943,0.886493745778739,9135.005363738646,6903.472936073347
2700,102419.212441766,1.6636367547754587,0.8823634238162279,9135.005473032777,6833.415421866681
2800,102509.78209146803,1.6260546970709293,0.8782499853615333,9135.005565596066,6764.068862230611
2900,102600.42130046546,1.5912231266146084,0.8741533729350225,9135.005647917424,6695.426042287109
3000,102691.13010353514,1.5588614954108773,0.8700735292021051,9135.00572770452,6627.479820374056
3100,102781.90853543935,1.5287310521024216,0.8660103969730512,9135.005807114434,6560.2231272462595
3200,102872.75663092549,1.5006298090389363,0.861963919202863,9135.005883123471,6493.648965521784
3300,102963.67442472576,1.4743712758653624,0.8579340389910647,9135.005957815938,6427.7504087768775
3400,103054.66195155695,1.449789337276033,0.8539206995815393,9135.006033058045,6362.520600859515
3500,103145.71924612042,1.4267390148146997,0.8499238443623578,9135.006108700314,6297.952755179622
3600,103236.84634310172,1.4050917639611449,0.8459434168655975,9135.006184454707,6234.040153960263
3700,103328.0432771705,1.3847331107849497,0.8419793607671872,9135.006260168384,6170.776147613482
3800,103419.3100829804,1.3655613535495925,0.8380316198867825,9135.006335706614,6108.154154239616
3900,103510.64679516888,1.3474844385237956,0.8341001381875207,9135.006411242024,6046.167658648207
4000,103602.05344835698,1.3304192538241528,0.8301848597758541,9135.006486894055,5984.810211707909
4100,103693.53007714936,1.3142908105310438,0.8262857289013853,9135.00656267623,5924.075429717948
4200,103785.07671613405,1.299031325076019,0.822402689956698,9135.006638555878,5863.956993761573
4300,103876.69339988237,1.2845793494926154,0.8185356874771782,9135.00671450007,5804.448649037993
4400,103968.38016294873,1.270878196033795,0.8146846661406282,9135.006790506492,5745.544203436761
4500,104060.13703987077,1.2578771216351887,0.8108495707675505,9135.006866571011,5687.237528586877
4600,104151.96406516929,1.24553090764129,0.8070303463210067,9135.006942676337,5629.522559346848
4700,104243.86127334766,1.233796496135214,0.8032269379057114,9135.00701884029,5572.393290489594
4800,104335.82869889234,1.2226360423425864,0.7994392907687438,9135.007095050145,5515.843779339779
4900,104427.86637627214,1.2120131305569624,0.7956673502984816,9135.007171318995,5459.868141893477
5000,104519.97433993865,1.2018948323321168,0.7919110620250425,9135.007247646992,5404.460554499735
