milliseconds,A,T,M
0,14119.902077922077,66094173.0355407,1000000.0
100,14067.608219020192,66091948.277941756,991068.7316121086
200,14016.285600104597,66085570.649008684,982215.2045758639
300,13965.924680237742,66075126.88022387,973440.5060062092
400,13916.5036726693,66060756.66311315,964744.7582508094
500,13868.000097360022,66042602.60783052,956128.0206397759
600,13820.384291186949,66020850.69708741,947590.276882597
700,13773.645593942492,65995567.583859436,939131.5133026273
800,13727.757553712898,65966916.65472883,930751.6026595884
900,13682.704916512292,65934992.51299927,922450.4892752602
1000,13638.46442861046,65899936.39340472,914227.9562709212
1100,13595.016140613285,65861870.644366965,906083.8698437768
1200,13552.340029414114,65820914.45444222,898017.9465595743
1300,13510.41572199271,65777190.91939573,890029.9730080864
1400,13469.225038434008,65730806.20584482,882119.608178942
1500,13428.748729321667,65681874.55503896,874286.5658077878
1600,13388.969635924335,65630494.475278825,866530.4583372009
1700,13349.869764956577,65576770.72675816,858850.9373256699
1800,13311.4332046091,65520792.1635293,851247.5488339524
1900,13273.643291384622,65462653.39132862,843719.8770840047
2000,13236.482908177513,65402452.47698874,836267.5292443346
2100,13199.936323681737,65340276.851028234,828890.043910142
2200,13163.989528839715,65276200.70755448,821586.8748902575
2300,13128.62607255068,65210317.0079431,814357.5962436902
2400,13093.830673757024,65142709.721001916,807201.7244319224
2500,13059.590458263294,65073444.50841908,800118.6713677783
2600,13025.890671169744,65002601.30481292,793107.9283922515
2700,12992.717530426262,64930252.63435272,786168.9438302693
2800,12960.057771728078,64856467.34648904,779301.1592836237
2900,12927.898527392264,64781311.36642383,772504.0045638371
3000,12896.227131429203,64704848.78523828,765776.8824313616
3100,12865.03129479494,64627141.05183519,759119.1924141529
3200,12834.298520170487,64548251.94950228,752530.3850002452
3300,12804.017273879095,64468237.18756599,746009.8271314756
3400,12774.176132307452,64387151.982424594,739556.9001726058
3500,12744.763587629393,64305052.68246991,733171.014777445
3600,12715.768556330044,64221992.377610624,726851.5618347035
3700,12687.180426099925,64138020.49439971,720597.9079444109
3800,12658.988682903246,64053186.02877838,714409.431597003
3900,12631.18282796445,63967538.29526533,708285.5316947574
4000,12603.75295699394,63881121.8269124,702225.5701091322
4100,12576.689304596573,63793980.38675772,696228.9168624406
4200,12549.982167588903,63706157.700404085,690294.9589937221
4300,12523.622229476474,63617694.502992995,684423.0662697988
4400,12497.600417287167,63528629.84214586,678612.6063143268
4500,12471.907800482777,63439001.990942605,672862.9546270528
4600,12446.535586653928,63348848.48467146,667173.4948089699
4700,12421.475376336126,63258203.82517577,661543.5938468176
4800,12396.718933962084,63167101.54435832,655972.624329216
4900,12372.257756138815,63075577.94453315,650459.99814086
5000,12348.084095581711,62983663.18270357,645005.0841021249
