milliseconds,Susceptible,Infected,Recovered,Confirmed
0,5999755.0,60.0,0.0,0.0
100,5999747.383408856,61.487835828959476,0.6074088520445206,5.521346465084691
200,5999739.577958233,63.0125556658645,1.2298796930230809,11.179606409579804
300,5999731.578961449,64.57507440890015,1.8677863372932928,16.97817780599603
400,5999723.381621226,66.17632852382967,2.5215114222756716,22.92053882848585
500,5999714.9810212655,67.81727768924816,3.1914470808497826,29.010253964924523
600,5999706.37213056,69.49890395407746,3.8779945972365018,35.25097088887979
700,5999697.549790682,71.22221421566138,4.581565421395997,41.646429680489604
800,5999688.50870903,72.98824153568056,5.30258170799216,48.20046772564873
900,5999679.243459797,74.79804494819243,6.041476239278138,54.91701901503825
1000,5999669.748480509,76.65271012902154,6.798692701853093,61.80011665984459
1100,5999660.018076241,78.55334858643425,7.5746853491008075,68.85388982332631
1200,5999650.046418744,80.50109782818419,8.369919071095824,76.08256435626102
1300,5999639.827507428,82.49712893897824,9.184872510657785,83.49049112187922
1400,5999629.355182307,84.54264406625875,10.020037029373556,91.08213659700557
1500,5999618.6232094215,86.63885983184818,10.875909885597759,98.86202086008356
1600,5999607.625192919,88.78702440586297,11.753001256139298,106.83478141830615
1700,5999596.354525624,90.98842711499137,12.65183818237663,115.0052090778035
1800,5999584.80442555,93.24439134802313,13.572961655236995,123.3782214461042
1900,5999572.968016896,95.55625881495006,14.516920147461546,131.95880414042537
2000,5999560.838149022,97.9254247354692,15.484284067539127,140.75214217393057
2100,5999548.407581176,100.35330192469756,16.475631010764257,149.763485887847
2200,5999535.668861928,102.84134423422469,17.491555385170024,158.9982384511954
2300,5999522.614327934,105.39104679297286,18.53266851061803,168.4619567615178
2400,5999509.236184926,108.00393026037628,19.599592151931233,178.16029266105477
2500,5999495.526366604,110.6815682503641,20.69296978639813,188.09909535835888
2600,5999481.476652441,113.42556444172229,21.8134571968874,198.2843259197063
2700,5999467.078652208,116.23755558411005,22.9617237073502,208.72206849981313
2800,5999452.323780451,119.11921645737064,24.138454221083492,219.4185488696488
2900,5999437.203097793,122.07229068794491,25.34436189478106,230.38024962355968
3000,5999421.707547606,125.098544789243,26.58016923730573,241.6137383671089
3100,5999405.827912991,128.19977651573706,27.8466115454099,253.12569894777582
3200,5999389.554735959,131.37783055718126,29.14444335814142,264.92299012550535
3300,5999372.878174578,134.63462626223097,30.474449867116018,277.0127492920845
3400,5999355.788221988,137.97211512911727,31.837429423431963,289.4022334589964
3500,5999338.274709724,141.39228016041147,33.23419327213955,302.09881684374835
3600,5999320.327179985,144.8971606545949,34.665575754248714,315.11008360612067
3700,5999301.934836624,148.48886169035598,36.132438224553276,328.44386346118915
3800,5999283.086638086,152.16953611805303,37.635661625070995,342.10816417189517
3900,5999263.771329823,155.94137827965457,39.17614389476191,356.11114800338555
4000,5999243.977348885,159.80664249898007,40.754807593366394,370.4612010237003
4100,5999223.692828721,163.76764211561584,42.37259952067889,385.1669296429708
4200,5999202.905609685,167.82674748159062,44.03048987447547,400.2371529589817
4300,5999181.603249703,171.98638392506606,45.729471394680516,415.68089497764555
4400,5999159.7729921285,176.24903793309508,47.470561936408444,431.50740800195246
4500,5999137.40176009,180.61725821590701,49.25480492511066,447.7261767692555
4600,5999114.476154209,185.09365617544483,51.083269535781156,464.34692008025036
4700,5999090.982456263,189.68090526150945,52.957050394030205,481.3795880817342
4800,5999066.906610106,194.38174458885612,54.87726910861325,498.8343761972941
4900,5999042.234196172,199.19898385116443,56.845076310870894,516.721743665816
5000,5999016.950430393,204.1355035435715,58.86165174067985,535.0524143227793
