milliseconds,GTPgS_C,KCNQsites_M,PIP2_M,GGDPbS_M,ATP_C,oxoM_EX,GDPbS_C,GGTPMg_M,GDP_C,GGDPAlF4Mg_M,ip3_C,AlF4_C,G_M,GGTP_M,GGDPAlF4_M,GGTPgS_M,PI_M,PIP_M,PIP2xKCNQ_M,GGTPgSMg_M,GGDP_M
0,0.0,6.7,5000.0,0.0,3000.0,0.0,0.0,0.1,0.0,0.0,0.48,0.0,0.065,0.048,0.0,0.0,200000.0,1150.0,33.3,0.0,200.0
100,0.0,6.695307036872242,5000.562317457624,0.0,2999.9923173287634,0.0,0.0,0.12981662687728168,1.99464384794855e-05,0.0,0.46888637973671554,0.0,0.005622873909880073,0.07701737941051658,0.0,0.0,199998.51126475155,1147.7459330799597,33.30469296312777,0.0,200.0005431198024
200,0.0,6.691207444596395,5000.815478883694,0.0,2999.9846467995712,0.0,0.0,0.1463041990244195,3.9893175457817965e-05,0.0,0.4583938255565818,0.0,0.0047783285887546675,0.05639198093932903,0.0,0.0,199997.02254153683,1145.504218633709,33.30879255540362,0.0,200.0055254914475
300,0.0,6.687651900909662,5000.9373410037215,0.0,2999.976988346273,0.0,0.0,0.15105753703931,5.9840515734814924e-05,0.0,0.44832952656692376,0.0,0.00474252262060682,0.044906830173768716,0.0,0.0,199995.53383035428,1143.2746830821952,33.31234809909034,0.0,200.01229311016633
400,0.0,6.6845760582407445,5001.0287700187255,0.0,2999.969341903447,0.0,0.0,0.1501552762939777,7.978855322719637e-05,0.0,0.43858196600604693,0.0,0.0047289798294408,0.038775554528789793,0.0,0.0,199994.0451312023,1141.0572237476858,33.31542394175926,0.0,200.01934018934776
500,0.0,6.681913631144219,5001.136295289804,0.0,2999.9617074061166,0.0,0.0,0.14680048604185247,9.973727640236577e-05,0.0,0.42909616225784775,0.0,0.0047218274971594695,0.0355060461010427,0.0,0.0,199992.5564440793,1138.8517734700417,33.318086368855795,0.0,200.02597164035996
600,0.0,6.67960281414456,5001.278498854725,0.0,2999.95408478962,0.0,0.0,0.14260962222217513,0.00011968662755122776,0.0,0.419846146510845,0.0,0.004717988225458418,0.03376290007904195,0.0,0.0,199991.06776898366,1136.6582807471127,33.32039718585545,0.0,200.03190948947335
700,0.0,6.677588765074158,5001.460092253538,0.0,2999.9464739895543,0.0,0.0,0.13836756725990362,0.00013963653282033007,0.0,0.41082031524893015,0.0,0.004715905097339673,0.032833596558175485,0.0,0.0,199989.57910591387,1134.476699690254,33.322411234925845,0.0,200.0370829310846
800,0.0,6.675824138861795,5001.679240177658,0.0,2999.938874941762,0.0,0.0,0.1344278468986262,0.00015958691679944254,0.0,0.4020138313298865,0.0,0.004714750567142705,0.03233832715604741,0.0,0.0,199988.09045486833,1132.30698516107,33.32417586113821,0.0,200.0415190753782
900,0.0,6.674268726475717,5001.9313417913445,0.0,2999.931287582332,0.0,0.0,0.13092490897847966,0.00017953770917840414,0.0,0.3934247183014581,0.0,0.004714084566333077,0.03207449123710425,0.0,0.0,199986.60181584547,1130.1490905660314,33.32573127352429,0.0,200.0452865152181
1000,0.0,6.6728887207360446,5002.2109207232215,0.0,2999.92371184761,0.0,0.0,0.12788515571308265,0.00019948884730708948,0.0,0.38505192335912225,0.0,0.004713673609985684,0.03193407118041421,0.0,0.0,199985.11318884377,1128.0029670218414,33.32711127926396,0.0,200.04846709949652
1100,0.0,6.671655877980353,5002.512537322257,0.0,2999.9161476742133,0.0,0.0,0.1252848734681832,0.0002194402767551433,0.0,0.37689439522980944,0.0,0.004713393944945169,0.03185944014037422,0.0,0.0,199983.6245738617,1125.8685631880865,33.32834412201965,0.0,200.0511422924465
1200,0.0,6.670546699472511,5002.8311929176525,0.0,2999.908594999042,0.0,0.0,0.12307993432556202,0.00023939195093129878,0.0,0.36895068705781475,0.0,0.0047131802439167765,0.03181977086784588,0.0,0.0,199982.13597089774,1123.7458254119133,33.32945330052749,0.0,200.05338711456267
1300,0.0,6.669541688736873,5003.162468788707,0.0,2999.901053759291,0.0,0.0,0.12122018596114746,0.0002593438303001096,0.0,0.36121883140104244,0.0,0.004712998585809061,0.031798770025304866,0.0,0.0,199980.64737995033,1121.6346980046196,33.33045831126313,0.0,200.05526804542777
