milliseconds,M_T,M_P,T0,T1,T2,P0,P1,P2,C,CN
0,1.423398770743313,0.08689319667104532,0.5357625951018764,0.7727279876031675,4.789372970659891,0.020709292936613402,0.020363118030746995,0.010039603517040224,0.17826589634765125,1.193295067723809
100,1.3853797842805893,0.09434707868351747,0.527667399031479,0.7884791018263034,4.44228060246463,0.020890498013106877,0.020119974867240556,0.011212898676198567,0.17654680784621288,1.2025994550692543
200,1.37088342300382,0.09260883960292006,0.5142758174483546,0.7420860684063723,4.120915202462271,0.021022484372981425,0.02072913302825714,0.012181612628285229,0.1771787420784926,1.1926172567867928
300,1.3322210520330877,0.08908367581527808,0.5039505387897206,0.7347355623998503,3.9113995348469106,0.021427685068913467,0.020205837486958,0.012637406461629447,0.17304579212574336,1.182369774379135
400,1.2991148950336706,0.09565302298963944,0.48389078936682156,0.7378082279970553,3.745777500592636,0.023497436246547064,0.02160733665489746,0.01305852853369405,0.17026031409570683,1.1754868193403434
500,1.2763922170866182,0.0978424079004227,0.47840663288235974,0.7143423900635559,3.541452718158734,0.02384941150092128,0.020326310036990324,0.012805311439510771,0.16909983906638662,1.180279881826475
600,1.2566713734099386,0.09637062806652363,0.45279502102725266,0.6926007348980292,3.265133211523184,0.023673134812467727,0.02072629967579548,0.013712106626096112,0.16664916176236783,1.1679443122997364
700,1.2153090624485472,0.09401503248432398,0.45097736271427086,0.6654276597757238,3.055529952882573,0.02448252154829102,0.02264601167095127,0.013655006646358705,0.16563346834833118,1.1648719849660734
800,1.205265698338357,0.10270022956439472,0.4365183245874874,0.6594006876035672,2.9215734808342524,0.024676185486288155,0.02223930283565036,0.013749695102190743,0.16263976536289407,1.173462126871777
900,1.1780799802451445,0.09879523689921492,0.42499047363636433,0.6134437870096888,2.615950600071054,0.02585995041234774,0.022881693199697805,0.014607676520218974,0.16351122125411438,1.1625276726109024
1000,1.147227695218419,0.0997978876850848,0.4103354133406749,0.5873283374247127,2.2255479336281727,0.024653851858572287,0.023165000861675403,0.014232049706621324,0.16195769408480026,1.1482385941331645
1100,1.096639525730408,0.1055113713260402,0.40814435854650816,0.5965798899562023,1.9780360203649672,0.024840909892834297,0.022751440653114244,0.0147067507791927,0.15701920531261024,1.150273855052586
1200,1.084441243951785,0.10165577286526882,0.3851495367989086,0.5634063775255232,1.8599967920049176,0.0255451248392747,0.024253456299746106,0.01533753323451393,0.1571993636279043,1.145342515907946
1300,1.0714284444473752,0.10328808250516833,0.3823612299437004,0.5543965837480266,1.6833488793984102,0.02537330899703969,0.024338753786951217,0.016149220412018064,0.15527341339231893,1.149651212805082
1400,1.0499748548844556,0.10654735176416213,0.36414079413817513,0.5336084031786088,1.4702340745069316,0.026135484375416733,0.02415441782112954,0.01594167794565564,0.15340926502683128,1.1264670421014025
1500,1.039131809623573,0.10955921545288277,0.35834660451255007,0.49229950345505746,1.1239730409761468,0.027602132752699585,0.025648721911430843,0.016382888152298672,0.14841236326095816,1.1308257494936411
1600,0.9932366191727234,0.11071998752831251,0.3418517627886112,0.4751068323958678,0.957056503375828,0.02864285049818992,0.024828895631041615,0.01742595067974243,0.14671761760542051,1.115057052184176
1700,0.9790805064012257,0.11014250329117103,0.3292384406912296,0.4406396329706383,0.7701344180975733,0.028315702883445298,0.026160157402035485,0.017527767538438283,0.14508479563069945,1.1105623081008038
1800,0.9541180639145798,0.11759174553711953,0.33158166457242394,0.44479672705213585,0.5932486582397685,0.029078644774216043,0.0264077327301335,0.01795636462696478,0.14208360735746248,1.1142409779436349
1900,0.9198581485492379,0.1200540668053249,0.3261211560002189,0.41235489171771417,0.5416575272782096,0.02805227897527736,0.026043187460657945,0.018500598057951647,0.1397173337582447,1.1072739523334931
2000,0.9284087443971989,0.12265587929303752,0.31546230165411737,0.39394262093697074,0.2894364448922986,0.029057648142092614,0.026712725602583778,0.018975985425127306,0.1404876664702213,1.102312479405817
2100,0.9221300913485407,0.11900002254728703,0.2954158163543006,0.3711505424627173,0.298560376656253,0.030987882943067237,0.02828050442687894,0.018698711581667866,0.134754407586516,1.0939343457497246
2200,0.884914148497845,0.12497210223542508,0.3011149415967888,0.3302452738951427,0.2524714745989516,0.030569052574204506,0.028480599576078597,0.019675867385529365,0.13633285404737466,1.0925503948527295
2300,0.8703260384537467,0.12885240850014917,0.27938869993857507,0.33375878986733704,-0.016775091518831664,0.030865591420765795,0.02902605546499574,0.019830784006482874,0.1342513185796989,1.0884229941577013
2400,0.8546719088478473,0.1343455426209849,0.2861910370175887,0.31067051644549515,0.0779272825011609,0.03109901624101426,0.028967841454689978,0.019281789794404872,0.13193843423659352,1.0813484926298
2500,0.8279163443459784,0.13083092586211997,0.2674067616322158,0.2728626851724329,-0.017411397030014375,0.03194576665367209,0.029763033124245636,0.020290674793019516,0.12822724998203003,1.0679997245749853
2600,0.839085729118695,0.13888757105831098,0.2674354582649586,0.27244240184800095,-0.010285947293143485,0.03220074248158902,0.030009528867530635,0.01981490908053626,0.1277620975903268,1.055897655950316
2700,0.8013087540695996,0.14195850874601731,0.2617503973192195,0.2426444829438465,-0.04418975528188082,0.033784887201181946,0.03089103280495308,0.020374345646274317,0.12343890771342851,1.0442441286044266
