milliseconds,Ce,Size
0,14830.639260130016,6.720157369824032
100,15168.978020415207,6.5412935308261755
200,15540.762503500353,6.446845601985029
300,15995.680797648041,6.253933465022166
400,16370.447407618905,6.284899908406842
500,16366.237304825292,6.1440114658325236
600,16196.428433687972,6.046554325834575
700,16122.077345350315,5.916529083394924
800,15939.670749530724,5.819354959904433
900,15832.90042369316,5.693296003310982
1000,15662.334289390967,5.681703566053653
1100,16018.232873856223,5.581701221741233
1200,16422.589106197825,5.583996235769457
1300,16778.484093354815,5.477355837185667
1400,17133.468996524312,5.3865693098920415
1500,17229.24429144651,5.384975054798042
1600,17057.260827133883,5.257751078734264
1700,16877.452168587784,5.120616607179884
1800,16776.437899874523,5.148666006488176
1900,16625.78477148047,5.007711886752825
2000,16405.908092436977,4.964716525194578
2100,16326.460074437266,4.914999978883501
2200,16206.783500867597,4.8735951943387255
2300,16029.0007563979,4.778157933467078
2400,15847.650429136254,4.747761263657273
2500,15835.88842427381,4.731631715050221
2600,15657.898800381417,4.703100466522654
2700,15479.864774309799,4.634958596257604
2800,15323.819617421885,4.590121150030926
2900,15201.847035840652,4.5463372542570495
3000,14990.438279163693,4.551530190622606
3100,15487.773202084214,4.48615496009564
3200,15798.839593483215,4.408988515388325
3300,16250.598370716601,4.512204815709822
3400,16500.277212483117,4.4483553635143345
3500,16645.663330431064,4.342696586414063
3600,16502.83880735182,4.363529064304437
3700,16420.47906181887,4.349911798518578
3800,16126.475259386314,4.299304833062173
3900,16037.006444954617,4.269263580289356
4000,15968.477299575616,4.227670458643761
4100,16339.42445656333,4.119656213318346
4200,16665.197496173412,4.217858822482743
4300,16991.39327513183,4.111625604358155
4400,17363.89218299296,4.112957889738685
4500,17386.094105381268,4.122611738814701
4600,17381.312036053663,4.067105813371629
4700,17212.310775797363,3.941591025342646
4800,17049.984775782632,3.980102761531624
4900,16771.56474749272,4.022960498844059
5000,16685.73151575594,3.996285169335494
