milliseconds,Ce,Size
0,19114.15783602097,6.681483506983697
100,19431.620178500354,6.567058147421523
200,19767.81248919755,6.481762011714613
300,20135.070151882643,6.279468508151694
400,20423.162130983957,6.111595094503853
500,20490.260598195193,6.023649201984471
600,20381.514481717608,6.025082432363976
700,20101.80200203313,5.8712139439542375
800,20012.85926165807,5.769400349931665
900,19743.051039553546,5.675789668629977
1000,19602.082281460833,5.643646212239159
1100,20003.63955451756,5.542168082450865
1200,20304.544636728275,5.400328432284686
1300,20653.223193433478,5.348410559156553
1400,20907.19352125583,5.225581303774382
1500,21052.47322695951,5.18605898910923
1600,20802.34578303831,5.170840508034944
1700,20672.494157130935,5.090205698584297
1800,20420.81649681635,4.9984778126213145
1900,20265.23606170346,4.984104267893632
2000,20077.279631580106,4.8578822164044215
2100,19860.86892211285,4.850858163816939
2200,19703.51980430693,4.741563411805309
2300,19539.299487895358,4.689354359385184
2400,19382.317870402243,4.7383569805396135
2500,19215.77851072681,4.622854762024118
2600,19040.670741712966,4.572352959869594
2700,18815.065201429596,4.456299073730032
2800,18614.862720501478,4.485435290311921
2900,18562.68258224362,4.45704168041946
3000,18281.646504493292,4.343013084620378
3100,18700.158517019936,4.303819994548571
3200,19057.89158367433,4.301357948517536
3300,19402.930028305535,4.230482044555456
3400,19787.815517392257,4.201068948245151
3500,19753.08934727849,4.158651296275793
3600,19599.399264137,4.156374082950368
3700,19455.705552619107,4.174089543425978
3800,19239.20276627996,4.1024253812145
3900,19107.10632395046,4.067288304908889
4000,18957.630078435526,4.1094596463585225
4100,19253.652457102315,4.008442935960147
4200,19643.41102524102,4.018238332437728
4300,19952.68187270191,3.9543632199461634
4400,20333.67456048554,3.9611899911174606
4500,20377.97182672546,3.907592247948161
4600,20150.947686331085,3.869166923979948
4700,19897.955141878316,3.8132431932939843
4800,19787.588785242853,3.831387227351919
4900,19583.735845501687,3.7641394770255965
5000,19411.458009359583,3.683564872837335
