milliseconds,T,I,F_1,F_2,N,E,R,V,A
0,0.9,0.0,0.0,0.0,0.1,0.2,0.0,0.4,0.1
100,0.6488117145609039,0.21578801374895473,0.009546599774150346,0.03264332941248316,0.10951053470267234,0.21045725542644775,0.022774618367387287,0.5208750783677139,0.2763534690417957
200,0.38804791032176394,0.38891468150224223,0.030702860553736073,0.05500806044399676,0.12015447368800898,0.22568271135522627,0.07354304535096648,0.8466641960039882,0.43795225453882636
300,0.19941319311645653,0.47034915025113877,0.053776331323135355,0.07169887886616322,0.13207895324937904,0.24500526832632924,0.1240674672456934,1.1461241379026055,0.5524129963361025
400,0.11399572533473569,0.4553295318717656,0.06995145118784636,0.08543690357225604,0.14536908783505023,0.26650027670336285,0.1592933644910758,1.2810115015073253,0.6064701917007483
500,0.08850974468669967,0.39711382409740925,0.07648417605632844,0.09777985918317118,0.16004188277803133,0.2883808069528183,0.17909953754314525,1.2639315174557832,0.6262639647245463
600,0.08580624900862145,0.33273611506444317,0.07547763712521284,0.10960657436947308,0.176087528070395,0.3097581444365855,0.18798105066575813,1.1601129133282448,0.633364959090272
700,0.09048818747955133,0.27469294952410334,0.07000874485338654,0.12141874695206203,0.19350112043724893,0.3303286956668685,0.18985396895735074,1.0210239410252655,0.6366388599490361
800,0.09749425116597527,0.2251006799296106,0.06243125254266439,0.13351020964974106,0.2122907948822885,0.3500221463661729,0.18745088964088852,0.8756249396268053,0.6389572137694358
900,0.10517483552559731,0.1832464827051584,0.05420666339557073,0.14605880820707048,0.23247469994783934,0.36884588054816103,0.18261023288502573,0.7377157442772098,0.6412116600979983
1000,0.11290950018871698,0.14797782623605846,0.04614806094938699,0.1591765587967489,0.2540754188988733,0.3868335184344538,0.1765584143802628,0.6128912141385191,0.6437032559953005
1100,0.12039307286871884,0.11827901773955526,0.038666965934708454,0.17293718725732143,0.27711475766914695,0.4040302335402964,0.17011545239792758,0.5027594548148457,0.646558305543924
1200,0.12741922962162167,0.09334746466619666,0.03194437931207682,0.18739117710617498,0.301609478902662,0.42048895639678757,0.1638368574078868,0.40715710810458156,0.649850581471418
