milliseconds,cp,ca,dho,oro,omp,ump,udp,utp,ctp
0,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.002886,0.00666,0.00037
100,0.01332616287622366,0.00019924151682044553,7.818728921265798e-07,9.217013789571625e-08,0.0013547099869920453,9.460414769421056e-06,0.00016230875811705332,0.0018389064206652621,0.008354991289505178
200,0.02563511957929225,0.0003998473437650905,1.56929734516138e-06,1.8499088573703794e-07,0.001738543652523728,1.2049548552086192e-05,8.051502656579318e-05,0.00014933753699913405,0.010242669899412965
300,0.03730693573410313,0.00062529368796026,2.4547192507780325e-06,2.8936244220599244e-07,0.0025121214337799997,1.7379982172382057e-05,0.00010945870690009522,9.723850514567561e-05,0.010477000216086397
400,0.04837546361115542,0.0008405298719251533,3.2998985328086574e-06,3.889805155420671e-07,0.0036116241187044203,2.5027555520930112e-05,0.0001582862874227653,0.00013823070621570168,0.010754415436091826
500,0.05887646828417585,0.0010429425840733687,4.0945484484114724e-06,4.826335219323977e-07,0.004957634044677946,3.443442596320954e-05,0.00022051948052716775,0.00019669432890308331,0.01120419090156002
600,0.06884326556019416,0.0012331498243510581,4.8411219731038845e-06,5.706121816221591e-07,0.006483205061028924,4.512832028206222e-05,0.0002926161714253928,0.00026774280450550183,0.011868633121416857
700,0.07830679211112877,0.0014120191594063978,5.543052568253117e-06,6.53322605110331e-07,0.008134211507731597,5.672695542541793e-05,0.00037174260243376655,0.0003491675336587574,0.012775792823751322
800,0.08729581342800612,0.0015803692918748996,6.20357812437063e-06,7.31147637235899e-07,0.00986730513594381,6.892376283124616e-05,0.00045562239681504944,0.00043924860241516283,0.013943982372720808
900,0.09583711537374806,0.0017389480272243369,6.825654630094757e-06,8.044367101056391e-07,0.011647968851734995,8.14741866932966e-05,0.0005424364009785037,0.0005365854782285984,0.015383862803509892
1000,0.10395567274960898,0.0018884371472367596,7.411975818445834e-06,8.735081875165514e-07,0.013448914998621626,9.418443911481888e-05,0.0006307398794483283,0.0006400127292515671,0.017100071653854274
1100,0.11167480218036746,0.0020294593288981318,7.965000794479709e-06,9.386526456331699e-07,0.015248743416450668,0.00010690210106961394,0.0007193933091900035,0.0007485434525121832,0.01909255718590775
1200,0.11901629999422252,0.002162584402941882,8.486978996607905e-06,1.0001358353771641e-06,0.017030834330902654,0.00011950838161470035,0.0008075053773566406,0.0008613287623058111,0.021357659656013016
1300,0.1260005620957577,0.0022883347845497975,8.979971843153419e-06,1.0582012507092831e-06,0.01878247789519218,0.00013191203794959023,0.0008943882458669836,0.000977630481121807,0.023888943868678056
1400,0.13264669630139153,0.0024071905137424744,9.445872814940138e-06,1.1130725108988017e-06,0.020494099031985256,0.00014404396075707977,0.0009795177348930406,0.0010967986515939088,0.026677932438653542
1500,0.1389726230210452,0.002519593398674188,9.886423916591739e-06,1.1649553106713557e-06,0.022158636215028716,0.00015585281851987468,0.0010625013060099472,0.0012182545782830664,0.029714680787588713
1600,0.1449951639524287,0.0026259505875558743,1.030322993686068e-05,1.214039113625515e-06,0.023771087033953683,0.00016730188804108535,0.0011430546542263533,0.0013414810057382192,0.03298817815408151
1700,0.15073012306579442,0.002726638053471595,1.0697772280942886e-05,1.2604987900619733e-06,0.02532810751439267,0.00017836626583484674,0.0012209812192276086,0.0014660172777629364,0.03648669372235939
1800,0.15619236194421632,0.0028220036123639595,1.107142094380557e-05,1.3044960346984312e-06,0.026827647402261033,0.00018903025085897037,0.001296153133292271,0.0015914475776151182,0.04019809784487756
1900,0.16139586788098548,0.0029123693851348022,1.1425444338380773e-05,1.3461805335269313e-06,0.028268671522131493,0.00019928544148914724,0.001368496764017112,0.0017173898254187196,0.04411009768490457
2000,0.16635381520998546,0.0029980340794716572,1.176101831434915e-05,1.3856910298505559e-06,0.029650952085118993,0.00020912924735801364,0.0014379820632214617,0.0018434989609205,0.04821038918074864
2100,0.17107862136057436,0.0030792751133117873,1.207923460596143e-05,1.4231563257689414e-06,0.03097489517565772,0.00021856364614715598,0.0015046134166619097,0.001969473707736932,0.052486774598605415
2200,0.17558199850658457,0.0031563504780293176,1.2381108220965449e-05,1.4586961567609453e-06,0.03224138950527054,0.0002275941357116723,0.001568421631597887,0.002095039435295108,0.05692728488312919
2300,0.17987500101547785,0.0032295004139377644,1.2667584078417041e-05,1.4924219772843978e-06,0.03345168389513133,0.000236228853187565,0.0016294576002595384,0.002219923981959179,0.06152028271801716
