miliseconds,IIa,VIII,VIIIa,APC_PS,IX,IXa,XIa,XI,XIIa,VII,VIIa,X,Xa,IXa_VIIIa,V,Va,II,F,Fg,P,XF,XIII,Pg,APC,IIa_Tmod,PC,Tmod,TF,VIIa_TF,VII_TF,Xa_TFPI,TFPI,PS,VKH2,Va_Xa,CA,XII,K,ATIII_Heparin,Xa_ATIII_Heparin,VK,VKO,Pk,FDP,D,TAT,VIIa_TF_Xa_TFPI,XIIIa,IIa_ATIII_Heparin,IXa_ATIII_Heparin,VK_p,C_warf,A_warf
0,6.9567431018291215e-25,0.699999999999996,2.670815528167737e-15,-4.313746143263954e-22,89.61960379553315,-1.2973704176560408e-24,1.7985163182421566e-24,30.6,0.0,9.98205193213424,-1.6358914680518233e-25,174.32599175390976,1.1673450334955265e-24,1.0391404935581729e-25,26.7,-2.6060853816555438e-21,1394.6772567549615,-7.510679165090674e-17,8945.5,-4.551693118910649e-18,-6.2513843817399975e-37,70.3,2154.3,2.1233076660532115e-24,3.855080549293506e-24,60.0412039562103,50.0,0.0,0.0,0.0,-2.0205298016553872e-24,2.5,299.9720300326044,0.09929290459868223,-3.963282614845333e-27,0.0,375.0,0.0,0.0,0.0,1.0000510136735186,0.09939636736402442,450.0,-0.4906570306261008,5.382850144393519e-38,-5.020935054919375e-25,0.0,-8.015156950533654e-23,0.0,0.0,115.47540257953952,1.0148045399400876,0.030380316075598365
100,6.027286398239376e-25,0.6999999999999986,1.3987861924503275e-15,3.0310852744799303e-22,89.61646954505314,3.481573896029524e-24,2.7595786635990722e-24,30.6,0.0,9.995873888966596,-5.440613563733846e-25,174.2298587407371,-4.3014160561490226e-24,-1.695007920119702e-26,26.7,2.696167687871094e-21,1394.3544752296384,-6.202956747115101e-17,8945.5,3.904196093139812e-18,4.781865000293085e-37,70.3,2154.3,6.789488528982805e-25,6.061766211492813e-24,60.028756109260826,50.0,0.0,0.0,0.0,2.3923252029714523e-25,2.5,300.0966850371714,0.09809720541324293,7.309397102553466e-27,0.0,375.0,0.0,0.0,0.0,0.9999959865796325,0.10129273718501018,450.0,23.968959457860674,6.76833363757509e-38,9.276175546181563e-24,0.0,-3.534503263694256e-23,0.0,0.0,115.47540554626275,1.0210777994519111,0.028627372111202212
200,5.418370883858119e-25,0.7000000000000122,-3.4184865281552e-16,5.824439073910972e-22,89.58489497604924,7.796200944155371e-24,4.778380797053401e-25,30.6,0.0,10.0047847212436,-3.0007893382898895e-25,174.3316172718319,8.02504162206272e-25,-3.821787879616946e-26,26.7,7.923864330050326e-21,1394.457901726913,-1.2654705222997076e-16,8945.5,-1.3163762458042736e-18,-1.4138290430207385e-37,70.3,2154.3,4.095617391521926e-24,9.341668588992068e-24,59.935663554358996,50.0,0.0,0.0,0.0,2.611334300186394e-24,2.5,299.89005712557855,0.09625867072565748,-2.6713889941327653e-27,0.0,375.0,0.0,0.0,0.0,1.000058439164518,0.10347132155011995,450.0,41.08462963646452,6.837160156447988e-38,3.763164871958836e-25,0.0,1.3232956958389373e-22,0.0,0.0,115.47540177575115,1.0178634340398967,0.05756999807472834
300,8.088546662668681e-25,0.7000000000000016,-3.6924238532001516e-16,-5.73109121549549e-22,89.54496871116322,6.3547555618354535e-24,-4.619914189787473e-25,30.6,0.0,9.980689640578253,-6.282034747850694e-25,174.29415445881023,-3.675648535197055e-24,-3.204386561044022e-26,26.7,-1.2558425865828037e-20,1394.469406748456,-1.0666601052588528e-16,8945.5,-5.8720961836279594e-18,-2.7059913985025715e-37,70.3,2154.3,5.644883076847989e-24,-8.309848561462344e-24,60.00553480193073,50.0,0.0,0.0,0.0,-2.544850505992767e-24,2.5,299.8784244917833,0.09521972323065592,9.24929272875306e-27,0.0,375.0,0.0,0.0,0.0,1.0000513126744635,0.10482482973598,450.0,52.86400579630262,7.115075253968192e-38,-1.044643313811726e-23,0.0,-5.502055988007642e-23,0.0,0.0,115.4754107832836,1.0178719414902266,0.09357517903570586
400,-1.4445299766455014e-24,0.7000000000000024,1.5559458566162475e-15,6.97774144234544e-22,89.58766987558361,-1.0075688409285888e-24,1.9354131170231717e-24,30.6,0.0,9.965172939292325,-5.582181240958407e-25,174.2756706378763,4.968419916184893e-24,7.515963535369443e-26,26.7,1.2025968403007626e-20,1394.302354004214,1.2380086378081567e-16,8945.5,-1.7919150207619085e-18,4.106308671247629e-37,70.3,2154.3,-6.279521227884212e-24,-9.488457561778619e-26,60.01992133244761,50.0,0.0,0.0,0.0,2.5546135638859952e-24,2.5,300.0193437744287,0.09283926889616462,1.1090126082749353e-26,0.0,375.0,0.0,0.0,0.0,1.0000733199678955,0.10635346051071014,450.0,61.667242497970996,6.627294462160139e-38,2.754802523770532e-24,0.0,-4.0668604382368865e-23,0.0,0.0,115.47540152626136,1.0155068301389043,0.07256378238372754
500,-1.2162255915872936e-24,0.6999999999999935,9.932064134620238e-16,-5.340520351845995e-23,89.52330093073213,-1.6337343816615792e-24,2.135011147445091e-24,30.6,0.0,9.97184111741739,-5.844124308721066e-25,174.24095991061097,-8.300412233986079e-24,1.1776516444831072e-25,26.7,5.847101192846255e-22,1393.8890462987463,-7.972405669876279e-17,8945.5,-3.696293871147366e-18,-3.0211715439606566e-37,70.3,2154.3,-5.58987717902124e-24,6.698165545008827e-24,59.93053475635092,50.0,0.0,0.0,0.0,-1.688958394432393e-24,2.5,299.83844937741145,0.09126540582964102,5.260425104649738e-27,0.0,375.0,0.0,0.0,0.0,1.0001718498202634,0.10736295473723055,450.0,68.211781193004,-6.547675608365111e-38,-8.62041972476031e-24,0.0,-7.06847502697184e-23,0.0,0.0,115.47540813145109,1.0078350786704928,0.03752132501841283
600,-1.2101510553459776e-24,0.7000000000000094,-2.664839533982542e-15,4.735995511504365e-22,89.48109111377667,-5.834939876578634e-24,-2.8658592764943926e-24,30.6,0.0,9.972698418855863,3.470679699920618e-25,174.15989110575242,-6.328531561333389e-24,6.871925130977991e-26,26.7,-4.957612333681287e-21,1393.7144380166349,-7.476380653164836e-17,8945.5,4.3896927677118724e-18,-6.327543801004154e-37,70.3,2154.3,2.379857136558327e-24,-5.621502796308009e-24,59.87475149858815,50.0,0.0,0.0,0.0,-7.735560336133034e-25,2.5,299.8962305310957,0.09102417409224317,-9.67521178755549e-27,0.0,375.0,0.0,0.0,0.0,1.0002010452331136,0.1091261409622734,450.0,71.3367234596207,-3.112475038308543e-38,-2.1218100751512718e-23,0.0,-7.871350525778524e-23,0.0,0.0,115.47541274729471,1.012075002540039,0.07100046157600662
700,-1.3341090549140586e-24,0.7000000000000053,-2.8902974121455117e-15,1.823385862824102e-22,89.54066914471595,-4.932576165228115e-25,9.970835268600096e-25,30.6,0.0,9.95570107522574,1.2296239909460713e-25,174.23690123364875,2.0643581508640707e-24,-1.0985232315552707e-26,26.7,-2.490684825275547e-21,1394.0469989762362,2.327376407826168e-17,8945.5,5.6496092575061194e-18,4.173733788946591e-37,70.3,2154.3,-6.006873589095027e-24,4.0896612271730815e-24,59.84674535748108,50.0,0.0,0.0,0.0,-2.995574324495439e-24,2.5,299.79728037948377,0.08838811320704353,4.512974134453049e-27,0.0,375.0,0.0,0.0,0.0,1.0001439584978105,0.11053999630303801,450.0,74.09208367525238,5.826039116616464e-38,-1.3249085834696536e-23,0.0,2.601642818086556e-23,0.0,0.0,115.47540712866183,1.0081494195708907,-0.005187707790315382
800,-1.8429353959760246e-26,0.7000000000000011,-2.48709585021564e-15,5.134565402934882e-22,89.5118637822913,3.679618166196175e-25,-2.2575279656999124e-24,30.6,0.0,9.942546364070095,6.73584338480529e-26,174.1476168989866,7.17021590333496e-24,2.084515110029859e-26,26.7,1.089988131508775e-20,1393.6421586027918,-1.0949375184272454e-17,8945.5,-3.789416685409846e-18,3.0589542161547944e-38,70.3,2154.3,3.1938047227425723e-24,-8.028063608764077e-24,59.83710891892365,50.0,0.0,0.0,0.0,2.0642430120594927e-24,2.5,299.73372312709165,0.08772400483874414,-1.1499075517685263e-26,0.0,375.0,0.0,0.0,0.0,1.0003238044821612,0.11206144750069831,450.0,76.07578928163569,-5.912452351467105e-38,-8.831211967908097e-24,0.0,3.7880581262917455e-23,0.0,0.0,115.47541344557816,1.0065364235219356,0.03025923658446246
900,1.712056449871937e-24,0.6999999999999914,-2.5955675553535163e-15,-1.2788636626215518e-23,89.47543575933662,-6.4171846648670235e-24,1.2522373345386801e-24,30.6,0.0,9.923449503069554,-2.4591637222830173e-26,174.09290771127093,3.9277525213234856e-24,3.5459606990314435e-26,26.7,3.129794772378667e-21,1393.6607932923932,-4.758986298178345e-17,8945.5,6.66770183623751e-18,1.8678246737904801e-37,70.3,2154.3,2.2397524383662466e-24,-3.058446853262724e-25,59.814793145254036,50.0,0.0,0.0,0.0,-1.7099147928049975e-24,2.5,299.60945302670416,0.08573342682247392,2.2719547340655116e-27,0.0,375.0,0.0,0.0,0.0,1.0003875604722192,0.11353526743673317,450.0,77.81739434125815,5.604054941569096e-38,6.142596644571185e-24,0.0,8.015381764770306e-23,0.0,0.0,115.47541362205001,1.0030316432012725,-0.001710530581620618
1000,-4.0701514199426107e-25,0.699999999999996,-2.3136076993205306e-15,6.015984355739918e-22,89.36359071440027,-7.750495875563466e-24,-1.4558507029003924e-24,30.6,0.0,9.929293771233446,-5.88811814514744e-25,174.00737094788477,-4.301593626592867e-24,-5.962188098774727e-26,26.7,1.2666462346171957e-20,1393.323682688697,-1.6394887093156696e-17,8945.5,-2.088980369570672e-18,3.928738698676014e-37,70.3,2154.3,6.563687874917974e-24,7.867335685843719e-24,59.796735559880695,50.0,0.0,0.0,0.0,-1.49216170898652e-24,2.5,299.6714043384986,0.08496160882592005,4.934036399646626e-27,0.0,375.0,0.0,0.0,0.0,1.0004475058123543,0.11426965142777805,450.0,80.00563780718662,5.309689918432125e-38,-1.45582824175236e-23,0.0,-1.3077610364561617e-23,0.0,0.0,115.47541238620137,1.0048889423490512,0.011174369711353372
1100,2.120113345791698e-22,0.6999999999997861,2.0375811032384081e-13,3.364701701578947e-20,89.3433646274087,1.2567254193504902e-22,1.7705354284470127e-22,30.6,0.0,9.900937417490333,4.865454415795944e-23,173.9994494565463,1.3327789392692186e-21,2.490537497862241e-24,26.7,7.7718589621104605e-19,1392.8111177036346,2.172078140783793e-15,8945.5,2.3274505229406094e-18,3.685101196345606e-37,70.3,2154.3,3.4745766409014624e-22,5.349422228598631e-22,59.77863582352136,50.0,0.0,0.0,0.0,2.409319211020166e-22,2.5,299.46240258353055,0.08353807478552713,-5.378156939494534e-26,0.0,375.0,0.0,0.0,0.0,1.0005375075587124,0.11559444240217254,450.0,79.86517978279154,-5.79159920232949e-38,5.175524051394751e-22,0.0,2.9073473126684576e-21,0.0,0.0,115.47542591008595,1.0357940408359205,3.598682520081879
1200,-1.157440178491686e-22,0.6999999999998776,-9.619924997210476e-14,2.232976256707855e-20,89.2616019444118,1.2346706018469674e-22,-8.428781422394965e-23,30.6,0.0,9.85012787292627,-3.409681749098349e-24,173.94252932488865,-5.722377627221101e-22,-1.2872535139426957e-24,26.7,-3.690935476081701e-19,1392.7784068595483,1.1657611714313802e-15,8945.5,1.190609008449146e-16,3.7355809962442036e-37,70.3,2154.3,-1.52682542897052e-22,-2.3592555213926146e-22,59.63543422636821,50.0,0.0,0.0,0.0,-2.7222825752842416e-23,2.5,299.5023930395798,0.08235433939174337,-2.0106632209866808e-25,0.0,375.0,0.0,0.0,0.0,1.0005193656384834,0.11788115397996374,450.0,81.31378211588867,-6.824305428335807e-39,3.133850967745557e-22,0.0,1.0800638291567424e-21,0.0,0.0,115.47542217905196,1.0735117976096302,3.2535907086593974
1300,5.827797502434588e-23,0.7000000000000534,-5.1542157495769036e-14,6.30164570004923e-20,89.27379694780456,-2.4878473744447743e-22,-4.127331574272699e-23,30.6,0.0,9.857698233371144,-1.0757348505404748e-23,173.95957163387928,1.6982626649140044e-22,4.7912593291958495e-25,26.7,-1.8953499722547604e-19,1392.471030735143,-5.412805887322683e-16,8945.5,1.7219260443109697e-17,1.4127270145099904e-36,70.3,2154.3,-7.65971994111613e-23,-9.908154757979864e-23,59.6452751645758,50.0,0.0,0.0,0.0,-3.539172399914858e-23,2.5,299.3811573793846,0.08084030274900607,3.9563847494611903e-25,0.0,375.0,0.0,0.0,0.0,1.0006582774112982,0.11804156185109232,450.0,81.21940439753033,2.3343148605053635e-39,-7.566993943744826e-24,0.0,-8.096955900599128e-22,0.0,0.0,115.47542358595904,1.1056860717626014,3.006697736425308
1400,4.5213797583568e-23,0.699999999999828,9.563704667561689e-14,4.26941335216625e-20,89.18713322669937,1.0967365014480758e-22,8.27838900093171e-23,30.6,0.0,9.844300679459314,1.5447000863179207e-23,173.78923888671713,4.311212355529371e-22,3.69289530716713e-24,26.7,3.5930281258078964e-19,1392.4303583457324,1.7235235049115997e-15,8945.5,5.0461017664996316e-17,5.9367983431605725e-37,70.3,2154.3,2.1623527196324393e-22,3.2773058771178336e-22,59.53983361430976,50.0,0.0,0.0,0.0,6.21899133322869e-23,2.5,299.3603763598081,0.08018764109540022,-2.8639035136958623e-25,0.0,375.0,0.0,0.0,0.0,1.000721860162356,0.11911327272515389,450.0,80.65603560559789,4.3066862173988273e-38,4.858816085379038e-22,0.0,2.1497951095283155e-21,0.0,0.0,115.47543797400927,1.1252457582855304,2.7202751683309256
1500,1.795326171490651e-24,0.6999999999997492,4.048522169488682e-14,1.3109445674077725e-20,89.12958866824822,1.9798387006640728e-22,3.595458672584509e-23,30.6,0.0,9.81352744043206,1.826506506106286e-23,173.81446738846125,2.3556763238873213e-22,6.506340325898741e-25,26.7,1.6392942220715388e-19,1392.0426618520264,2.635660835361327e-15,8945.5,1.340523496945299e-16,1.170978629106426e-36,70.3,2154.3,8.588977776748856e-23,1.1416568885630373e-22,59.54822585215317,50.0,0.0,0.0,0.0,6.843381403155568e-23,2.5,299.0531670814619,0.07844175559560113,-3.9895023829573135e-25,0.0,375.0,0.0,0.0,0.0,1.000799569269253,0.1204076483954279,450.0,80.68565774530143,7.42711867433165e-38,7.482885620735254e-22,0.0,3.295386868917418e-21,0.0,0.0,115.47543537917622,1.1513673123939967,2.4062485172401598
