milliseconds,P1,P2,Target
0,10.0,10.0,10.0
100,10.0528408940484,10.0528408940484,10.0528408940484
200,10.10568188918986,10.10568188918986,10.10568188918986
300,10.158526269701621,10.158526269701621,10.158526269701621
400,10.211373688258067,10.211373688258067,10.211373688258067
500,10.26422861218885,10.26422861218885,10.26422861218885
600,10.317090178554816,10.317090178554816,10.317090178554816
700,10.369963561964218,10.369963561964218,10.369963561964218
800,10.422847393141113,10.422847393141113,10.422847393141113
900,10.475747545895821,10.475747545895821,10.475747545895821
1000,10.5286634450901,10.5286634450901,10.5286634450901
1100,10.581596080288618,10.581596080288618,10.581596080288618
1200,10.634549599546931,10.634549599546931,10.634549599546931
1300,10.687525263311118,10.687525263311118,10.687525263311118
1400,10.740524527111715,10.740524527111715,10.740524527111715
1500,10.793550070808827,10.793550070808827,10.793550070808827
1600,10.846604041060719,10.846604041060719,10.846604041060719
1700,10.899688279078939,10.899688279078939,10.899688279078939
1800,10.952804901851085,10.952804901851085,10.952804901851085
1900,11.005956018565659,11.005956018565659,11.005956018565659
2000,11.059143679861553,11.059143679861553,11.059143679861553
2100,11.112369760789534,11.112369760789534,11.112369760789534
2200,11.165636109096162,11.165636109096162,11.165636109096162
2300,11.218944942734254,11.218944942734254,11.218944942734254
2400,11.272298317665392,11.272298317665392,11.272298317665392
2500,11.325698289851164,11.325698289851164,11.325698289851164
2600,11.379146915253154,11.379146915253154,11.379146915253154
2700,11.432646189432702,11.432646189432702,11.432646189432702
2800,11.486197437166135,11.486197437166135,11.486197437166135
2900,11.539803143156476,11.539803143156476,11.539803143156476
3000,11.593465314772352,11.593465314772352,11.593465314772352
3100,11.647185959382393,11.647185959382393,11.647185959382393
3200,11.700967084355222,11.700967084355222,11.700967084355222
3300,11.754810697059472,11.754810697059472,11.754810697059472
3400,11.80871818447306,11.80871818447306,11.80871818447306
3500,11.862691619356491,11.862691619356491,11.862691619356491
3600,11.91673317905943,11.91673317905943,11.91673317905943
3700,11.970844842280155,11.970844842280155,11.970844842280155
3800,12.025028591537007,12.025028591537007,12.025028591537007
3900,12.079286413168376,12.079286413168376,12.079286413168376
4000,12.133620297332705,12.133620297332705,12.133620297332705
4100,12.188032238008498,12.188032238008498,12.188032238008498
4200,12.242524232994306,12.242524232994306,12.242524232994306
4300,12.29709828390874,12.29709828390874,12.29709828390874
4400,12.35175639619046,12.35175639619046,12.35175639619046
4500,12.406500579098186,12.406500579098186,12.406500579098186
4600,12.461332845710686,12.461332845710686,12.461332845710686
4700,12.51625403131698,12.51625403131698,12.51625403131698
4800,12.571266984845387,12.571266984845387,12.571266984845387
4900,12.626373694885697,12.626373694885697,12.626373694885697
5000,12.681576145543566,12.681576145543566,12.681576145543566
