milliseconds,C_PCC,P_PSC,E_CD8,N_Killer,H_T_Helper,R_T_Regulatory
0,1000742300.0440685,5567242.123292892,871223236.152032,481315466.50112045,2120044986.048869,158489986.6375416
100,999534434.8658997,5691715.239793526,867520536.9014972,481600333.2272639,2113819497.617215,158226292.22123265
200,1000862362.926142,5803460.080090102,865933594.0721864,480695936.3340023,2108845522.5407803,158438414.85625207
300,1003956850.6343466,5887988.98854891,862630521.5525835,480284345.3656615,2108401897.5633957,157950626.0312691
400,1003649797.0721972,5857340.891509771,859272439.8162119,480242720.63418484,2103379051.7336383,157810311.33012423
500,1004598695.8257666,5822494.298789026,861516808.1917739,478703294.77628237,2100814596.6944246,157715962.3643416
600,1006731232.8092884,6003637.3809422795,857502927.1542473,478801003.98833853,2101664297.9877703,157349868.43365574
700,1007074997.2863871,5929417.332054498,857122524.291143,478155341.3074888,2101847992.8729818,157450555.67071682
800,1007732277.7655661,5999969.6295030955,853479777.1106207,477920518.00028616,2095614301.1984134,157067528.42825466
900,1010212420.179321,6046310.67090924,850770757.0300772,477182211.86573434,2090052376.2106042,156709735.84678566
1000,1010736861.7826959,6111680.178427957,843054481.4563358,475896378.1969836,2087191334.4351413,156560500.69900578
1100,1012935015.8061517,6248860.786637001,843823836.4558079,475650085.09525955,2088073040.990279,156621677.86166862
1200,1013831461.7198403,6345512.027829593,839468749.520087,474965398.435484,2084775460.4640322,156328748.80287164
1300,1015001353.223261,6352019.318179888,836065608.3299893,475150532.17114323,2081073845.6638572,155653505.26489934
1400,1015543658.2723165,6423931.866736641,835078116.4297333,474064914.94739985,2077755000.6998193,155949630.97324178
1500,1018072996.9688767,6505501.273555968,833479352.063931,474615482.57263285,2076740062.821086,155170780.07368818
1600,1018480255.9562645,6715672.585308967,828709506.2438607,473777084.9548224,2078864283.3899133,155130603.6770375
1700,1017315984.1687119,6639951.495842104,828160159.5695477,472676895.6694271,2072791927.4318476,154965934.45528778
1800,1019603085.3952602,6748807.700889138,821264152.2926531,472995050.28278285,2073339302.0328333,154964768.54249978
1900,1022505800.7427377,6896719.302446392,822532570.8695276,472548993.2019472,2067667864.27712,154657830.26392645
2000,1021483011.3519347,6807855.245089513,817464989.6078429,471487119.39799815,2063369596.6331196,154239051.62037602
2100,1022012875.2846408,6884998.830682689,817995608.6813592,471475114.0784207,2064511062.1702712,154234169.28773373
2200,1024865367.8847001,7097962.811154193,811170184.6919218,470309332.2439276,2057443904.8003893,154240955.02130756
2300,1024906854.3003703,7006888.137269664,810312924.7867203,469456264.60513544,2056955905.6961012,153518900.07347763
2400,1025587505.5454464,7092654.524986868,811056795.9681987,470336619.07692647,2058699951.9677436,153255055.34173292
2500,1028183157.6975019,7348647.798167164,805134023.4200411,468812881.98132217,2054250378.7440104,153045969.02281213
2600,1030319970.8633442,7294009.428444087,807923729.2242167,468869517.6632954,2049212817.1089704,153254484.34011447
2700,1028350913.0224574,7323850.50333799,801770234.2023445,468387939.3390819,2049628206.788167,152705702.77158335
2800,1029545330.3653481,7447791.598247968,795880483.8189805,467862192.149167,2048126866.3475406,152380970.39801615
2900,1032282994.449594,7588439.236769241,800093594.3509802,467545788.01465124,2044410498.7577872,152332354.36059624
3000,1031862108.9621991,7629395.086522107,793316502.620872,466863673.0790926,2039257717.7454824,152198766.02990404
3100,1034177726.8838035,7677049.650168834,794348138.6356266,466323781.09792775,2038992512.929343,152183089.0226317
3200,1036358939.8646324,7780313.324045571,792034464.8334848,465557642.70561194,2035884598.6450245,151974747.65142003
3300,1035680537.4205402,7850197.851176021,784347685.335312,465529280.25886583,2033644241.9459236,151336916.89571092
3400,1039700058.6535017,7950714.019463846,784738958.6337668,464819123.71432555,2033500399.4304678,151572121.18430147
3500,1038303218.6709785,8054634.291985529,779887037.903232,464498245.75722283,2031426504.992224,151096002.192444
3600,1038706157.5836699,8158752.0444012415,778082365.6602905,463372708.51961696,2025935619.591091,151108074.55441555
3700,1040889187.698471,8141340.3746334575,777947020.3701363,463457024.3428797,2023611376.1733396,150566282.65141523
3800,1042593218.4114605,8273992.970082491,775777695.8625916,462831822.2313952,2019900227.5953948,150277107.34957805
3900,1042325204.1107105,8409140.381502666,774241550.3047886,462269668.2989543,2021991056.4519854,150183203.34163898
4000,1044704311.8534808,8547805.0665669,770109578.239204,461935504.40121675,2012886006.3109732,150375975.8790895
4100,1045581718.8245648,8635727.040230466,767644443.8086662,462030529.34269637,2014238294.5069175,150139529.16443303
4200,1047708870.1259184,8757522.739138354,766107963.654632,461160208.9360665,2010151816.900373,149530717.9498848
4300,1047292491.3914716,8824994.505519738,762260305.9891701,460306788.5433169,2007822329.5929437,149478020.65702686
4400,1051309279.6990976,8797637.728653222,757928988.913965,459513988.05820894,2010428091.0952218,149617164.23168632
4500,1050252993.5186718,8951483.880859999,760669441.6218933,459163858.21245414,2003374431.4410799,149390524.01979628
4600,1053006589.7814695,8999563.8572532,757844289.9673246,459447924.91238415,2003529607.7693968,149206509.69682094
4700,1054421624.1735557,9178897.467558008,749586202.2366009,458619072.7218768,2002596036.392568,148874608.47560787
4800,1054662126.5695099,9320229.50295319,747499063.2437505,458138563.8137688,1995796045.3679464,148752446.58484346
4900,1056353188.7509043,9302941.528128602,747877406.3917676,458126305.7300414,1992662168.5541894,148413806.36658865
5000,1055853006.0379305,9507580.53312373,748444326.7304248,456353524.59862554,1989466493.958372,148169359.73157668
