milliseconds,C_PCC,P_PSC,E_CD8,N_Killer,H_T_Helper,R_T_Regulatory
0,1000174734.5626414,5554902.146292966,874114451.6025525,480929429.22043633,2114117670.205858,158621979.81493247
100,1000812811.2722821,5640194.507939738,873864237.3070503,480616711.44864595,2117059516.3397813,158696254.20331532
200,1001556661.8706435,5811020.214158833,870354826.3183991,480093397.2869214,2109649715.260526,158264527.0473262
300,1002112515.1188453,5745520.725819281,867307263.6304226,479588911.5639706,2105680333.4285195,158156091.54865277
400,1005109421.8420142,5755585.133146211,864726994.2352495,479368085.3102977,2109489839.0998557,157781412.1338212
500,1006856735.9387906,5852269.636643082,856480061.5490382,478891097.2758822,2102714557.4380457,157336332.4720617
600,1006051681.7807211,6015845.964677845,854723946.7523158,478321508.9720607,2099504481.9599004,157437717.78579947
700,1006697220.1735977,5998191.56963484,851842730.9846184,477423353.8925595,2100177085.4800708,157287296.91847223
800,1007471456.664267,6158337.27610256,850192703.517811,477854700.25413704,2095526552.9713016,156685611.65261012
900,1010569871.2166767,6214609.2627813425,847244322.27384,476768082.5251496,2092957662.1012383,156835046.71691394
1000,1009529350.350215,6284958.193610799,849843302.4945464,477219783.758191,2089973887.7312922,156712698.07165185
1100,1013512102.4706638,6284763.204680801,842840494.0943079,476585151.05791414,2089915636.9501894,156353594.52821258
1200,1012452512.1111519,6432350.999171357,841880366.0857536,474914831.37464786,2087568469.536009,156241769.16135263
1300,1013074177.0907012,6460831.555318418,834955548.5131595,475440906.0837987,2086291043.094716,155675581.84438953
1400,1014371267.4975938,6516078.009616135,838284669.0058274,473907784.3632265,2082127752.0556564,155555273.3976867
1500,1016683163.8364552,6633569.253113501,830323518.1124405,473552539.37305313,2079801333.6753669,155426531.87178424
1600,1018313292.5555812,6555983.803364404,828926208.6167692,473867034.2851003,2076488411.5413685,155353332.05623913
1700,1019604627.7816672,6787819.219565996,826298941.5535408,473785798.4038991,2075597852.8104703,154781158.54115298
1800,1020718599.7918571,6709230.980804374,826068869.0207877,472369580.0796694,2069216087.180281,154818444.2004034
1900,1019996916.6781738,6863569.015215972,818910778.475624,472673930.7009196,2070808695.3086805,154325794.60248896
2000,1021419372.569666,6989894.45498348,822081683.0420538,471791510.03844696,2062607956.5205495,154308762.82680562
2100,1024246813.7900559,6991775.327850135,817756399.1321648,470829048.36657333,2066419587.962431,153842317.45845753
2200,1024035671.0220735,7016521.881671747,813748172.5959771,470976453.28405297,2058400772.761038,153719115.57296678
2300,1023894879.7499874,7085452.957772466,814705386.8565542,469744904.07955325,2054726204.5180647,153660675.10207802
2400,1028055862.8186938,7246018.023644667,810089122.4691552,469467644.3838578,2057810562.8166337,153649722.3872075
2500,1026820908.6595806,7157285.6529574795,808721562.4780337,469495366.46605515,2052438812.177162,153205751.00681406
2600,1030354084.9833252,7451314.191218629,806939632.8291395,468207440.94600207,2049735457.1078327,152890205.49125913
2700,1029862640.5071278,7526945.727586089,804141909.4323663,468021294.56674296,2046727692.1566763,152676020.93439937
2800,1030478958.2086883,7442529.56776943,802349640.59025,467557778.4624334,2045960535.8652987,152457862.12280148
2900,1033766949.2242469,7463748.563052927,798460404.2818016,467248146.4290912,2040166192.1434665,152338132.2557738
3000,1033021908.5095819,7553084.308748065,792952936.5165287,466589855.57144064,2043375696.776688,152126948.2661526
3100,1035923399.6835276,7629438.841727347,789573190.0038909,466668820.0610721,2034615727.831946,151952119.49583873
3200,1036257032.5524616,7737949.467185192,789504514.7919738,465940004.4914335,2034338538.184276,151656337.0763323
3300,1035820830.0272256,7829359.134332245,786512362.0427418,464688617.8393807,2036062060.8911347,151896239.1656531
3400,1037118232.2308992,7878181.52062218,781073509.1870614,465301500.20654255,2029843724.549003,151389145.300381
3500,1038444186.2082819,8077944.481140651,781114834.1894785,464336165.41652566,2028457442.1046653,151282062.84418532
3600,1040038920.6121676,8156235.1410369,778609237.9377222,464091468.58567137,2025437333.865558,151238267.23076677
3700,1041443462.2732879,8250097.328341907,777243814.8836044,463039073.5529336,2022084413.857432,150637457.85700017
3800,1041715871.2120072,8361956.699214527,772165500.6496178,462666964.2406153,2022883628.2754014,150291724.75482076
3900,1044864974.9057069,8388337.223898261,770465661.3472058,462352567.8196804,2016490423.0783956,150073306.06318098
4000,1046707781.4437805,8570742.69981606,770621422.3382627,462195123.4283905,2017295607.3004932,150318791.24769932
4100,1045519104.3961207,8680251.695013165,763833006.3312179,460791590.0503845,2011223080.0042055,149671265.33023858
4200,1046470937.3198664,8722503.447327113,765191505.7824285,461248946.9340846,2008451779.1339371,149501574.3361214
4300,1050156527.757201,8823284.894124974,760434657.366625,460578497.65166765,2010564544.0108507,149524525.70284742
4400,1049635243.5878698,8779457.605952753,763524634.4137292,459310297.1759798,2007053110.8199396,149477731.028757
4500,1051531908.9610617,8982495.633848984,754821163.7673222,458819729.66282374,2007316753.8396888,149252434.7172398
4600,1050574407.7987041,8977184.095978783,754314743.1845081,459212096.51313454,2002514271.9754708,149016989.75316224
4700,1054092333.4695121,9170913.489971656,751728255.1340246,458456233.4941209,2001970086.516593,148939040.62181678
4800,1054126502.3483368,9157847.671463154,754080977.1030961,457779465.86362326,1995931939.2035317,148491545.92092255
4900,1055674581.314743,9379817.224764988,746555693.01789,457755380.47304237,1995103384.7299101,148240621.1456441
5000,1057988261.951749,9385021.860816525,744683352.161421,456477151.65415597,1992837929.281355,147903442.15532607
