milliseconds,C_PCC,P_PSC,E_CD8,N_Killer,H_T_Helper,R_T_Regulatory
0,1000763267.6864365,5563641.952001358,873990767.5382257,482232727.0157563,2118332123.9034173,158592525.69301727
100,1002167037.8220887,5650398.788523283,872382426.2661434,481134700.35886365,2116196020.3355727,158223550.8590022
200,1002176185.6605246,5620038.437852984,868546080.6720815,481039836.17617613,2113276600.2582629,158078455.9310654
300,1001982188.6564909,5713363.589517643,868088970.2016968,480053395.298024,2108835802.1614795,157827999.40755668
400,1004266353.6792433,5753234.102502438,860610926.3517115,479587667.753077,2107388384.5023718,157801303.73803985
500,1005947095.5275162,5822122.759550483,856269512.4394822,479119910.5399153,2102441711.9806755,157766956.98949888
600,1005506091.0632066,5926908.965798545,859423557.6717589,478581564.26911753,2103574680.6117182,157152752.47085807
700,1009250893.4576883,5996172.135225125,855348580.7511597,478461108.6471801,2095450496.960074,157002649.25612012
800,1007669147.7581555,6054523.932868628,852048876.154424,477599271.4302797,2099449018.5994282,156685555.42071885
900,1008957413.6475525,6155090.809355798,851779888.2027719,477042482.12348473,2091411921.792773,156737207.32320136
1000,1009874883.7145462,6103555.4722667225,842497628.0596423,477033491.64974695,2090615308.583601,156355211.4681215
1100,1011814895.2026181,6308315.966008337,843247735.5240098,475854473.8601768,2085084082.652326,156017266.8812154
1200,1011827036.5916535,6256458.725579168,841280593.1594878,475740966.4655307,2083612615.2432945,156092781.34216726
1300,1013390520.6885712,6479186.53555263,837178393.0425626,474989511.55401766,2086549186.7872176,156064338.1693733
1400,1014318913.516489,6405647.849894251,834038625.3951131,475104070.06883925,2081554439.5220585,155376095.46217537
1500,1017662792.8898728,6554232.727712884,836278770.5912918,474771894.2834294,2081552220.265319,155764505.91309348
1600,1018441319.3971896,6596089.436981005,833394353.6644284,474289690.8472593,2074271658.395348,155288448.6734156
1700,1018645026.7387123,6741998.882130647,824117292.8832198,472562421.8205497,2071285173.7131162,154885405.64659745
1800,1021441696.6468523,6822088.851556366,827316851.9704279,472059035.7046409,2067171152.261416,155096125.38630214
1900,1021007950.9611142,6848402.623169667,822944279.3639739,472857847.89373934,2064636142.3868604,154897437.93274578
2000,1022938157.3895799,6999949.252466149,820587366.2921703,470938749.2438543,2069025718.9559243,154388042.28934604
2100,1022430931.7788106,6908783.900310354,819512996.7116952,471127159.11960864,2065222530.9392989,153972145.7123632
2200,1025672061.9815444,6952568.19320091,815563536.3201292,470334187.48815745,2062409874.3889158,153879890.60013697
2300,1025954915.9678369,7203806.677722422,814032425.416311,470133518.45878583,2061314789.0572276,154003632.05801082
2400,1026945835.1735348,7108883.758041493,809762110.4386139,470393871.587336,2052880063.8221104,153765752.86706555
2500,1026253034.8876622,7345149.919347482,810150732.7761538,468772713.9315384,2051814220.2554855,153538125.4467762
2600,1027843579.5196643,7318953.73680147,801899928.6773165,469200411.2749414,2051192460.7256029,152867130.48474282
2700,1028605668.123118,7486200.23506152,801554736.3679553,468256369.83161896,2049541810.5179968,152812986.22727644
2800,1031003747.2231423,7440462.371615426,799486273.2729353,467874603.9068571,2043544150.8898973,152893968.6582083
2900,1030978583.6210349,7633505.643710679,797744009.6408988,467169915.2521528,2045006998.937974,152314826.72823957
3000,1034534412.625578,7683551.376463991,795693319.8857661,467412168.0818778,2044206498.5789127,152416858.57789782
3100,1033928478.5887711,7639874.40849932,793999446.0773997,466320211.4767495,2037475347.8309681,151933879.7337965
3200,1035370015.5199059,7887671.255986438,785477177.8228837,465021222.43462944,2033226435.0783963,151573445.58720154
3300,1037315365.730268,7911953.188772872,786959914.9008691,464538934.3988063,2032857541.2336457,151697548.40716687
3400,1037786025.367553,7889351.959370095,786413301.7375681,464746108.68555325,2028342123.6797204,151480580.88717094
3500,1039561114.6170404,8087567.43147222,781545781.56751,464968506.4514393,2029716797.0779479,150947004.02046895
3600,1040819013.1175286,8052814.39529138,776872541.0418595,464155190.2919003,2022578543.827532,150956334.44827318
3700,1041842743.7122406,8136385.809836113,778569404.1954405,463497135.22989213,2023548732.410516,151071102.82714203
3800,1041181691.8703599,8227405.278595733,773445719.2622559,462868300.22412074,2022118312.038837,150501386.70934862
3900,1042468778.3233459,8504638.467370158,773510980.9839604,462712367.7926233,2016765799.2957625,150660644.91412693
4000,1045570816.4591627,8410152.07984745,771150129.411675,462347475.39438117,2017948741.859232,150343261.13047215
4100,1045290668.8464831,8537557.43336339,767907878.0605054,461786791.4253603,2011842677.170462,149812259.55928427
4200,1045712571.0869532,8602758.688646892,767790462.9345558,460439397.26673806,2012421180.545903,149812831.99889404
4300,1049502882.3462027,8848215.591654584,763736785.1183829,460397587.4362519,2006451819.6897316,149261436.49047077
4400,1049631623.5274338,8783189.178512072,757593966.3558661,459808054.16644907,2003668965.9192877,149581406.52924025
4500,1052038445.238595,8985598.263823569,761239685.5287796,459214306.6381349,2002942285.7017288,149014121.65033722
4600,1050830690.7776793,8990878.281904899,753037623.3163705,458951343.53333074,2003232059.1912563,149121199.51829845
4700,1053248528.700873,9236567.920077404,750111887.3987685,457685149.7265908,2001452969.639691,148602737.3715537
4800,1054536423.044345,9126353.346390275,749421379.6616024,457867706.6033956,2000698976.2448027,148531028.2449253
4900,1057148699.0065186,9321858.377095338,745858399.2262577,457600564.68235624,1994530256.4055903,148409962.57525647
5000,1055693838.0432727,9409932.82388618,744160142.5240455,456674628.3917743,1993576320.749211,148115168.2621534
