milliseconds,degr_Foxo1,cytoplasm_Foxo1_Pa0_Ac0_pUb0,nucleus_Foxo1_Pa0_Ac0_pUb0,dnabound_Foxo1_Pa0_Ac0_pUb0,cytoplasm_Foxo1_Pa0_Ac0_pUb1,nucleus_Foxo1_Pa0_Ac0_pUb1,dnabound_Foxo1_Pa0_Ac0_pUb1,cytoplasm_Foxo1_Pa0_Ac1_pUb0,nucleus_Foxo1_Pa0_Ac1_pUb0,dnabound_Foxo1_Pa0_Ac1_pUb0,cytoplasm_Foxo1_Pa0_Ac1_pUb1,nucleus_Foxo1_Pa0_Ac1_pUb1,dnabound_Foxo1_Pa0_Ac1_pUb1,cytoplasm_Foxo1_Pa1_Ac0_pUb0,nucleus_Foxo1_Pa1_Ac0_pUb0,dnabound_Foxo1_Pa1_Ac0_pUb0,cytoplasm_Foxo1_Pa1_Ac0_pUb1,nucleus_Foxo1_Pa1_Ac0_pUb1,dnabound_Foxo1_Pa1_Ac0_pUb1,cytoplasm_Foxo1_Pa1_Ac1_pUb0,nucleus_Foxo1_Pa1_Ac1_pUb0,dnabound_Foxo1_Pa1_Ac1_pUb0,cytoplasm_Foxo1_Pa1_Ac1_pUb1,nucleus_Foxo1_Pa1_Ac1_pUb1,dnabound_Foxo1_Pa1_Ac1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,0.0,60606060606060.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
100,29848522.872207124,59482080052858.98,35294445571778.47,2210840247448.2725,5918910305.41489,3523735915.4606457,220911322.29271322,9859469.152242472,177141513199.1135,11098612035.973701,507.38010328719014,11981162.719220245,751005.3086024575,29254803222.326942,9393761282.400478,559536698.142013,5811110.0410418175,1611537.7422255625,94295.45965731157,26205.627807316323,59838443.992857255,3238687.6540051107,1.9770251171507662,5616.355620894634,304.50621458997426,597893818430.9957,166639980.3442007,7141971.522188905,597893818430.9957,166639980.3442007,7141971.522188905,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,117613193.91303034,58386066932461.875,68526861120426.77,8603480396837.808,11562748729.402012,13661013547.70738,1718014587.6585345,77003385.39657244,690485179776.5035,86726700123.41322,7894.020174494398,93207769.23743309,11717817.137962693,56512503571.15313,35322181074.64169,4267684548.9014287,22298243.86454693,12037144.84221657,1431420.2609722284,395757.7260433611,450458429.2538803,49591222.98928058,59.212824750675715,83930.56480102584,9269.177182412175,1208770156125.7937,569070652.9519845,50538947.73220593,1208770156125.7937,569070652.9519845,50538947.73220593,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,260704114.5478269,57317074163989.47,99807016176542.27,18834731441535.812,16943530889.86797,29796654681.499474,5637242723.117564,253761105.82302338,1514262580774.207,285932012715.9311,38867.84121614947,305968688.6191004,57854717.969578505,81912226164.02826,74762530636.69028,13737551962.216036,48150764.91860309,37957948.37367163,6878218.446735041,1892020.0979302549,1431599085.950154,240348194.82301483,421.0631218891386,397146.98476695427,66982.60900981505,1856730638030.649,1119323731.3109312,153105823.17532566,1856730638030.649,1119323731.3109312,153105823.17532566,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,456636350.9782017,56274196503670.86,129238761955532.56,32582556188809.684,22072682816.15598,51360466778.99142,12992589253.844446,587429875.0321798,2624418081683.5625,662150654482.2362,119495.72168370913,705556471.0383847,178346128.6666092,105581027741.27345,125117817104.25693,31069578346.96838,82190120.58165766,84127141.13468449,20642343.625991832,5649725.2410846865,3197704064.269746,727477368.7675011,1662.4673040208472,1174066.854618578,268719.218190804,2563734236830.8203,1778947996.4948978,330277866.2512774,2563734236830.8203,1778947996.4948978,330277866.2512774,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
500,703025548.2425474,55256568251719.664,156920363472576.06,49544851695436.734,26961074907.233257,77824140479.9572,24676559562.007305,1120656159.241092,3998501063659.8203,1263589308206.4653,283842.23531933466,1340872455.4954016,424733269.50692856,127635174153.95691,184161248348.7739,57921361224.01621,123355525.80025722,153742533.33666167,47875042.12177886,13038543.348713871,5889462527.1577425,1701507275.4146526,4756.078154217867,2683126.5618676133,781024.3323804036,3349730371079.513,2536663251.1711626,594597895.5228877,3349730371079.513,2536663251.1711626,594597895.5228877,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
600,997583725.1086302,54263361114171.0,182944811578036.4,69438302402681.52,31619053563.98222,108698363492.02751,41469881475.691986,1891787587.1279314,5615564976919.615,2133583760158.4695,572745.665939431,2254984458.815254,859202910.2908201,148181267884.77264,249987720078.46457,95568897780.43129,170691416.5205147,248757007.92886996,94345874.44003426,25569911.045672357,9603564692.355587,3381277434.1737757,11100.391948830007,5211891.612106646,1851655.9566500848,4232784676379.45,3395677694.86754,958207441.384683,4232784676379.45,3395677694.86754,958207441.384683,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,1338115245.99908,53293782207475.49,207400116188293.72,91997299954642.34,36056470678.68962,143530135595.45648,64050523759.71636,2935198025.211016,7456072780739.037,3310935081749.3687,1032718.710546325,3485640497.835776,1553026699.6932054,167317243193.7196,320971482302.9041,144960228987.83084,223336441.4652133,370136203.9732438,166178578.2227338,44823360.66437826,14400921794.748539,6005312045.885296,22515.963689704713,9051763.768846199,3814637.026061413,5229197797602.179,4366540792.434647,1434144380.869005,5229197797602.179,4366540792.434647,1434144380.869005,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,1722512964.0671594,52347072193506.03,230369582060668.78,116972925338515.34,40282711166.288635,181900268932.07236,93002073883.18066,4281588288.4231305,9501808309805.973,4830224938649.381,1714961.5105676008,5065742117.454586,2585139010.1353874,185133245619.12445,395729185447.4971,206762431031.34567,280513777.98434037,518071912.3379691,269638214.4201385,72388956.62477732,20313581208.712593,9824589054.026539,41219.570993707915,14486822.831755962,7091510.071643902,6353617597400.425,5463115225.304312,2036974836.7324996,6353617597400.425,5463115225.304312,2036974836.7324996,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,2148754527.578523,51422503532889.67,251932068494492.12,144131988764132.66,44306718717.7635,223421057681.37534,128821527633.81407,5958264884.730085,11735793095548.549,6722111574651.323,2674475.243422515,7023780903.198522,4040841090.658324,201712411101.7943,473087578574.89246,281402820925.4503,341522581.72880656,692158552.1361024,410961009.02782047,109822923.84962393,27350540347.201973,15096499849.670837,69783.84679766076,21785915.579732627,12189692.724423008,7619145213502.0625,6700327145.077281,2783051631.4787736,7619145213502.0625,6700327145.077281,2783051631.4787736,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
