milliseconds,Susceptible,Exposed,Infected,Recovered
0,11080783.217747405,189.70570414007233,24.625783815125118,1.812569173276306
100,11080779.218270563,206.23782844714583,31.995831120549596,2.192517175365453
200,11080775.017301215,198.16498783729634,34.558125953387496,1.856936923790343
300,11080752.526582396,210.39867311882523,31.642279795427022,2.4524782919130836
400,11080736.051693201,215.2798222767702,33.95010434753982,2.7446352779912058
500,11080727.517792907,223.89717039695205,42.596575161784756,2.442403199210284
600,11080714.797373312,217.99122802017052,42.18864393012372,2.6371621850387603
700,11080711.402555268,235.47751195208957,49.400685167041466,3.2523921024584754
800,11080702.853260953,247.07893034545336,47.95938900394334,3.8827577075545237
900,11080707.109729134,251.62319894765173,52.39570033404345,3.8526169177334597
1000,11080692.383516515,242.9637089467587,59.36246766828698,4.375401202816175
1100,11080682.240528662,255.06821773984498,60.672948123768926,4.192768870485303
1200,11080665.676227612,274.1789081523526,63.769744210306904,4.461843023252499
1300,11080646.168798974,263.98609116555497,64.21261157383181,4.747170451641798
1400,11080635.471128495,272.71215263796825,73.11033547852163,5.246389421545696
1500,11080628.985142965,279.89115920341675,73.10321867327178,5.764477600924319
1600,11080627.536787301,289.20953706688704,73.21764437348234,5.760188463655754
1700,11080619.444136066,305.65533814583625,78.39350645411417,6.456078491651746
1800,11080584.459387185,321.3964964485525,88.20188952296368,6.856744127430056
1900,11080580.500773786,323.267694816391,89.08520402688225,7.201598466274079
2000,11080555.971018722,326.86232119580256,90.3342768620637,7.247512201352955
2100,11080557.415094722,341.8300360861398,95.2482197750064,8.17603754723196
2200,11080546.736365767,350.4657683782924,105.27609081238265,7.985491139656484
2300,11080528.210741453,363.4185683316597,104.96854599079141,8.847177785876283
2400,11080513.163977822,366.66661172427024,114.48989884366262,9.261814508470389
2500,11080490.092489067,378.3047379505115,116.62165496428044,10.322081865194406
2600,11080479.557984563,397.58226627274547,121.57301192320534,10.37686410675494
2700,11080443.69220404,412.6564379083566,125.81632733804508,11.074868543059244
2800,11080434.434964698,428.12265454222523,127.57339309763987,11.376660814321804
2900,11080407.22659615,439.63502804461604,132.86747830010526,12.12431571705948
3000,11080406.798438197,436.6261750213089,142.17456402842637,12.976589135994221
3100,11080373.714897057,466.3542321267416,150.8345871877766,13.441375313873879
3200,11080351.102294303,475.2989245659162,149.9120168828869,14.092959083558055
3300,11080345.489899103,495.9005627717398,161.65010175222542,15.562709644706132
3400,11080330.039564926,493.40889032720037,166.97096757968475,16.07380765631597
3500,11080299.878611086,508.25063760642695,174.43858863536684,17.173265595214012
3600,11080275.407000627,527.2551876653806,181.2953370979625,17.205395631273046
3700,11080256.16466879,556.8495665949979,180.8100723859695,18.972510366039746
3800,11080220.426953562,573.2190556156802,191.4691472973479,19.702690575415676
3900,11080210.687838824,583.9872188018644,196.79401201113342,20.379708750469263
4000,11080184.899639733,600.7430409133858,208.70251886785618,21.01381707758946
4100,11080138.513447305,611.4930765608863,211.98777033047656,22.431757268209378
4200,11080113.361187132,644.1626238190711,221.84669280438803,23.65142485874427
4300,11080101.05054167,662.0592387230901,231.8115127539568,24.433468060797264
4400,11080056.923829494,684.8778007803904,239.60086007295487,25.643121031462588
4500,11080018.121360287,704.1501918766139,248.56365229334574,26.317724235160757
4600,11080001.708333082,713.6401502329263,253.22234404685295,27.83995979774792
4700,11079970.01346465,740.8530579066265,260.78529489469565,29.63123326675768
4800,11079920.18276079,774.0610962725103,270.4133772096771,30.625824520302444
4900,11079902.52324871,789.3556273794474,285.34259346023384,31.449907523396753
5000,11079846.56354007,806.2677226003511,295.89131948033673,33.552469339405874
