miliseconds,Susceptible,Exposed,Infected,Recovered
0,11080770.744818214,188.24440978698138,24.41209351994209,1.9287941778552835
100,11080762.65910386,204.75570856222484,29.775944524854214,2.5098616312362068
200,11080771.498024404,198.8690035739599,30.32036970734709,2.133379374752286
300,11080754.429134486,206.73384693787622,31.944699257266365,2.428147484576269
400,11080734.878333922,214.19914087708932,39.58992625477143,2.1746974457663937
500,11080739.89822134,226.57673703678427,37.72332410328496,3.139281503723368
600,11080733.757022263,228.0372919500279,39.762681884631284,2.8210548116128824
700,11080721.252379775,230.0131217812105,45.84851009296046,3.53759031153408
800,11080697.076081336,234.30566195616095,48.99157126664731,3.2601854536418045
900,11080703.672952503,244.2387596108234,51.778297223411215,4.058631350678911
1000,11080687.467315035,256.02306655876333,54.298585160324464,4.01064653657408
1100,11080683.48542707,253.81846067113383,60.77413335416659,4.608592739200783
1200,11080670.563818933,260.33338362479907,61.332333416829364,4.142933337664361
1300,11080652.308345987,277.4291553583775,64.16893525804603,4.7144211910576415
1400,11080641.860681105,286.4058281753322,71.01972038511607,4.8670031696123885
1500,11080645.541983902,297.4895730000493,70.45809129701829,5.358399850972066
1600,11080619.944080522,293.67320170634247,76.7848260517789,5.59114077277867
1700,11080611.90283894,297.77733765245495,81.27936950316636,6.303322366326002
1800,11080587.557037232,317.7352909486412,85.72912665028151,6.709148904101729
1900,11080586.98927314,323.4745663062972,89.16313867361866,6.822363138994071
2000,11080568.860741714,324.13024670033946,93.40447717602454,7.165981013549444
2100,11080560.62260696,336.15392542960547,100.26651579988253,8.259162814887786
2200,11080540.821663791,353.05053362745446,98.05772591806947,8.699428085049943
2300,11080518.228367364,362.3401239739036,109.26431144504448,8.866975627055075
2400,11080495.401058206,364.99821081449306,114.33065581775648,9.324586278329885
2500,11080479.31034543,386.60187792584975,118.93807461392554,10.220565709550286
2600,11080463.601597251,388.2854165732939,117.24390978283918,10.848628056964625
2700,11080450.811744567,406.08363223851364,125.85411552693992,10.953828527347978
2800,11080433.982645312,414.0447231492979,127.59582094929182,11.714774353378774
2900,11080419.629515905,435.18952143711056,134.42291157976274,12.772156547978108
3000,11080387.592477096,453.00357766306314,141.62236957530865,12.797480598895799
3100,11080378.416179994,464.4164305661401,144.2215844218122,13.68978870229964
3200,11080357.479137622,474.9702801597069,150.80924096381128,14.608485858598593
3300,11080333.748571422,492.6097485289084,161.12999342316735,15.611402074245728
3400,11080327.043704493,495.96872687440714,166.2131527917769,15.812102345547705
3500,11080288.759485511,510.23818786008667,172.78942084686565,16.464158348894262
3600,11080282.566686692,524.5579961517858,181.45609917902857,17.996641469241904
3700,11080250.354179617,549.2378904615432,183.27489890573548,18.824925032371116
3800,11080218.578833457,573.6983070006288,194.93773352379742,19.881237415202843
3900,11080185.542688722,589.3266385480857,197.55986330280132,20.390075178217707
4000,11080175.485616365,604.5973485386592,209.3623431165573,21.5401388096332
4100,11080148.812694902,618.2610185430902,209.73222058948943,21.931513020394245
4200,11080123.602899587,634.4479540376099,223.09571179326144,23.002683325026982
4300,11080075.698296975,652.8727067479896,230.2980527756006,24.4437917408466
4400,11080071.754781138,669.5372382579911,234.17242449295065,25.242731230821207
4500,11080032.826819528,702.622917568755,243.48687233557152,26.357785655045557
4600,11079983.67511877,723.9656082937981,252.5757015798439,27.803854073727113
4700,11079955.598356728,746.5620140432834,265.48383707532105,28.8293703573039
4800,11079933.524864372,759.954180499206,270.5141060809657,30.554634023660476
4900,11079887.381174259,789.499371858589,281.00555679821986,31.670312047247958
5000,11079859.997630069,817.1202549831679,288.9577370529794,33.372011973666986
