milliseconds,L
0,194.92029730284574
100,292.8116971924015
200,422.5875950046433
300,594.6329855752572
400,822.7176398009533
500,1125.0915595698702
600,1525.9524331622906
700,2057.3799550891918
800,2761.9016911782846
900,3695.8970929341435
1000,4934.091012389242
1100,4714.062473031981
1200,4503.840868418272
1300,4302.993731147744
1400,4111.102855254666
1500,3927.768857455215
1600,3752.611565579333
1700,3585.266621130173
1800,3425.384593364217
1900,3272.6314492402407
2000,3126.688524473891
2100,2987.2530967908206
2200,2854.0357413767897
2300,2726.759396808957
2400,2605.159125334906
2500,2488.98168991394
2600,2377.9851783708405
2700,2271.938308300351
2800,2170.620162583099
2900,2073.8209722847246
3000,1981.3383354550633
3100,1862.8855053049083
3200,1751.514991200064
3300,1646.8062946742987
3400,1548.3569806953656
3500,1455.793027680098
3600,1368.764043679405
3700,1286.9373223292437
3800,1210.0010937094066
3900,1137.6640693665363
4000,1069.6517445218726
4100,1005.7053006640698
4200,945.5813196801112
4300,889.0516577102247
4400,835.9014993801935
4500,785.9288186865466
4600,738.9436637425902
4700,694.7674855364189
4800,653.2322992947503
4900,614.1802232645626
5000,577.4634534422494
