milliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
0,3.8498350890425845e-13,4.9999999999999996e-06,6.893792002446634e-12,-5.2504939301063946e-11,5.087910198751962e-26,-2.8713977526163587e-10,-1.7135018883001562e-15,1e-05,1e-05
100,4.080626463588298e-11,5e-06,9.745765707748993e-10,2.7589446285393934e-11,4.542449563783999e-23,5.695987066294004e-10,1.6339768065755716e-14,1e-05,1e-05
200,4.1115229341323783e-11,4.9999999999999996e-06,9.611083952846603e-10,6.535141275108942e-11,4.500514200987941e-23,1.213543658420512e-10,4.683404809939559e-14,1e-05,1e-05
300,4.082956447694544e-11,5e-06,9.615869149255573e-10,6.866893181370208e-11,4.506705599319424e-23,-4.633892955673706e-10,3.6053831058931507e-14,1e-05,1e-05
400,4.14080615806957e-11,5e-06,9.591572592018807e-10,1.1905085030822707e-10,4.492108528925058e-23,-5.053627693831399e-11,5.43195511280667e-14,1e-05,1e-05
500,4.065858815719643e-11,5e-06,9.661124108663262e-10,1.6883137068519281e-10,4.475998786711767e-23,-2.4771543557850373e-12,5.821657623038547e-14,1e-05,1e-05
600,4.121926990542242e-11,4.9999999999999996e-06,9.75646386150359e-10,1.9239784839333004e-10,4.5678778681399335e-23,5.361715992581915e-10,6.887113927641184e-14,1e-05,1e-05
700,4.089188998959943e-11,5e-06,9.772272742424766e-10,3.1761347056113984e-10,4.487738432770245e-23,1.2736417017253386e-09,6.93920139081034e-14,1e-05,1e-05
800,4.1607557470268597e-11,5e-06,9.740337751578725e-10,2.7594481214189445e-10,4.4734600437904184e-23,4.379559176043198e-10,8.648353193987834e-14,1.0000000000000003e-05,1.0000000000000003e-05
900,4.138687230914488e-11,4.9999999999999996e-06,9.654795265412977e-10,3.286069326718613e-10,4.531779494698597e-23,1.1275946934078378e-09,8.720488905502577e-14,1e-05,1e-05
1000,4.0865087860258956e-11,5.000000000000001e-06,9.730784526506335e-10,4.5250735597958205e-10,4.518629026135581e-23,8.707594250166274e-10,1.1278682028281616e-13,1e-05,1e-05
1100,4.108972197945454e-11,5e-06,9.835429617816915e-10,4.477314475564494e-10,4.481402159816614e-23,2.031034415756729e-09,1.0858305846004607e-13,1.0000000000000003e-05,9.999999999999999e-06
1200,4.1076798266574696e-11,5e-06,9.715893934423325e-10,5.220578722606104e-10,4.4515698342409213e-23,1.6663471090236358e-09,1.228089921964159e-13,1e-05,1e-05
1300,4.0915110347033125e-11,5e-06,9.594039009421575e-10,5.346260961350906e-10,4.5155087217983536e-23,2.3445317252432603e-09,1.3974992605749217e-13,9.999999999999999e-06,1.0000000000000003e-05
1400,4.1143483445951893e-11,5e-06,9.63213023159674e-10,5.365797099518634e-10,4.460920972697121e-23,2.5547302912840633e-09,1.6015734827249116e-13,1e-05,1e-05
1500,4.125226503300722e-11,5e-06,9.695161070875788e-10,6.159513841748438e-10,4.5672734382731946e-23,3.026958745628116e-09,1.68588551116053e-13,1e-05,1e-05
1600,4.1614641390572154e-11,4.9999999999999996e-06,9.744415306082414e-10,6.998007852867659e-10,4.566963412511233e-23,3.5011529240061828e-09,1.7305044832160602e-13,1e-05,1e-05
1700,4.105006056994694e-11,4.9999999999999996e-06,9.680407237001623e-10,6.672159460653209e-10,4.5517234684206645e-23,3.1075942733252965e-09,1.6945558968579371e-13,1e-05,1e-05
1800,4.178861092241506e-11,5e-06,9.686232932534876e-10,7.009261356012465e-10,4.5252389478367515e-23,3.543805017669541e-09,1.9215095534645222e-13,1e-05,1e-05
1900,4.179791373399692e-11,5.000000000000001e-06,9.831576122080414e-10,7.499931363047697e-10,4.492254468534555e-23,4.55161580326148e-09,1.9168843931005063e-13,1e-05,1e-05
2000,4.083580878806774e-11,5.000000000000001e-06,9.808586493388048e-10,8.449806790717878e-10,4.506582275704437e-23,3.930341505867469e-09,2.0698161248011247e-13,1e-05,1e-05
2100,4.079263612847358e-11,5e-06,9.601374942902681e-10,8.9045730583673e-10,4.496476645112378e-23,5.241929295243307e-09,2.2826834646692006e-13,9.999999999999999e-06,1e-05
2200,4.130563094273937e-11,5e-06,9.821968597991912e-10,9.438450537235528e-10,4.496219779023846e-23,5.3812821242091216e-09,2.2315712829657224e-13,1.0000000000000003e-05,1.0000000000000003e-05
2300,4.133652335652511e-11,4.9999999999999996e-06,9.844109945283086e-10,9.224716272431422e-10,4.502786793572679e-23,5.844393861001831e-09,2.443212541640142e-13,1.0000000000000003e-05,1e-05
2400,4.0719332247678314e-11,4.9999999999999996e-06,9.823576247972973e-10,1.0208868323411103e-09,4.4837554768906254e-23,6.395070660711111e-09,2.3130984307414463e-13,1e-05,1e-05
2500,4.0930054614658714e-11,5e-06,9.642206046983526e-10,1.0536491231377124e-09,4.4820043181943e-23,6.82097380980369e-09,2.594313263642053e-13,1e-05,1e-05
2600,4.1172542608729275e-11,4.9999999999999996e-06,9.640808727356581e-10,1.0264478509079195e-09,4.496881100423908e-23,7.172961207834279e-09,2.7169857903718794e-13,1e-05,1e-05
2700,4.146275391899005e-11,5e-06,9.75064054608231e-10,1.1229997507013785e-09,4.515837955900882e-23,7.1359177007416696e-09,2.8660853554379736e-13,1e-05,1.0000000000000003e-05
2800,4.14489744229874e-11,5e-06,9.79413033672682e-10,1.1637879228278375e-09,4.5193722813311085e-23,8.699227601338271e-09,2.735891663242735e-13,9.999999999999999e-06,9.999999999999999e-06
2900,4.158498576755573e-11,5e-06,9.818081664649598e-10,1.1479699688125735e-09,4.551087742863863e-23,8.579511524456036e-09,2.8667289348273674e-13,1.0000000000000003e-05,9.999999999999999e-06
3000,4.0685144831573625e-11,5.000000000000001e-06,9.656127649551515e-10,1.2904942944087468e-09,4.5495517898371653e-23,8.924050455047502e-09,2.9353523448579667e-13,1e-05,1e-05
3100,4.074384072612412e-11,4.9999999999999996e-06,9.591998192112024e-10,1.2285192587527223e-09,4.523024301725591e-23,9.593774428015552e-09,3.244017539348255e-13,1e-05,1e-05
3200,4.173228887238271e-11,5e-06,9.752061560210948e-10,1.303722430684675e-09,4.562064359411169e-23,9.848836465913998e-09,3.3491491854667184e-13,1.0000000000000003e-05,1e-05
3300,4.1246562262403034e-11,5e-06,9.693446831464487e-10,1.3218420894187709e-09,4.47629187600283e-23,1.0223884594233008e-08,3.334642667587532e-13,9.999999999999999e-06,9.999999999999999e-06
3400,4.1431740389489826e-11,4.9999999999999996e-06,9.769132501886339e-10,1.4103509581440699e-09,4.465777527698097e-23,1.1751257477748507e-08,3.298690654299956e-13,1e-05,1e-05
3500,4.07961068683122e-11,5e-06,9.749605654967952e-10,1.4880591761592186e-09,4.5382803804801223e-23,1.1232528180281689e-08,3.6359684409426575e-13,1e-05,9.999999999999999e-06
3600,4.130679328099389e-11,5e-06,9.687814215118131e-10,1.5220479654292882e-09,4.554578613130901e-23,1.2088587502464493e-08,3.687687995061082e-13,1e-05,1e-05
3700,4.106528377648997e-11,5e-06,9.596875109689076e-10,1.5216897950201834e-09,4.5192120457707515e-23,1.3021417421957159e-08,3.5998014502860053e-13,9.999999999999999e-06,1e-05
3800,4.0909600476317124e-11,5e-06,9.66222878411912e-10,1.5307493539833006e-09,4.5427103758767443e-23,1.4146695276989675e-08,3.653654052914718e-13,1.0000000000000003e-05,1e-05
3900,4.1154535578163093e-11,4.9999999999999996e-06,9.608825721012716e-10,1.6304684656042326e-09,4.551925708870935e-23,1.4099511782070565e-08,3.832005792142144e-13,1.0000000000000003e-05,9.999999999999999e-06
4000,4.09485874267689e-11,5e-06,9.617490456424388e-10,1.5899349314523738e-09,4.4627839968769053e-23,1.4451138264148403e-08,3.9615549081337693e-13,1e-05,1e-05
4100,4.112346105534586e-11,5e-06,9.67110493748663e-10,1.733389704212086e-09,4.5488972364447923e-23,1.5055800863873397e-08,4.0071174795665044e-13,1e-05,1e-05
4200,4.1618206433998434e-11,5e-06,9.753455198709783e-10,1.7720649085198702e-09,4.45211026202e-23,1.5541857641132746e-08,4.2073460322069647e-13,1.0000000000000003e-05,1e-05
