milliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
0,1.9655470542294775e-13,4.9999999999999996e-06,-2.88227655229781e-12,-3.275197640838371e-11,6.026755228326667e-25,2.2129548087476633e-10,-3.611093775178535e-15,1e-05,1e-05
100,4.1465735613008915e-11,5e-06,9.736501589384726e-10,1.131586224021782e-13,4.502535704722788e-23,-1.7717811520073076e-10,2.5544798790248056e-14,1e-05,1e-05
200,4.0791187646767476e-11,5e-06,9.826782977743902e-10,3.461197318549318e-11,4.566144627229582e-23,2.1805288931271686e-10,2.325367185320515e-14,1e-05,1e-05
300,4.070446459272662e-11,5e-06,9.631254453594098e-10,1.5066859656332923e-10,4.4557303522039133e-23,3.96316821048072e-10,4.890464806020937e-14,1e-05,9.999999999999999e-06
400,4.1205987798098147e-11,5e-06,9.636391572055248e-10,2.1560407616037865e-10,4.521544677340678e-23,1.4999696495128808e-10,6.478209658098084e-14,1e-05,1e-05
500,4.165406675938874e-11,5.000000000000001e-06,9.67476339628534e-10,1.8301121970870522e-10,4.541750208927101e-23,7.295053218308548e-10,6.328613722618334e-14,1e-05,1e-05
600,4.123768870870357e-11,5e-06,9.820791420988983e-10,2.6233874113770263e-10,4.509473605633488e-23,8.867570710876176e-10,7.783687997227084e-14,1e-05,1e-05
700,4.175348085623425e-11,5e-06,9.831114154652886e-10,2.4057141244481776e-10,4.543167369444415e-23,5.600783257766113e-10,7.942262421852134e-14,1.0000000000000003e-05,1e-05
800,4.105241798108888e-11,4.9999999999999996e-06,9.826089231718544e-10,3.752062202918717e-10,4.5155923928963374e-23,3.2273934122752095e-10,9.685685842009681e-14,1e-05,1e-05
900,4.114825270549514e-11,5.000000000000001e-06,9.628940467121951e-10,4.313376660051229e-10,4.4953099229431653e-23,6.67868045089887e-10,1.0098723186090186e-13,1.0000000000000003e-05,1.0000000000000003e-05
1000,4.070600356641881e-11,5e-06,9.816473691498472e-10,4.1060589692691657e-10,4.527506169227757e-23,1.2614902832579546e-09,1.0488330517083591e-13,1e-05,1.0000000000000003e-05
1100,4.0915053067466815e-11,5e-06,9.793940323387496e-10,5.127416701133736e-10,4.5586132860856924e-23,1.7693955002722668e-09,1.3030332966350153e-13,1e-05,1e-05
1200,4.1503589460353446e-11,5e-06,9.624623197847378e-10,4.615892019520888e-10,4.5348411929254645e-23,1.5694461026037904e-09,1.223457906878473e-13,1.0000000000000003e-05,1.0000000000000003e-05
1300,4.141797932399405e-11,5e-06,9.772178137143996e-10,4.95820765780819e-10,4.511345324934298e-23,2.4816729309659503e-09,1.357635785747502e-13,1.0000000000000003e-05,1e-05
1400,4.075374937951579e-11,5e-06,9.758874959418636e-10,5.345800089376005e-10,4.523273253192257e-23,3.018057608624779e-09,1.364648148321188e-13,1e-05,1e-05
1500,4.092899415305313e-11,5.000000000000001e-06,9.589358297545516e-10,6.660328197913468e-10,4.454642322102745e-23,2.4775370951357946e-09,1.5516616714663064e-13,1.0000000000000003e-05,1e-05
1600,4.124537187615956e-11,5e-06,9.807205852140908e-10,6.869254681342137e-10,4.5427748221789017e-23,2.6061468837980824e-09,1.6362646170553357e-13,1e-05,1e-05
1700,4.0786381711902196e-11,5.000000000000001e-06,9.712665343267373e-10,6.680748620536715e-10,4.4792097927241884e-23,3.501897644110652e-09,1.8009450754511492e-13,1e-05,1e-05
1800,4.1725782082479125e-11,5e-06,9.81077999927132e-10,7.202488641375191e-10,4.510778363804463e-23,3.5263111034477553e-09,1.764350216737504e-13,9.999999999999999e-06,1e-05
1900,4.10337429518974e-11,5e-06,9.758979551985045e-10,7.268535647345463e-10,4.4765075993751265e-23,3.6361842571421333e-09,2.0620533101723284e-13,1e-05,9.999999999999999e-06
2000,4.176109745711719e-11,5e-06,9.768266650691217e-10,8.090870847717199e-10,4.5085742518474294e-23,5.0925005235560815e-09,2.1381014553914118e-13,1e-05,1e-05
2100,4.165164571581333e-11,5e-06,9.622014136096079e-10,8.164976304032878e-10,4.4995330863231135e-23,5.1859318651247385e-09,2.1504215303619362e-13,1.0000000000000003e-05,1e-05
2200,4.1062814060109994e-11,5e-06,9.629417328926858e-10,9.004495045743144e-10,4.563785429970482e-23,5.309395344519573e-09,2.3636490649397786e-13,1e-05,1e-05
2300,4.1275911294139865e-11,5e-06,9.769939940018995e-10,9.649336810153627e-10,4.554906046795649e-23,5.62287635857676e-09,2.3621008581793207e-13,1e-05,1e-05
2400,4.125695149599906e-11,5e-06,9.636495711432284e-10,9.754566217917558e-10,4.521629585613465e-23,6.428497074853765e-09,2.574486185336483e-13,1e-05,1e-05
2500,4.095150129709903e-11,5.000000000000001e-06,9.620962066295344e-10,9.788000207018194e-10,4.5671883698326265e-23,6.3844640182661325e-09,2.517825755446261e-13,1e-05,1e-05
2600,4.107768430606522e-11,5.000000000000001e-06,9.776665862916198e-10,1.0992878385468975e-09,4.515142575701779e-23,7.530504678129165e-09,2.7542418269826526e-13,1e-05,1e-05
2700,4.1706896734159974e-11,5e-06,9.758649022968224e-10,1.165937419188219e-09,4.5330724291470227e-23,7.601190082056058e-09,2.700476383263049e-13,1.0000000000000003e-05,1e-05
2800,4.176393477551158e-11,5e-06,9.68977172332419e-10,1.167950897994646e-09,4.502314672286617e-23,8.656692939140042e-09,2.812387227496918e-13,1e-05,9.999999999999999e-06
2900,4.115807636969699e-11,5.000000000000001e-06,9.752498583964257e-10,1.2223357657847787e-09,4.4921802657914134e-23,8.906284010824356e-09,2.901579771001606e-13,1e-05,1.0000000000000003e-05
3000,4.1303122761128025e-11,5e-06,9.701711656167286e-10,1.2608397401553468e-09,4.5327530951528236e-23,8.68915424268435e-09,3.080494683196529e-13,1e-05,1e-05
3100,4.1555550659968e-11,5e-06,9.57893360772388e-10,1.3163944039661323e-09,4.4490761570603674e-23,1.012802415105603e-08,3.081395351707989e-13,1e-05,1e-05
3200,4.0700415879231624e-11,5e-06,9.798576203714733e-10,1.2830526389971827e-09,4.475273670080215e-23,9.86314155260612e-09,3.294707467264427e-13,1e-05,9.999999999999999e-06
3300,4.087141947477717e-11,5e-06,9.84574733216247e-10,1.3202639672823612e-09,4.54734583956314e-23,1.0364487606790308e-08,3.308625628061651e-13,1e-05,9.999999999999999e-06
3400,4.123781583610088e-11,5e-06,9.70331666200782e-10,1.3598415476234524e-09,4.4704591468203075e-23,1.1278321232792543e-08,3.2685575506804115e-13,1e-05,1e-05
3500,4.1342067662899235e-11,4.9999999999999996e-06,9.774619441968497e-10,1.4045641481947472e-09,4.537468751241199e-23,1.2028875271174995e-08,3.3914053205836095e-13,1.0000000000000003e-05,9.999999999999999e-06
3600,4.1329246274940785e-11,5e-06,9.830070051260763e-10,1.5261844895148827e-09,4.5600491912281746e-23,1.2677339133951496e-08,3.460271790539711e-13,1e-05,1e-05
3700,4.083753541577538e-11,5e-06,9.68500680983109e-10,1.5356223988424805e-09,4.4575574033831337e-23,1.303438811898916e-08,3.6919617466047083e-13,1e-05,1.0000000000000003e-05
3800,4.1207981776804056e-11,4.9999999999999996e-06,9.636470694597655e-10,1.5969917010142028e-09,4.469809847748895e-23,1.292881055117598e-08,3.667639832438648e-13,1e-05,1.0000000000000003e-05
3900,4.134614958786899e-11,5e-06,9.646546317943923e-10,1.5984735420562891e-09,4.537892911075847e-23,1.4491990155666448e-08,3.8518505148424774e-13,1e-05,1.0000000000000003e-05
4000,4.12714264773388e-11,4.9999999999999996e-06,9.809994633137646e-10,1.6033503236205917e-09,4.497439903810163e-23,1.4582459605885273e-08,4.1027415140353577e-13,1.0000000000000003e-05,1e-05
4100,4.082278013482672e-11,5e-06,9.748267946053254e-10,1.7141285887372146e-09,4.4809160406404294e-23,1.566280532801771e-08,4.1570762559115443e-13,9.999999999999999e-06,1e-05
4200,4.146844257468207e-11,5e-06,9.758109435037446e-10,1.7040501751617216e-09,4.506897326588469e-23,1.642971121994156e-08,4.293276318620905e-13,1e-05,1.0000000000000003e-05
4300,4.128464607770389e-11,5e-06,9.817925910040342e-10,1.8204894991770052e-09,4.49521519070547e-23,1.6185160396298764e-08,4.2662847571993683e-13,1e-05,1e-05
4400,4.138068403687126e-11,4.9999999999999996e-06,9.722082880990713e-10,1.8064792616319293e-09,4.468173812781998e-23,1.7501671021420525e-08,4.2844797228615203e-13,1e-05,1e-05
4500,4.127243933861822e-11,5e-06,9.704084092424834e-10,1.799751299015783e-09,4.510418489273726e-23,1.7312465645398646e-08,4.3662430328525425e-13,1e-05,1e-05
4600,4.16663972841248e-11,4.9999999999999996e-06,9.582933417895689e-10,1.880624665841738e-09,4.4943646154803666e-23,1.887418861197271e-08,4.544122331615644e-13,1e-05,9.999999999999999e-06
4700,4.113333990277416e-11,4.9999999999999996e-06,9.583898350253407e-10,1.9043538076865493e-09,4.5468559223618525e-23,1.9007496999606982e-08,4.5447220464744484e-13,9.999999999999999e-06,9.999999999999999e-06
4800,4.0679513360509414e-11,5e-06,9.78166627357516e-10,1.942016847202161e-09,4.511107335667501e-23,1.96487082215872e-08,4.667296535592546e-13,1e-05,9.999999999999999e-06
4900,4.145307289941591e-11,5e-06,9.824554138828933e-10,2.0741722552626343e-09,4.5586074007596336e-23,2.094086220075874e-08,4.83441293693621e-13,1e-05,1e-05
5000,4.0895662074958983e-11,4.9999999999999996e-06,9.682987010348483e-10,2.0159938086660976e-09,4.5331155719268477e-23,2.064904331032344e-08,4.893330372473565e-13,1e-05,1e-05
