milliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
0,2.7863126108455555e-13,5e-06,4.0677537228066345e-12,1.676979036755978e-11,-3.593476641074455e-25,3.9791025848440674e-10,2.574519976454934e-15,9.999999999999999e-06,1e-05
100,4.0800343487125146e-11,4.9999999999999996e-06,9.813900123686008e-10,9.842473077333344e-11,4.54173709306956e-23,2.623947406730756e-10,1.072206697716188e-14,1.0000000000000003e-05,1e-05
200,4.089606008385558e-11,5e-06,9.707142082840283e-10,3.086029812119241e-11,4.519265206887367e-23,-1.1974764049719625e-10,3.590792862196191e-14,9.999999999999999e-06,1.0000000000000003e-05
300,4.1707212703662466e-11,5e-06,9.64899909138348e-10,1.7713387471693991e-10,4.5167443768631395e-23,-2.477694441838955e-10,3.197543489626397e-14,1e-05,1e-05
400,4.09712605607017e-11,5e-06,9.767763868627081e-10,1.876348352656793e-10,4.4817467341949563e-23,2.7449908655757043e-10,4.400161194266924e-14,1e-05,1e-05
500,4.154107135847386e-11,5e-06,9.79967269459308e-10,2.5773379674636666e-10,4.4572455438332556e-23,2.4396217492426223e-11,5.6019170418374914e-14,1e-05,1e-05
600,4.135451122800676e-11,5e-06,9.786078777061943e-10,2.872229934356876e-10,4.447111602545277e-23,1.0494055556144601e-09,7.882672639181691e-14,1e-05,9.999999999999999e-06
700,4.073532049040249e-11,5e-06,9.590177630859958e-10,3.27242803113078e-10,4.554813104503215e-23,9.702174542844353e-10,9.142069108718472e-14,1e-05,1e-05
800,4.1187164145266435e-11,5e-06,9.7726356085008e-10,3.3315065925600845e-10,4.496096588936786e-23,1.2413378675460663e-09,8.229348829962686e-14,1e-05,1e-05
900,4.13142427391501e-11,5e-06,9.807936711298434e-10,3.820194567333713e-10,4.5323159345555136e-23,7.72617633845205e-10,1.053947924904253e-13,1e-05,1e-05
1000,4.139239686359685e-11,5e-06,9.614031529632513e-10,3.688817743451959e-10,4.5401848528589816e-23,6.978488072102742e-10,1.0811392235737654e-13,1e-05,9.999999999999999e-06
1100,4.1519612150752314e-11,5.000000000000001e-06,9.709630726825944e-10,4.756844563897542e-10,4.5429875668521237e-23,1.301320534704808e-09,1.3373914117213075e-13,1e-05,9.999999999999999e-06
1200,4.157587798503136e-11,5e-06,9.695072816154854e-10,4.5701199770869587e-10,4.550348194043475e-23,1.7567338256156101e-09,1.1495387828339352e-13,1e-05,1e-05
1300,4.172732543735505e-11,5e-06,9.693061339861318e-10,5.744979454680036e-10,4.542385779067856e-23,2.0843900681595e-09,1.4365235983079833e-13,1e-05,1e-05
1400,4.108057359625341e-11,5.000000000000001e-06,9.650962256265427e-10,5.160012846106644e-10,4.4934838181637397e-23,2.938554610849808e-09,1.6236753033350787e-13,1e-05,1.0000000000000003e-05
1500,4.138390392715073e-11,5.000000000000001e-06,9.843231370026884e-10,5.970700550325025e-10,4.4933688709652635e-23,2.1617805626906903e-09,1.5160883070691807e-13,1e-05,1e-05
1600,4.1506083969780225e-11,4.9999999999999996e-06,9.770442518187471e-10,7.138747199108804e-10,4.460649332970178e-23,2.5393761303818178e-09,1.7619797049779263e-13,1.0000000000000003e-05,1e-05
1700,4.0763611158204975e-11,5e-06,9.810670652073269e-10,6.746185742557256e-10,4.4821905800750136e-23,3.577234708138052e-09,1.9146589626946128e-13,1.0000000000000003e-05,1e-05
1800,4.1401005028936354e-11,5e-06,9.59017785059443e-10,7.427178165035777e-10,4.500089382918026e-23,3.248090150461529e-09,1.9298042775733765e-13,1e-05,1e-05
1900,4.076346591883984e-11,5e-06,9.581448316342307e-10,7.28429461844365e-10,4.5396201675870144e-23,3.988539476963892e-09,2.089223556753212e-13,1e-05,1e-05
2000,4.0677995039443967e-11,5e-06,9.80730941657564e-10,8.20757794210039e-10,4.447225952138436e-23,4.918362394220196e-09,1.9660251898584642e-13,9.999999999999999e-06,1e-05
2100,4.1158752617914496e-11,5e-06,9.686963880486787e-10,8.076736846320737e-10,4.4696366185644634e-23,5.0374343246086755e-09,2.112047530677578e-13,1e-05,1e-05
2200,4.098078908887473e-11,4.9999999999999996e-06,9.696846012163409e-10,8.990248261083538e-10,4.5677059878413754e-23,4.855468829047322e-09,2.204510576494932e-13,1e-05,9.999999999999999e-06
2300,4.1790422408691875e-11,5e-06,9.726299707175482e-10,8.961207643073269e-10,4.5334056372981807e-23,6.009337087299235e-09,2.3473877574899575e-13,1.0000000000000003e-05,1.0000000000000003e-05
2400,4.120981329858146e-11,5e-06,9.591473285586287e-10,1.011805624794189e-09,4.518361194330881e-23,6.62146846330701e-09,2.5836161829626387e-13,1e-05,1.0000000000000003e-05
2500,4.1059985539574336e-11,5e-06,9.695595228313061e-10,1.0069556669541154e-09,4.543611571361758e-23,7.024344353534443e-09,2.4312927532148587e-13,9.999999999999999e-06,9.999999999999999e-06
2600,4.174780190288312e-11,5e-06,9.585204659450158e-10,1.0179865727416334e-09,4.4708410756722924e-23,6.7557065806374135e-09,2.526887752446567e-13,9.999999999999999e-06,1e-05
2700,4.0988017465901374e-11,4.9999999999999996e-06,9.731596614467293e-10,1.0583217052982598e-09,4.5049482718755043e-23,7.466814783290299e-09,2.5902557184056263e-13,1e-05,1.0000000000000003e-05
2800,4.094284122183433e-11,5.000000000000001e-06,9.71069230677712e-10,1.1637912841891318e-09,4.4564473206618155e-23,8.376574242229648e-09,2.9592557740387426e-13,1e-05,1e-05
2900,4.179554973856628e-11,4.9999999999999996e-06,9.830518388231217e-10,1.2062695465301966e-09,4.49320047280241e-23,8.360972106848914e-09,2.900670678359843e-13,1.0000000000000003e-05,1e-05
3000,4.0859802115560664e-11,5.000000000000001e-06,9.768425583780917e-10,1.2294317934228919e-09,4.5381711177517205e-23,8.843020555194105e-09,2.992282844810474e-13,1e-05,9.999999999999999e-06
3100,4.13408407497053e-11,5e-06,9.754371228531534e-10,1.3363882433999131e-09,4.539380296498773e-23,1.0004010293223165e-08,3.088581526617357e-13,1e-05,1e-05
3200,4.150298343607732e-11,5.000000000000001e-06,9.714293877204443e-10,1.261589179690735e-09,4.498973358677311e-23,1.0213632164390968e-08,3.233973162662724e-13,1e-05,9.999999999999999e-06
3300,4.0823516090891467e-11,5e-06,9.753072281804844e-10,1.371531557299731e-09,4.4757012072989524e-23,1.1189704189257868e-08,3.201732981639353e-13,9.999999999999999e-06,1.0000000000000003e-05
