milliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
0,-1.0054356130745193e-13,4.9999999999999996e-06,2.9670982617355106e-12,1.6388142720378594e-11,5.827072508947985e-25,6.001458073167311e-10,1.1237705379105187e-14,1e-05,1e-05
100,4.123911513800374e-11,4.9999999999999996e-06,9.713366505782791e-10,5.513377425151476e-11,4.505076310057506e-23,3.297013767478145e-10,1.7222250443048793e-14,1e-05,9.999999999999999e-06
200,4.139396587239329e-11,5e-06,9.636278681569621e-10,4.6235614488527e-11,4.545191384467005e-23,-4.362807888020334e-10,4.491598277334499e-14,1e-05,1e-05
300,4.171313733518988e-11,4.9999999999999996e-06,9.675012564453793e-10,8.750834763680476e-11,4.565570192086844e-23,-3.958926312782095e-10,3.302217396505353e-14,1e-05,1e-05
400,4.110879175103826e-11,5.000000000000001e-06,9.578180673775062e-10,2.0249763848401547e-10,4.5202166280150545e-23,4.3612318709684377e-10,4.445562333808482e-14,1e-05,1e-05
500,4.101744984379016e-11,5e-06,9.577559449830077e-10,2.1118230004076995e-10,4.5115038587927914e-23,3.376137912102797e-10,5.251088887600538e-14,1e-05,1.0000000000000003e-05
600,4.072635102739959e-11,5.000000000000001e-06,9.672579975122423e-10,2.4492266816837715e-10,4.5130230619817645e-23,8.883537173271072e-10,6.644653854437914e-14,1e-05,1e-05
700,4.0661514793004075e-11,5e-06,9.70851012433403e-10,2.6690579029411914e-10,4.5393460421837893e-23,9.133147865924994e-11,8.618749287778158e-14,1e-05,9.999999999999999e-06
800,4.084953109708938e-11,5e-06,9.655235083099301e-10,3.6106232143137627e-10,4.46235236536553e-23,4.902891410444754e-10,8.16897715240336e-14,1e-05,1e-05
900,4.16601464176497e-11,5e-06,9.700947019246118e-10,4.094910833476666e-10,4.4519847861102575e-23,9.936016714372573e-10,9.691137287664415e-14,1e-05,1e-05
1000,4.1191229262538836e-11,5e-06,9.84127137953109e-10,4.0300985104703404e-10,4.4891955511907853e-23,1.1483305975720546e-09,1.0143115499352203e-13,9.999999999999999e-06,1e-05
1100,4.1194637063820335e-11,4.9999999999999996e-06,9.79171454670026e-10,5.134925101589494e-10,4.4721683820003624e-23,2.0899376470053113e-09,1.2405321253931473e-13,1.0000000000000003e-05,1e-05
1200,4.1216195885113514e-11,5e-06,9.714900657127051e-10,5.039933462010784e-10,4.498506114713883e-23,2.060498954561966e-09,1.202940780486806e-13,1e-05,1e-05
1300,4.1352805619297066e-11,4.9999999999999996e-06,9.70414442347674e-10,5.750406368946573e-10,4.5279227573861696e-23,2.515042621951286e-09,1.2499920368639564e-13,1.0000000000000003e-05,1.0000000000000003e-05
1400,4.161421081593831e-11,5e-06,9.658704828810475e-10,6.34564597479174e-10,4.5257979655470503e-23,2.4661940834056284e-09,1.5699329779455845e-13,1.0000000000000003e-05,1e-05
1500,4.1244317448574704e-11,5.000000000000001e-06,9.636525324426693e-10,6.179345750735326e-10,4.456997745663755e-23,3.0966553543019597e-09,1.571997416115229e-13,9.999999999999999e-06,1e-05
1600,4.073588623184994e-11,5e-06,9.606978579524294e-10,6.154539519976301e-10,4.5040565859790555e-23,3.569200196024581e-09,1.7433210672955521e-13,1e-05,1e-05
1700,4.09015785906078e-11,5e-06,9.594452841795456e-10,7.0256037671949e-10,4.5543547404343114e-23,3.797093449311192e-09,1.8282416991113927e-13,1e-05,1e-05
1800,4.111400794091876e-11,5e-06,9.799802937776543e-10,7.052382795354118e-10,4.499839878890458e-23,3.171951867661573e-09,1.8824310648493594e-13,9.999999999999999e-06,1e-05
1900,4.141549475101569e-11,5e-06,9.66438797431783e-10,7.871467902257898e-10,4.5039330870524974e-23,4.303776319389821e-09,1.8557854926948976e-13,1e-05,9.999999999999999e-06
2000,4.107776509637902e-11,5e-06,9.787932218266472e-10,8.045234634002395e-10,4.532878523859047e-23,4.497668926879437e-09,2.1713989427406828e-13,1.0000000000000003e-05,1e-05
2100,4.104417509370305e-11,5e-06,9.699317122390958e-10,8.596417234617798e-10,4.4687668245424476e-23,4.8424290023442504e-09,2.1635538089525696e-13,1e-05,1e-05
2200,4.0816915216587457e-11,5e-06,9.732376664851208e-10,9.67543435590681e-10,4.476695497310223e-23,5.70843501613598e-09,2.2134953794824147e-13,1e-05,1e-05
2300,4.1634430140925314e-11,5e-06,9.825937553578244e-10,9.392503297125258e-10,4.47171783837499e-23,5.510505668934702e-09,2.387618162221484e-13,1e-05,1e-05
2400,4.131830365897747e-11,5e-06,9.612138879169735e-10,9.360253876633038e-10,4.5644936370940616e-23,6.8445468888381925e-09,2.4057517827828586e-13,1.0000000000000003e-05,1.0000000000000003e-05
2500,4.1085047751819975e-11,5e-06,9.59517037419302e-10,1.0848175794592867e-09,4.483933553848323e-23,6.497024215429972e-09,2.683083729238637e-13,1e-05,1e-05
2600,4.158473091212933e-11,5e-06,9.784330219491898e-10,1.027504580159134e-09,4.525907669094842e-23,7.479188045847332e-09,2.596380926272936e-13,1e-05,1e-05
2700,4.145094975463735e-11,5e-06,9.768368085065868e-10,1.086029820917264e-09,4.474053225915313e-23,7.311235174723754e-09,2.6860114705505455e-13,1e-05,9.999999999999999e-06
2800,4.1035529104540836e-11,5.000000000000001e-06,9.813244993519442e-10,1.2143496785367238e-09,4.4950148969264505e-23,7.973544979015802e-09,2.8654781876818836e-13,1e-05,1e-05
2900,4.123205318484238e-11,5e-06,9.780185226356755e-10,1.1395302576236255e-09,4.570141266233405e-23,8.975719993893085e-09,2.823285820771376e-13,1e-05,1e-05
3000,4.161457423500174e-11,5e-06,9.800452199553208e-10,1.279275359608111e-09,4.5381431636727494e-23,9.208761688782862e-09,3.1320261934261323e-13,1e-05,1e-05
3100,4.0697084307987094e-11,4.9999999999999996e-06,9.70967751661954e-10,1.286347388730155e-09,4.484973579095969e-23,1.0188923861615832e-08,3.0650954513151316e-13,1.0000000000000003e-05,9.999999999999999e-06
