milliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
0,2.0688744212445288e-13,5e-06,-1.207178219250278e-11,-5.501355267379793e-12,-2.200117012957427e-25,-3.2909228268096735e-10,-7.369717352425238e-15,1.0000000000000003e-05,1.0000000000000003e-05
100,4.076641361281009e-11,5e-06,9.72184999901149e-10,5.1596446245722084e-11,4.536327523547306e-23,4.750165896153045e-10,3.4403839254624194e-14,1e-05,1.0000000000000003e-05
200,4.085955279251014e-11,5.000000000000001e-06,9.834741775549674e-10,8.266829597780175e-11,4.5347090701569167e-23,8.593933952058819e-11,4.354385770398127e-14,1e-05,1.0000000000000003e-05
300,4.1246083950141916e-11,5e-06,9.60344229706483e-10,9.004499361207479e-11,4.5424598387076673e-23,-7.230782837305144e-11,4.224307028515477e-14,9.999999999999999e-06,1e-05
400,4.125420554945539e-11,5e-06,9.629561263156435e-10,1.7927016928328018e-10,4.549203403488625e-23,7.977456613049134e-10,5.725931088421072e-14,1.0000000000000003e-05,1.0000000000000003e-05
500,4.0919333598012e-11,5e-06,9.830181255954817e-10,2.401872775665781e-10,4.5589556331019745e-23,6.982366219269697e-10,6.103557134860322e-14,1e-05,1.0000000000000003e-05
600,4.136309103810246e-11,5e-06,9.764856846254472e-10,2.4962803505026785e-10,4.453495846084645e-23,3.169042435268904e-12,8.175907401651268e-14,1.0000000000000003e-05,1e-05
700,4.1256625814532056e-11,5e-06,9.658037825689676e-10,2.835452887685004e-10,4.4790457822216655e-23,1.3672568787851813e-10,7.924565182497903e-14,1e-05,1.0000000000000003e-05
800,4.1280711145186446e-11,5e-06,9.628424417772299e-10,3.767855410027564e-10,4.5604183931395983e-23,1.2517427015159856e-09,8.253172894708478e-14,1e-05,9.999999999999999e-06
900,4.06889798993288e-11,5e-06,9.823103415529856e-10,3.2111869987809263e-10,4.510341009248537e-23,1.0540051517897983e-09,8.736409365345458e-14,1e-05,1e-05
1000,4.067368193646113e-11,5e-06,9.665426252085588e-10,3.9598362215412747e-10,4.522582314566787e-23,1.8485816130197202e-09,1.1250780030158821e-13,9.999999999999999e-06,1.0000000000000003e-05
1100,4.1571076446590256e-11,5e-06,9.702134831696753e-10,4.523918825394643e-10,4.4692875991371735e-23,2.03679266675651e-09,1.1868449726799384e-13,1e-05,1e-05
1200,4.073301180705024e-11,4.9999999999999996e-06,9.718324077602612e-10,5.082472283973232e-10,4.5684773873238293e-23,1.2621404266236485e-09,1.3704675438390813e-13,1e-05,1e-05
1300,4.080754777213956e-11,5e-06,9.768515277647313e-10,5.624813169724935e-10,4.523522313362831e-23,1.928771277528602e-09,1.4099742309542107e-13,1e-05,1.0000000000000003e-05
1400,4.098488567863941e-11,4.9999999999999996e-06,9.604228659249413e-10,5.823609761511872e-10,4.525829960888026e-23,2.6696377188829754e-09,1.4289114168716823e-13,1.0000000000000003e-05,1.0000000000000003e-05
1500,4.1458223641882934e-11,5e-06,9.799426215218607e-10,5.582343870113593e-10,4.5589042176203916e-23,2.457270607513122e-09,1.5948906842037797e-13,9.999999999999999e-06,1e-05
1600,4.138793527226323e-11,5e-06,9.8112112326534e-10,6.795276330966517e-10,4.5171971456728187e-23,3.5452638419172475e-09,1.7759102861260206e-13,1e-05,1e-05
1700,4.072046341967392e-11,5e-06,9.726794236774495e-10,6.734066425559663e-10,4.5304365825830096e-23,3.0129995626322934e-09,1.870217566022223e-13,9.999999999999999e-06,1e-05
1800,4.132857565026925e-11,5e-06,9.591237053907903e-10,7.694684031406143e-10,4.5316032130733295e-23,3.2549678850140376e-09,1.748801644262686e-13,1e-05,1e-05
1900,4.089153582255584e-11,5e-06,9.775856239080744e-10,7.519365764564343e-10,4.556006105628608e-23,4.716763503265731e-09,1.99152601304912e-13,1e-05,1e-05
2000,4.136454266522309e-11,5.000000000000001e-06,9.751898317194275e-10,7.72588101204511e-10,4.4790499924747184e-23,5.031457302381738e-09,1.992195125915674e-13,1e-05,1e-05
2100,4.0740972829965825e-11,5e-06,9.730848103139043e-10,9.031356460743847e-10,4.5657600258005047e-23,4.394167750215965e-09,2.022859490744573e-13,1e-05,1e-05
2200,4.173883125245958e-11,5e-06,9.752164874089954e-10,8.883642401565679e-10,4.5433622851503316e-23,5.938208048269798e-09,2.3060308072738993e-13,1e-05,1e-05
2300,4.076476722125958e-11,5e-06,9.80331664451727e-10,8.921780857623038e-10,4.543347441427444e-23,6.3767396514937595e-09,2.2556015567497264e-13,1e-05,9.999999999999999e-06
2400,4.1696170317272563e-11,5e-06,9.79241336655165e-10,9.824916918376937e-10,4.444492047871539e-23,6.3465975788422515e-09,2.437496566993789e-13,9.999999999999999e-06,1e-05
2500,4.152581945915767e-11,5e-06,9.662700779437878e-10,1.0251551325285065e-09,4.528165546830861e-23,6.758471225262414e-09,2.595023351589101e-13,1e-05,1e-05
