miliseconds,L,T,I2
0,239733.2848574316,205980.31229721112,35988601.61700696
100,253968.02654930105,210058.80975228772,36379521.683450505
200,257120.54498797428,217064.2269389508,36794873.03830395
300,269008.4439643349,224967.70014049314,37387288.196807005
400,273554.3887861206,233654.08965269136,37719984.674172275
500,287827.6246051218,249559.9332797984,38024313.423420615
600,286704.92163921637,261230.83562522498,38257158.764705375
700,304296.3567066036,270380.89173992164,38708782.42844688
800,308580.1336559914,273341.5095349386,38952787.61210723
900,325796.3201943583,293264.0645387465,39214245.91091641
1000,338793.64776518807,304516.85198281636,39394161.05270437
1100,349216.7852983608,306892.78394024237,39559465.53422821
1200,349290.71356884635,317187.4062181571,39717594.20300444
1300,362774.23546558496,335168.8151893212,39757252.99804216
1400,377470.25412383676,336302.7033168513,39849837.15101129
1500,388984.7455419817,356623.13425883144,40103702.5332456
1600,399281.71430538525,358146.2737150105,40087477.379854195
1700,396917.78983029583,366353.8663318953,40174661.4597258
1800,420188.6583627202,379208.1202671397,40005986.13110214
1900,422585.3670225823,394710.4098594901,40036301.26680316
2000,431356.9145659636,401718.56402863225,39894264.89555346
2100,452278.6766684997,404875.5571604841,39822811.99695637
2200,456933.9505271178,416007.7499564606,39788491.82224743
2300,473196.0366077655,430969.0152901563,39795962.381461516
2400,484960.51563442685,437121.481116111,39653740.627647616
2500,494768.9729312377,451306.26395937375,39293510.68297771
2600,502266.98870019213,451765.54303923296,39129336.81004968
2700,514673.2933468092,462038.62275630666,39105983.46534855
2800,519357.73587884783,467322.6997408805,38895253.36754719
2900,531769.5068705146,474230.1592930183,38679391.49854242
3000,541333.1302699266,482304.2475924,38318344.12113189
3100,550590.1453199228,494553.8768964318,38196804.65236609
3200,558742.9197578137,503273.3580966378,37928070.35065539
3300,581712.6269163955,505245.6314516313,37695538.798338644
3400,589425.8418527391,517818.47443887393,37287063.29506517
3500,602607.8419519144,521067.6728173212,37143159.63108014
3600,601178.6891516048,524376.4510615751,36685215.560925245
3700,615000.0717051263,535724.858221434,36545323.75666635
3800,631129.6106184763,535216.5943054425,36196057.6865469
3900,628999.2915523736,538069.3204947246,35880429.18784591
4000,647971.3673316634,547450.7697264449,35546696.87118049
4100,653979.1893347173,552250.200578663,35248445.51688594
4200,660000.9069760174,551778.9668603722,34988860.47931224
4300,673832.0856805885,554466.8517346719,34697895.39681076
4400,674999.3153343984,559814.1689075702,34326917.01484902
4500,684828.7112039247,566040.9140245686,34199816.59969602
4600,704396.0524684001,566989.883211374,33886680.676982075
4700,698143.2234236306,569677.9902042613,33440445.558926012
4800,713063.7299272039,576778.7528588475,33163854.787966907
4900,724471.3738238729,583377.072309317,32917745.975866977
5000,729713.4959093815,579681.4147892188,32829953.963713836
