miliseconds,L,T,I2
0,234635.33613136166,199794.06290898615,36054539.200979
100,250065.6239000738,207557.98517141232,36473401.264803745
200,258396.70455531252,223232.04430219237,36775236.24450729
300,273295.42197989294,231843.72850334118,37222889.501378745
400,271096.62687799695,244646.94019907954,37733807.25796754
500,287482.5406984339,252439.81667938994,38099899.61997891
600,288125.54087189806,255326.90749460403,38241845.90400134
700,297465.3426436173,268062.0360902179,38659015.12884806
800,311298.21623300225,274845.74499227887,38879982.81878419
900,320587.4893328102,292244.2623308939,39095217.4031611
1000,331198.4538681207,305417.381688234,39437983.29785072
1100,340708.62483982294,315399.57587074337,39508173.22488064
1200,348767.5237495533,323675.35299905477,39592141.682485
1300,361666.6377664193,327559.1346460998,39787640.58344448
1400,379585.93350665586,346181.0039570903,39964342.55315481
1500,381816.86281606526,356365.03208151634,39946485.46141706
1600,390042.5943463622,365019.6480463355,40007822.26425296
1700,400765.5896722389,376059.749606028,40118786.07047705
1800,420284.5387688153,377037.47656264616,40162630.94509701
1900,427103.83157184895,396974.2756692437,39990069.513713874
2000,439869.4315333536,397948.53294038435,39984970.310723566
2100,441589.07599041035,411131.97355573985,39923861.01400515
2200,457809.92515177396,416187.2646890497,39755221.758631326
2300,475831.5531266231,433618.9704432478,39778401.60617961
2400,481902.6548220936,442518.92273118603,39566754.261578776
2500,495678.5777823119,443659.4076700252,39406265.546842866
2600,505777.8975425943,449713.8926193305,39181785.042686656
2700,511599.63278120087,463372.67120334116,38985535.71909374
2800,524619.2276372965,475479.5241242586,38732507.736437075
2900,529336.3386088662,476463.5899582506,38658004.309426896
3000,545109.1716370685,491765.6002875283,38379847.51056656
3100,559118.9781279672,493666.6087229647,38073117.49369694
3200,567309.4319305895,496668.3827184417,37821544.032254845
3300,570513.6925775158,502859.8312897705,37674640.302717306
3400,589677.8560418905,510929.5103578905,37247502.308339894
3500,596016.9409371949,519990.5825876783,36975674.0548133
3600,609125.8174116992,523886.891274454,36709071.47157773
3700,608984.4760467128,529027.555114484,36384963.786987886
3800,618135.800133323,537210.9834739155,36213536.81806868
3900,639423.9017956783,543713.1140357499,35839009.095871076
4000,651575.927783127,546646.6968134554,35678267.272058755
4100,649818.1465027379,551501.0429385296,35368159.4665758
4200,656479.6909923281,555232.8968687501,34917767.09117887
4300,666788.843547407,558910.4003155512,34621106.729273476
4400,678055.5103326115,568036.9666522675,34447868.39725389
4500,688723.7922620174,563544.056437091,34230433.75537647
4600,698432.4676069401,566967.9294762284,33939275.72921908
4700,708309.2756919855,573028.712741129,33580380.18353274
4800,706296.9020469998,580738.2494775321,33251631.45730743
4900,719722.4878560611,584551.7609882357,32930695.61325981
5000,733678.6265421667,584911.1500220385,32671649.185630392
