miliseconds,L,T,I2
0,247423.20167759326,200155.62097053914,35946832.794478886
100,252559.82585072308,204737.1069570988,36463068.4700546
200,251314.44161300515,218446.96055327903,36890644.07093739
300,267901.0423788306,234145.0336429849,37381199.18162825
400,276157.42115983326,240018.1426734051,37761685.84748938
500,277063.89953401213,244550.18054257677,37912675.55195305
600,290802.87815119384,259560.8789310068,38303210.626408994
700,300679.54952009954,272177.70422448457,38726002.76403403
800,318138.29759734037,277957.48908681533,38801701.28753491
900,319424.5359566494,284732.9767182317,39192407.14625272
1000,336749.2696153588,305802.4415920211,39415348.001405574
1100,347419.22779693996,309630.0926588061,39522153.81845528
1200,349007.69223812246,319786.69633685105,39742480.89833947
1300,363799.67325707065,326640.3244104467,39742026.27974353
1400,366773.9100605186,344511.0222716438,39973274.02858784
1500,390412.46361510654,353447.1822010039,39979357.56765813
1600,398878.3712420281,362348.03200504696,40082976.35602475
1700,403110.9802354324,370272.6515318882,40069383.96990995
1800,419479.60113272496,381297.3624815939,40014285.46982245
1900,420211.87474673765,385085.2910935042,40133658.323452994
2000,436649.2294122048,401580.1659140227,40019885.10237035
2100,450137.73991064023,413093.9016308126,39804508.5412045
2200,450553.61508621695,421132.10117302433,39846991.17295333
2300,470610.8475095782,430916.4389744293,39674435.86119988
2400,473910.1703182567,435689.7659989953,39486789.47233527
2500,487319.85038043594,445341.97762163397,39413526.4582686
2600,505677.5641041126,454610.2630142949,39229589.68569256
2700,517179.63594748464,461248.5095192441,38949179.321546175
2800,519953.3803607574,474690.2368951419,38811517.96083951
2900,532823.6134007582,477601.9700312081,38623338.096643016
3000,542983.3954979229,491244.3623416901,38389845.99771145
3100,553460.8566694978,493054.8851017311,38107855.21609327
3200,561896.9837526084,502967.95254070795,37874865.11394443
3300,571054.3616706665,505689.5801711751,37490141.67077646
3400,580993.8225587807,518892.3804900219,37306569.69089655
3500,596568.027508161,519429.02124476765,37144330.40751442
3600,610452.7628186694,529522.6969091573,36718272.62099229
3700,614631.0091077384,532167.4601890688,36382468.847752
3800,623951.555509519,533684.6200549804,36198000.50061894
3900,627628.7205465811,548382.3939522898,35813149.26769699
4000,651868.919480743,544762.4159081824,35545781.607186586
4100,657135.8704229866,552347.2511786207,35347388.10415885
4200,667438.2391961724,550995.9779614287,34896191.540458456
4300,673970.6853312263,557341.9985840129,34667046.583280176
4400,681028.3872886485,568776.4278002697,34305749.780146375
4500,687950.6344823095,572623.1374275009,34023084.92992974
4600,702024.8300201393,574967.2717844842,33741877.37057719
4700,709977.1345609456,574184.8557036252,33648724.17654528
4800,712979.315732246,582034.761695948,33339546.561669353
4900,721124.0324948607,585712.1037158595,33047108.27118613
5000,724146.4030062071,579722.910585154,32788109.48331486
