milliseconds,L,T,I2
0,242643.46912549096,204472.17597097106,35984059.430723354
100,243284.88059496094,208569.12669418435,36491943.288871415
200,251720.53784436523,224055.65694563757,36801642.65440098
300,263867.3158312416,225993.9885974773,37233035.1670721
400,270120.4963879825,241375.14336958082,37718129.70162351
500,282491.23087002634,254124.57871844387,38047157.92918274
600,293371.3965349034,264784.2132201449,38307724.10043874
700,297806.641675166,271723.2108477621,38731624.93978258
800,319940.65351592976,275522.3539179689,38913397.14167544
900,320565.49950576073,284384.0457883077,39220422.38414828
1000,338388.14078304387,294715.1324956949,39409836.63801271
1100,345671.647461541,306854.4074460125,39515335.31054142
1200,355069.89019921253,323156.245188314,39658393.89378816
1300,367773.2306976975,330420.33166185336,39774177.922558546
1400,365075.4901028145,346813.70234741026,39939677.23056531
1500,388673.97224722273,346825.9015309952,39909544.65979121
1600,386944.71506499406,355444.9584062017,39963901.22711146
1700,403641.4371084185,368242.1352152988,40028785.309429325
1800,417831.4761227378,386977.8670175058,39981244.2942396
1900,429889.7119561542,385947.2698908933,40143797.69452423
2000,432348.51023632864,398234.07421503915,40015062.425818674
2100,453347.7199561715,415703.4443532715,39825182.17085411
2200,455904.7127185755,414673.265026726,39847605.118174754
2300,470044.46329161956,430817.1589896048,39681458.40006263
2400,479245.16843676235,441614.0431736814,39452397.38916671
2500,497054.43001654686,441113.495321883,39299752.28925326
2600,501306.66190532927,452748.2370078174,39176359.82320068
2700,516402.8223051295,458110.5949707997,39006869.36261944
2800,527276.9076413056,467503.211838458,38792366.770244084
2900,538034.0758834479,473029.2826639109,38559987.29358315
3000,537361.9679842276,487208.035747724,38270832.754568
3100,551192.6026916039,497265.3119494695,38188812.95714414
3200,564570.21587387,504623.40725396917,37763686.41523418
3300,572676.021953763,502563.9175089106,37483759.03981654
3400,586696.3592691979,518293.0281823347,37318147.29364221
3500,602839.831770806,518310.21589241026,37037561.55166873
3600,612925.7123136941,522128.8618785734,36861689.37584832
3700,619959.6689484685,528540.2991802423,36495039.01819402
3800,630913.0678583112,534149.1840700925,36241180.38449104
3900,639268.4088094169,539500.5728788748,35812011.19299502
4000,644683.1834726294,548539.2856136579,35501183.05387769
4100,656782.1113508521,549175.5613555987,35200978.10500245
4200,666940.0546900587,560889.6202651658,34972780.85785064
4300,668502.6218886463,565209.4928528316,34753539.473600335
4400,687265.0256045964,562604.793876071,34369766.41249917
4500,690299.8941954855,565796.6188567496,34075252.43281717
4600,697597.4362163823,574283.2904859297,33775111.27688881
4700,711652.9851560763,572935.2328592022,33555559.338510044
4800,710994.809214258,574725.447272258,33376168.73617916
4900,718453.8935970019,583830.3978833357,32989839.961200364
5000,723175.0151074899,585239.5607252778,32704829.43534907
