milliseconds,L,T,I2
0,246264.15843548923,198609.0967644875,35951568.38761014
100,254272.23544047348,212233.3101629054,36525323.84133743
200,261153.94634356722,222360.17978558806,36795427.17340536
300,272669.8715704331,226898.64188205558,37182695.30286937
400,279418.8420460554,242956.27045360874,37565041.73273652
500,277643.50092400925,254062.48773303904,38108515.08775291
600,286262.9908614147,262920.10342209204,38430043.93841717
700,308721.4430231036,274244.27627136855,38572399.502094686
800,314441.98281459336,283571.6847680822,38945513.448373444
900,328781.3233688448,285787.4027211497,39128266.93894161
1000,325514.9120749437,302812.6342832707,39319013.50191227
1100,339164.0258996399,308434.92457111937,39434088.69169834
1200,346091.3946302741,315886.55637699843,39705832.872656755
1300,357146.17831773125,331995.4157633644,39874443.92162482
1400,368910.42055981053,344936.7213283839,40033906.30918013
1500,388684.74385608354,357206.337331436,40030989.83195787
1600,395165.60520053125,362757.4452386856,40098265.79885591
1700,396651.58103214006,374763.3555543886,40070954.322196305
1800,418709.07338325324,380887.0963104984,40163108.109680235
1900,420184.97798064974,387698.7698553682,40065504.62200553
2000,436162.4659943006,402206.8166638796,40075595.545232855
2100,443219.4288159842,409625.3316354024,39906441.52092358
2200,457276.1245793678,423650.467499241,39806798.4311153
2300,464733.5630825538,428557.8928597829,39746084.779670544
2400,484033.33988921874,433892.96397193667,39526183.1982263
2500,491335.3755294719,445091.9994791786,39444460.184305124
2600,495676.92079488345,455949.3147330173,39240564.3934574
2700,511661.92704450677,464261.8624800943,38975971.551405594
2800,519076.18570300046,474818.0451491997,38751655.067247495
2900,531483.3349264411,476622.9336874188,38620179.972875334
3000,549694.2924136976,484275.9106239938,38420809.88149367
3100,547418.8302176783,495164.0918216599,38065005.298518114
3200,560361.9866873911,504184.29180211015,37782656.287733115
3300,579242.6622082561,502536.1029506649,37651407.65245326
3400,584009.9664928467,512047.117155564,37300779.70675721
3500,593641.8356098159,516397.58918741427,37135173.95083127
3600,610263.4115252165,528947.5008226385,36772603.21672613
3700,616704.1837950125,527531.0922923932,36407722.58050339
3800,626610.433718425,537346.3465159873,36165274.21993105
3900,629999.2472976773,540217.583307142,35821186.97720671
4000,643398.0882076058,549678.9221186314,35604956.01399872
4100,652687.792690731,547974.0574862629,35212468.26785569
4200,656267.992234214,552072.7742520882,35057073.64776224
4300,665265.4322720827,565055.358275001,34702261.79495378
4400,679794.6074357969,567104.3436303852,34357677.70039034
4500,688315.6242261854,572185.1007693517,34193486.61542713
4600,702860.2819811497,575604.2210389115,33814260.04288167
4700,706235.9555272388,577301.3719017875,33494940.18546648
4800,709567.3015034194,580011.007545542,33302290.405476246
4900,722744.4866898194,581461.7705468273,32974705.563219927
5000,733400.6921517013,579354.1349212395,32769568.76301561
