milliseconds,M_3hanthrn_c,M_5hoxnfkyn_c,M_5htrp_c,M_Lfmkynr_c,M_Lkynr_c,M_cmusa_c,M_hLkynr_c,M_nmtrpta_c,M_quln_c,M_srtn_c,M_trp_DASH_L_c,M_trypta_c,M_nicrnt_c,M_nformanth_c
0,3.29767682642125e-06,2.3285262897484e-10,9.86485434437397e-07,2.18400152663056e-05,0.00263243682881056,1.12181722190904e-05,1.1966020248522e-05,2.5994745417821e-09,1.78449610733141e-15,7.763065949792618e-08,0.00012006438647440298,3.59090204143853e-09,9.500214814640222e-16,7.14152660211118e-09
100,3.297676826421248e-06,2.3285262897483997e-10,9.864854344373971e-07,2.18400152663056e-05,0.0026324368288105564,1.1218172219090415e-05,1.1966020248522032e-05,2.599474541782098e-09,1.784496107331411e-15,7.763065949792626e-08,0.00012006438647440282,3.590902041438526e-09,9.500214814640228e-16,7.141526602111185e-09
200,3.297676826421248e-06,2.328526289748399e-10,9.864854344373971e-07,2.1840015266305595e-05,0.002632436828810557,1.1218172219090415e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.784496107331411e-15,7.763065949792629e-08,0.00012006438647440282,3.5909020414385263e-09,9.500214814640228e-16,7.141526602111187e-09
300,3.297676826421248e-06,2.328526289748399e-10,9.864854344373971e-07,2.18400152663056e-05,0.002632436828810556,1.1218172219090415e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.784496107331411e-15,7.763065949792628e-08,0.00012006438647440285,3.5909020414385267e-09,9.500214814640226e-16,7.141526602111185e-09
400,3.297676826421248e-06,2.328526289748399e-10,9.864854344373971e-07,2.1840015266305595e-05,0.0026324368288105564,1.1218172219090415e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.784496107331411e-15,7.763065949792628e-08,0.00012006438647440282,3.590902041438526e-09,9.500214814640226e-16,7.141526602111186e-09
500,3.297676826421248e-06,2.328526289748399e-10,9.864854344373971e-07,2.1840015266305595e-05,0.002632436828810557,1.1218172219090415e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.784496107331411e-15,7.763065949792629e-08,0.00012006438647440284,3.5909020414385267e-09,9.500214814640226e-16,7.141526602111184e-09
600,3.2976768264212475e-06,2.328526289748399e-10,9.864854344373971e-07,2.1840015266305595e-05,0.0026324368288105564,1.1218172219090414e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.784496107331411e-15,7.763065949792628e-08,0.00012006438647440285,3.5909020414385267e-09,9.500214814640226e-16,7.141526602111186e-09
700,3.2976768264212475e-06,2.328526289748399e-10,9.86485434437397e-07,2.1840015266305595e-05,0.0026324368288105564,1.1218172219090414e-05,1.1966020248522032e-05,2.5994745417820985e-09,1.784496107331411e-15,7.763065949792626e-08,0.00012006438647440284,3.5909020414385267e-09,9.500214814640224e-16,7.141526602111184e-09
800,3.2976768264212475e-06,2.328526289748399e-10,9.86485434437397e-07,2.1840015266305595e-05,0.0026324368288105564,1.1218172219090414e-05,1.196602024852203e-05,2.5994745417820985e-09,1.7844961073314106e-15,7.763065949792628e-08,0.00012006438647440285,3.590902041438527e-09,9.500214814640224e-16,7.141526602111186e-09
900,3.2976768264212475e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.002632436828810556,1.1218172219090414e-05,1.196602024852203e-05,2.599474541782099e-09,1.7844961073314106e-15,7.763065949792626e-08,0.00012006438647440284,3.590902041438527e-09,9.500214814640224e-16,7.141526602111185e-09
1000,3.297676826421247e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.002632436828810556,1.1218172219090412e-05,1.196602024852203e-05,2.599474541782099e-09,1.7844961073314106e-15,7.763065949792626e-08,0.00012006438647440282,3.590902041438527e-09,9.500214814640222e-16,7.141526602111184e-09
1100,3.297676826421247e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.002632436828810556,1.1218172219090412e-05,1.196602024852203e-05,2.599474541782099e-09,1.7844961073314106e-15,7.763065949792625e-08,0.00012006438647440282,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111183e-09
1200,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.0026324368288105564,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440282,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111184e-09
1300,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.0026324368288105564,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640222e-16,7.141526602111185e-09
1400,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.0026324368288105564,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440285,3.5909020414385275e-09,9.500214814640224e-16,7.141526602111185e-09
1500,3.2976768264212466e-06,2.3285262897483987e-10,9.86485434437397e-07,2.1840015266305595e-05,0.0026324368288105564,1.1218172219090412e-05,1.1966020248522032e-05,2.599474541782099e-09,1.78449610733141e-15,7.763065949792625e-08,0.00012006438647440284,3.5909020414385275e-09,9.50021481464022e-16,7.141526602111184e-09
