milliseconds,CDK1_active
0,0.0
100,0.009999999750019403
200,0.019999998973275958
300,0.029999998196532505
400,0.03999999741978906
500,0.04999999664304561
600,0.059999995866302155
700,0.06999999482682541
800,0.07999999159131625
900,0.08999994882980536
1000,0.09999989210670521
1100,0.10999983310379455
1200,0.11999972139711312
1300,0.1299994890993445
1400,0.1399990720833954
1500,0.14999829338995888
1600,0.15999687448621255
1700,0.16999441043747107
1800,0.1799902798749426
1900,0.18998362957172457
2000,0.19997297009400058
2100,0.2099563004380145
2200,0.2199307868652821
2300,0.22989250211058707
2400,0.23983609467677175
2500,0.2497545880246004
2600,0.2596386380546044
2700,0.26947590237522523
2800,0.27925107000569316
2900,0.2889443691773722
3000,0.2985314902140967
3100,0.30798412272520564
3200,0.31726849023421866
3300,0.32634563151007345
3400,0.3351727950967707
3500,0.3437044659707763
3600,0.3518937524309368
3700,0.3596947138731079
3800,0.36706582037164337
3900,0.37397202812642016
4000,0.3803865714048311
4100,0.38629244552216174
4200,0.39168360647562406
4300,0.39656505708252304
4400,0.4009511551347248
4500,0.40486385838480415
4600,0.4083313568993392
4700,0.4113861329692881
4800,0.4140631814852263
4900,0.4163984127515909
5000,0.41842732185300635
