milliseconds,NFAT_Nuc,Act_C_Nuc,NFAT_Pi_Nuc,NFAT_Act_C_Nuc,NFAT_Pi_Act_C_Nuc,Inact_C_Nuc,NFAT_Cyt,Act_C_Cyt,NFAT_Pi_Cyt,NFAT_Act_C_Cyt,NFAT_Pi_Act_C_Cyt,Inact_C_Cyt
0,0.0005219,5.05e-05,0.0002272,0.0009477,2.5e-06,0.049198,0.0001101,9.1e-06,0.0094397,6.1e-06,2.2e-06,0.0097108
100,0.000519248737178428,0.003417124330674707,0.0002261741071893883,0.0009509735250248004,3.401472583035108e-06,0.04582755397329476,0.00010999188845948884,0.000666589306980226,0.009430270793873725,7.317476730644149e-06,1.0310710238002282e-05,0.009043833302302063
200,0.0005154982033934487,0.006139927389689759,0.0002247337837380062,0.000955673115331251,4.652348988901548e-06,0.04309934156211697,0.00010983867840766479,0.0011942438606613657,0.009416931121654435,9.141645136214659e-06,2.1660331565459847e-05,0.008502776456838506
300,0.0005117476696084692,0.00886273044870481,0.0002232934602866241,0.0009603727056377017,5.903225394767986e-06,0.04037112915093918,0.00010968546835584074,0.001721898414342505,0.009403591449435145,1.0965813541785167e-05,3.300995289291742e-05,0.007961719611374948
400,0.0005092826948586967,0.011052441987452255,0.0002221573935639503,0.0009679219095154043,6.858075432559563e-06,0.038177664762665244,0.00010952386502273266,0.0021441427304898426,0.009389033409545432,1.3425337389122472e-05,4.3210442211070606e-05,0.007524814828746792
500,0.0005112589741165536,0.011400468480253464,0.00022207245042153793,0.000985315747009237,6.790235529577776e-06,0.0378316081827859,0.00010933326520395648,0.002202223576060514,0.0093702662433917,1.807984009370195e-05,4.944099549217791e-05,0.007447726868063433
600,0.0005132352533744104,0.011748494973054675,0.0002219875072791256,0.0010027095845030697,6.722395626595989e-06,0.03748555160290656,0.0001091426653851803,0.002260304421631185,0.009351499077237967,2.273434279828141e-05,5.567154877328521e-05,0.0073706389073800735
700,0.0005152115326322674,0.012096521465855886,0.0002219025641367132,0.0010201034219969028,6.654555723614202e-06,0.037139495023027214,0.00010895206556640412,0.0023183852672018566,0.009332731911084234,2.7388845502860887e-05,6.190210205439253e-05,0.007293550946696717
800,0.0005171878118901243,0.012444547958657095,0.00022181762099430084,0.0010374972594907352,6.586715820632414e-06,0.03679343844314788,0.00010876146574762795,0.0023764661127725272,0.0093139647449305,3.2043348207440344e-05,6.81326553354998e-05,0.007216462986013358
900,0.0005191640911479811,0.012792574451458304,0.0002217326778518885,0.0010548910969845678,6.5188759176506265e-06,0.036447381863268534,0.00010857086592885177,0.0024345469583431983,0.009295197578776768,3.66978509120198e-05,7.43632086166071e-05,0.007139375025329998
