milliseconds,P
0,10.0
100,10.052840843547273
200,10.105681788045834
300,10.158526116711691
400,10.211373484180807
500,10.26422835501117
600,10.317089869641121
700,10.36996319871562
800,10.422846977411865
900,10.475747074239852
1000,10.52866291923052
1100,10.581595500210753
1200,10.634548962614863
1300,10.68752457037978
1400,10.740523777773952
1500,10.793549263634977
1600,10.846603175926742
1700,10.899687355393503
1800,10.952803918913425
1900,11.005954975787809
2000,11.059142576605307
2100,11.112368596821309
2200,11.165634883561935
2300,11.218943654980302
2400,11.272296967028149
2500,11.325696875657211
2600,11.379145436819224
2700,11.432644646730129
2800,11.486195829138875
2900,11.539801469137702
3000,11.593463574085996
3100,11.647184151343154
3200,11.700965208268565
3300,11.75480875222162
3400,11.808716171211799
3500,11.8626895362429
3600,11.916731025381008
3700,11.970842617311426
3800,12.025026294539753
3900,12.07928404339189
4000,12.133617854014044
4100,12.188029720372716
4200,12.24252164025471
4300,12.297095615267128
4400,12.351753650837379
4500,12.406497756213167
4600,12.461329944462495
4700,12.516251053500064
4800,12.571263927498418
4900,12.626370557201234
5000,12.681572926707162
