milliseconds,A_dopa,C_dopa,C_OMD
0,101.0,0.0,0.0
100,81.78718007953752,7.437593086617555,0.16608399175010505
200,66.22913523656453,12.323215145599752,0.5864257152637324
300,53.630639388253456,15.316167949222832,1.1670561839399283
400,43.42870237171865,16.923776912663165,1.838862378404339
500,35.167438247060694,17.53432922602488,2.5517968690027266
600,28.47768870488632,17.443166229682983,3.2703457489130647
700,23.060503164674472,16.87331141500569,3.96999203620713
800,18.673802490478014,15.991670100168,4.634479653033941
900,15.121566109389445,14.921790380013125,5.253693328363098
1000,12.245055855414103,13.753903954589653,5.822020956418722
1100,9.9157319399143,12.552754210824853,6.337104438671787
1200,8.0295049962415,11.36372183721146,6.798885524003906
1300,6.502086944504863,10.21758300982816,7.208885658358464
1400,5.265223089087385,9.13420207693379,7.569665325958964
1500,4.263642481830295,8.12538008946563,7.884423299205042
1600,3.4525881722371587,7.197043659470409,8.156703103586858
1700,2.7958172265756174,6.350917298680514,8.390181638004607
1800,2.2639810192225824,5.585792990479041,8.588520266053731
1900,1.8333137056172468,4.898486287030461,8.755263135847624
2000,1.4845703529213865,4.2845494810494005,8.893770864043185
2100,1.2021669406929223,3.738797677478339,9.007180364353053
2200,0.9734839278527786,3.255691120935262,9.098383795917504
2300,0.7883022926460812,2.829607782332617,9.170021242187358
2400,0.6383469509261844,2.4550326621274587,9.224483029748056
2500,0.5169169642083841,2.1266845832171044,9.263918576353964
2600,0.4185860878565135,1.8395963673385265,9.290249467549458
2700,0.338960267762278,1.5891607067365285,9.305185053799338
2800,0.2744813197469191,1.3711511357055433,9.3102393245233
2900,0.22226792206649165,1.181725358800402,9.30674816358073
3000,0.17998685744514506,1.0174163592333332,9.295886366532105
3100,0.14574873647898082,0.8751153869009263,9.278684000208449
3200,0.11802358384254924,0.7520498610432849,9.256041833732555
3300,0.09557246637447363,0.6457584406623235,9.228745684631015
3400,0.07739212982147962,0.5540648709925364,9.1974796032961
3500,0.06267015991201129,0.4750517507437851,9.162837878278921
3600,0.050748686120628085,0.40703500880789584,9.125335881126844
3700,0.04109498232617138,0.34853961053780336,9.085419801757567
3800,0.03327766173211801,0.2982768137145751,9.043475338783754
3900,0.026947396170647307,0.25512314687911586,8.999835421404184
4000,0.02182130942735102,0.21810118465756545,8.954787040210748
4100,0.01767033578258692,0.18636211175058992,8.908577269918036
4200,0.014308984297365877,0.1591700225024114,8.861418561754894
4300,0.011587048148202186,0.13588786519558607,8.813493381919027
4400,0.009382894050775808,0.1159649275421526,8.764958264910552
4500,0.007598026547247697,0.09892573995742569,8.715947348974103
4600,0.006152686846519339,0.08436027580166285,8.66657545279463
4700,0.0049822878594578575,0.0719153242666811,8.616940748730414
4800,0.004034528773556874,0.061286921801657276,8.56712708042718
4900,0.0032670577471565865,0.052213727146276055,8.517205969996988
5000,0.0026455794935993744,0.044471237658629696,8.467238353415405
