milliseconds,MrnaP21,MrnaCy,MrnaP53,P21,Cy,CyP21,aPcna,Rc,pRc,aRc,iRc,Dna,Dam,P53,iPcna
0,0.9999349383506467,1.0,1.0,0.7173684935277508,0.3992838463216159,0.0017753186369939015,0.49809837361342446,0.9999999515445148,-8.478754898273156e-08,-8.417154167682383e-12,1.5822040980002756e-09,1.9294064768568524e-14,8.036345343184309e-06,0.0001239603753435475,-0.002577124244787467
100,1.0000853214367562,1.0,1.0,0.22482640586503438,0.387449493774847,0.01454804793957529,0.020836471787005185,0.9999989787701536,9.8256658689963e-07,6.262774808543029e-12,5.993910496887009e-10,6.877145928066853e-14,8.403577265468325e-05,0.003989159400120092,0.4831759991084918
200,1.0000838349919907,1.0,1.0,0.199467278061918,0.3806911890095933,0.021792066968793416,0.0015924310567721224,0.9999979878727101,2.109528687415723e-06,7.302387221143727e-12,-4.620219202464042e-10,4.727085190588412e-14,0.00023232737036491793,0.006349752717395631,0.4994706364612649
300,1.000089727175981,1.0,1.0,0.19606164323252734,0.37441591648184475,0.028109226025782537,0.0028369016254692412,0.9999971100790409,2.8771448560097257e-06,1.1166712028673717e-11,2.2973400342125477e-09,9.6555201860374e-14,0.0002773549814447029,0.007884682607295492,0.4970947032125283
400,1.0002254903633492,1.0,1.0,0.18727497649116379,0.36858002835393916,0.03498323154344035,0.002715934629469559,0.9999962666324532,3.5855658172411465e-06,9.234974659224283e-14,3.805045960885676e-10,7.912429511880226e-14,0.0003515118849301716,0.008930544013123556,0.5014388083920442
500,1.0002186075558073,1.0,1.0,0.174317894752016,0.35974313567493865,0.04080698764983668,0.0019774606046098512,0.9999957604612979,4.187778807741094e-06,8.0976996603243e-12,6.537941326649545e-09,7.46956649202664e-16,0.0004319344819708134,0.009546373485730444,0.49839806245599994
600,1.0003708998385739,1.0,1.0,0.1741671020991449,0.3552642071849779,0.04624139821297843,0.0020459709346824896,0.9999950085669272,4.95624523729948e-06,9.284040380380321e-12,8.096504481279107e-09,6.341649754080137e-14,0.000672045723890107,0.009938702850286451,0.4994971731851352
700,1.000420145349827,1.0,1.0,0.1705228629238379,0.34850788640226377,0.052032346257081113,0.0025363006000308844,0.99999463324327,5.3875764573228885e-06,9.50928745328408e-12,7.025034030751098e-09,1.7258481848155284e-14,0.0006370812370948174,0.010283089453261406,0.5026439928976218
800,1.0005620924037744,1.0,1.0,0.16149439231568413,0.3434687060139492,0.06010110850364568,-0.0016049812725463125,0.9999939871264707,6.0934529709562964e-06,1.7595330146403916e-11,1.389760354792558e-08,1.004913187472576e-13,0.0007646533964341246,0.010295379816686908,0.4961163103365376
900,1.000613995492973,1.0,1.0,0.15202749785479264,0.34007209041266295,0.06232956937776866,6.828042213962945e-05,0.9999936844184918,6.269080235264865e-06,2.195730342912838e-11,1.890726895152093e-08,1.4687556342460627e-14,0.0009571759199170495,0.01046816827507693,0.4997995856590621
1000,1.0006848740078276,1.0,1.0,0.15065537960154254,0.3365434015929711,0.06799380717704573,0.003554876729859147,0.9999930592959151,6.965234609931641e-06,1.9140073405068486e-11,2.0242945896091273e-08,-2.519025017991741e-14,0.0010534721170046928,0.010618858391633039,0.5010355911279066
1100,1.0007697336876895,1.0,1.0,0.1464808819238441,0.3328378638622348,0.0727185117633199,0.003913542937547603,0.9999928785823782,7.346637955453927e-06,2.9045126826067683e-11,2.694179988804497e-08,-6.757633193194577e-15,0.0011287215225184973,0.01092355438040296,0.49675140649759897
1200,1.0008852725701514,1.0,1.0,0.14594830334980252,0.3271668852092871,0.07709967328513004,-0.0015804143907258723,0.9999924981299573,7.482301161552445e-06,2.2789581519249172e-11,2.4542770906117952e-08,3.6242250596875654e-14,0.001262199497370735,0.011040254770091152,0.49902622399327107
1300,1.0009141943016653,1.0,1.0,0.1381929814643886,0.3226755537562722,0.08289944885167416,-0.0020428510109073805,0.9999918892695163,7.976034977913703e-06,3.0130097643273794e-11,3.116682197462132e-08,5.3623903713651866e-14,0.0013510610342567203,0.010966246264486699,0.4981562012240599
1400,1.0010175683962976,1.0,1.0,0.1327144748173737,0.32131954862787787,0.0858772879207359,0.0017145866961243601,0.9999918182661789,8.452049890659292e-06,4.167721612807904e-11,3.743013511063161e-08,1.0970470128812446e-13,0.0013351045694763029,0.01123175893896275,0.4962549895894277
1500,1.0010830823312216,1.0,1.0,0.13347245194202445,0.31705155079099206,0.08677057987413864,0.001468083535140983,0.9999914003176996,8.5661014605118e-06,5.064043694858281e-11,4.2711899515890244e-08,1.5856168214769094e-13,0.0015237748925545406,0.011166166248081935,0.5019403511545482
1600,1.0012059347593205,1.0,1.0,0.1274029557004906,0.31366565815151876,0.09026845633726813,-7.501242579093675e-06,0.9999911555728351,8.7976629313002e-06,4.378155597010987e-11,4.642499892277891e-08,1.8102221680829286e-13,0.0016499795951227254,0.011372651539107645,0.49595047056662467
1700,1.0012279584922537,1.0,1.0,0.1247236122662286,0.3132180953317214,0.09723454528924796,-0.0012001966451632786,0.999990982127105,9.060201323181131e-06,6.422862709097571e-11,4.799564694402845e-08,3.3345433641548406e-13,0.0017005661836489612,0.01149456647797134,0.49878489124062775
1800,1.001395054322895,1.0,1.0,0.11700507655641021,0.30867220201132356,0.10083808675699124,-0.0015457271049577601,0.9999905431763886,9.481912863440676e-06,6.989921705390996e-11,5.536094280870762e-08,2.421650079144842e-13,0.0017336118300892427,0.011628791927898978,0.4999236849435951
1900,1.001482880598105,1.0,1.0,0.11440214420662864,0.306763422007336,0.10219516052864153,-0.0008860860658843791,0.9999902620603277,9.51434489461466e-06,6.627508421050854e-11,6.083423168063358e-08,2.711597795817541e-13,0.001838913987377977,0.011668498505310869,0.5000753059646913
2000,1.0015115332078897,1.0,1.0,0.11636771263729964,0.3047840613418263,0.1053645295192582,0.0035983318661641506,0.9999900992263053,9.667628912596732e-06,7.809498269177384e-11,5.875392316642748e-08,3.5112493093619395e-13,0.0019521581127379956,0.011657416701369825,0.49938265468554044
2100,1.0016499079557402,1.0,1.0,0.10608492659106125,0.2997114768141876,0.10620287004072651,0.0001372085425081816,0.999989826481897,1.0007256099814792e-05,8.557215911053424e-11,7.028438661622489e-08,4.2490699671046425e-13,0.002099060125564248,0.011761842196634042,0.49879663284082654
2200,1.0016931802075686,1.0,1.0,0.10918989765687623,0.2989689862035746,0.10902347387423372,-0.0008862634104073088,0.9999898433900466,1.036372722530531e-05,1.0173705261026987e-10,7.530963476210866e-08,5.270989760450792e-13,0.0022241575547638924,0.011945784661150882,0.50149838630087
2300,1.0018081450279528,1.0,1.0,0.10536481015343804,0.2985909019716443,0.11144550844013551,-8.499450384896409e-05,0.9999895337728194,1.026412716214519e-05,1.1395627693382576e-10,8.066747995693994e-08,5.463496786724316e-13,0.0022519391876481922,0.012002013978186175,0.5011802297936065
2400,1.0019118254720152,1.0,1.0,0.09938301015884315,0.2942352267459303,0.11688083127201329,-0.0013892043600816921,0.9999893130342515,1.0784109714944494e-05,1.1540067803799813e-10,7.968559408194517e-08,6.988748603752901e-13,0.002428404932442222,0.012260545958653278,0.5024376783358939
2500,1.0020098359398422,1.0,1.0,0.10233484259642078,0.29330305717010546,0.11579744138892563,-0.0017689812405447833,0.9999892228634537,1.0935615875188899e-05,1.206877732288391e-10,8.686934666745804e-08,8.069401616643584e-13,0.0024270988911686987,0.012164534441267178,0.4976504154300715
2600,1.002113099245519,1.0,1.0,0.09828541444444786,0.29240898784290026,0.11765248074518887,-0.0005505594080865768,0.999988841757917,1.1109671784269854e-05,1.4148900688390915e-10,9.320323202478839e-08,7.864692743408442e-13,0.0025985748288921712,0.01224189999514949,0.4981426818430127
2700,1.0021844409027774,1.0,1.0,0.09368378317864297,0.29062378778037684,0.12141137527715543,0.0012040805822717807,0.9999889217195036,1.1216195400010743e-05,1.472526328632476e-10,9.714547994732541e-08,8.784829073137155e-13,0.002653083263067371,0.012490172698711404,0.5015805448489665
2800,1.0022613080383123,1.0,1.0,0.0918660711093008,0.2880882320137832,0.1256601504225191,0.003256159102603018,0.9999884967701751,1.1135345022766848e-05,1.684447749624032e-10,1.0171522607460382e-07,1.1528179216946165e-12,0.0027655066828399613,0.012599000208559473,0.497272164354473
2900,1.0023510700291705,1.0,1.0,0.09451469431240384,0.2877191567459138,0.12459628562785054,-0.000962065381241227,0.9999884339374966,1.1312831680023476e-05,1.6764926278382354e-10,1.1129670549214141e-07,1.1800382347006997e-12,0.002836817792907832,0.012765206289524732,0.4975290622152209
