miliseconds,MrnaP21,MrnaCy,MrnaP53,P21,Cy,CyP21,aPcna,Rc,pRc,aRc,iRc,Dna,Dam,P53,iPcna
0,1.0000208560208441,1.0,1.0,0.7175203398379496,0.39983441562749955,-0.0002195775323341361,0.5030342345836091,0.9999998250721706,3.855495348441331e-09,5.1767031153516225e-12,-2.693319027417801e-09,-7.801079013769761e-14,-1.2054172010115278e-05,-8.89711116563355e-05,-0.00289578513775908
100,1.0000029264259167,1.0,1.0,0.2256145848917719,0.3893897860802746,0.011374098416708514,0.01823240567215366,0.9999990043255906,9.562189778229052e-07,5.56948431222705e-12,3.3140034320055893e-09,5.5450046396422684e-14,0.00015072108042580657,0.003947850269838156,0.480918842364355
200,1.000036981932872,1.0,1.0,0.20598083853655239,0.38065379511584624,0.020266843896174076,0.00544001091225297,0.9999979126671856,2.095246934962727e-06,7.650476415685779e-12,-1.6812319225600246e-09,-3.943067722013726e-14,0.00019185467383360478,0.00647936102508033,0.49984179478461965
300,1.0000848559905744,1.0,1.0,0.1923178217610533,0.37215030137312066,0.02606835640427408,-0.0023934647673787444,0.9999971371718942,2.85424593123339e-06,5.395592667203697e-12,3.4594560415225373e-09,3.3937320380716057e-14,0.00026227128250282887,0.007908085522627178,0.49997037897026275
400,1.0001307387063396,1.0,1.0,0.18342464611525386,0.3680675023753457,0.03683093382538261,-0.0018465567134246475,0.9999965504064169,3.770512336196829e-06,-2.2446370083760405e-12,2.4440422253279135e-09,9.180664525651826e-15,0.0004688801344281912,0.008849671078515694,0.5009330158592671
500,1.0002845190947676,1.0,1.0,0.181955298970617,0.36205687219971766,0.04012728638484931,0.0025126562215664664,0.9999955379246046,4.4037448184954436e-06,6.30640951935033e-12,5.379367287218803e-09,-7.312033319748952e-15,0.0005223945080614736,0.009492060569414647,0.49706406630878275
600,1.000346747610307,1.0,1.0,0.17383828406908083,0.35485313481165764,0.04591980907516861,-0.0012767875258147439,0.9999952317909855,4.879277054864326e-06,1.369986092860248e-11,7.54443416494091e-09,-5.750243142245453e-14,0.0005563216311750071,0.009783701581564934,0.5000173898936129
700,1.0004694098961553,1.0,1.0,0.16908001301865422,0.3506394724432873,0.0534437405394049,-0.0013157977523907479,0.9999946307076057,5.402409935926792e-06,1.5256306007236904e-11,1.4010808541215269e-08,4.8918845291232724e-14,0.0006812864747106232,0.010157022847981003,0.5006757656890897
800,1.0005043122868185,1.0,1.0,0.16016244049726616,0.3467157345437246,0.05682182550425063,-0.00042444682913012706,0.999994125479497,6.079064926426196e-06,1.549200514039693e-11,1.014617451608058e-08,1.8808276331503484e-14,0.0007629565237772255,0.01028682847626333,0.49880426502581604
900,1.0005928575437575,1.0,1.0,0.15928998152835172,0.3400038754495838,0.0613822183853619,0.0008724727977496568,0.9999936033347058,6.276850847866665e-06,1.671083099296602e-11,1.3310270653858102e-08,3.632088569204653e-14,0.0009558579904080109,0.010523880759755496,0.4982650595676409
1000,1.0006942194368802,1.0,1.0,0.15337449377660023,0.33750885345214393,0.06629653398738027,-0.0015497305029499356,0.9999931250818419,6.813997156686851e-06,1.1694494333839434e-11,1.7425847222233243e-08,6.968642443330339e-14,0.0009966603104630577,0.010740555123713871,0.5016788012630693
1100,1.0007443897843116,1.0,1.0,0.1451050561941874,0.33363062512497066,0.0747169620440759,0.002947041184324883,0.9999925828180077,7.174040749434581e-06,2.240742411464408e-11,2.7303097139315033e-08,8.588348849700567e-14,0.0010437207775419717,0.010881143343863016,0.4966279880633097
