miliseconds,MrnaP21,MrnaCy,MrnaP53,P21,Cy,CyP21,aPcna,Rc,pRc,aRc,iRc,Dna,Dam,P53,iPcna
0,0.9999854193998707,1.0,1.0,0.7221287712053028,0.39893899334237576,-0.0011219933864332675,0.50223143183783,1.0000001703209445,1.335298415115334e-07,1.6533900225144072e-12,2.6790394419165256e-09,5.3040031280476707e-14,5.995734521592301e-05,-6.451950256068355e-05,0.003436220244489401
100,1.0000652634891936,1.0,1.0,0.2295355894251766,0.3863836593473047,0.012483685866115812,0.017582019681817367,0.9999988272120417,9.754794684958794e-07,1.0494405479251322e-11,8.458324797876262e-10,1.4161321620390057e-14,0.00017145939603165048,0.003988643741322082,0.48142090947228733
200,1.0000956440007478,1.0,1.0,0.20128028628361366,0.38115193316759943,0.02106528389912309,0.0006922132903125632,0.9999980638360932,1.937162693755414e-06,-2.1977551072331994e-12,3.3474641529705714e-09,3.553033593539805e-14,0.0002570118456050829,0.006369442747719399,0.5001892865703832
300,1.000176165216451,1.0,1.0,0.19687366199782746,0.37257923307014135,0.028655167959171394,0.004167592146854866,0.9999970198917678,2.6788932665054053e-06,3.632233726300918e-12,6.053948000679897e-09,4.19432920961749e-14,0.0003065037560544585,0.007962225556721112,0.4996986783953937
400,1.0001885898161822,1.0,1.0,0.18351186421364424,0.36680834836844883,0.035010937828783395,-5.547889148795938e-05,0.9999962478667497,3.6583985354537605e-06,8.98906390388775e-12,7.455777035033222e-09,4.2422283717398775e-14,0.0004707091171803906,0.008807744262889305,0.501136108973481
500,1.0001957348074908,1.0,1.0,0.18044765077935837,0.3623938915843683,0.040457730997493765,-0.0003308620045637794,0.9999957123640211,4.203840178730002e-06,4.541701906097483e-12,7.754696502403767e-09,5.857708831671294e-15,0.00044332344906429597,0.009430683593246465,0.4981287671523001
600,1.0003805226708318,1.0,1.0,0.1742855024735781,0.3539546384317807,0.04720430866436676,-0.0002516079855758639,0.9999949610053078,5.0206917071371505e-06,1.0478448402842604e-11,7.687448099811013e-09,-3.741880962042959e-14,0.0005937814749777255,0.009810166184638668,0.4983208567622364
700,1.0004645670730492,1.0,1.0,0.17057638606846295,0.3512820565000163,0.05295976317366044,9.472601174810504e-05,0.9999945195146888,5.488202503284415e-06,9.804930637660909e-12,9.017425954134163e-09,4.182209402342359e-14,0.0006416350372753322,0.01002909834221841,0.5000882540632804
800,1.0004270294737396,1.0,1.0,0.15707003269654127,0.34466198130717446,0.05901319137236755,0.0022565675323608777,0.9999941784354914,5.944041944656078e-06,1.7285196844323945e-11,1.6734492704291657e-08,2.348344536958209e-14,0.0008521296557306969,0.010407834465379295,0.5000980798882672
900,1.0006201295773525,1.0,1.0,0.1596599465184592,0.34095568186463326,0.06391829081963417,0.0030083338400655837,0.9999937292416605,6.328927950886173e-06,1.2384876224837864e-11,1.5500156815671632e-08,3.4387337746168535e-14,0.0008693261546885442,0.010425957600022078,0.4974629146735627
1000,1.0007165354793677,1.0,1.0,0.14797346434159478,0.33599466471899997,0.06669237442215604,-0.002504058455820016,0.9999931038860498,6.992225677681632e-06,2.589790634871235e-11,1.9021691705558504e-08,-4.26735537131744e-15,0.001072629836705804,0.010791711537233937,0.5013549161840531
1100,1.0007429759083348,1.0,1.0,0.14262361252075595,0.33210677677745926,0.07406343606130278,0.001596727651988711,0.9999926977126241,7.0940079884957e-06,1.864064859068283e-11,1.9810880427703522e-08,8.825591336765436e-14,0.0010985895893641012,0.010832816550391883,0.5025113242090432
1200,1.0007740708542212,1.0,1.0,0.1381002071992023,0.3267544307773116,0.07556224275514715,0.0013813801953132874,0.9999924048674023,7.572578340346784e-06,2.1792019864392107e-11,2.97630277513668e-08,6.04083835836914e-15,0.001266556949091554,0.010871561196443674,0.49897673753322336
1300,1.0008825153417336,1.0,1.0,0.134665119092411,0.323340928541235,0.08097506291549018,0.003399648783406235,0.9999919298497376,8.065586769462577e-06,4.009100011163199e-11,2.7380836479397215e-08,9.799318170509294e-14,0.0012526756836994377,0.011184260547655986,0.5025032267951708
1400,1.0010530159827584,1.0,1.0,0.1334883237266832,0.3218551572400918,0.08694875208566738,-0.0011222657150220586,0.9999916212531487,8.388729955085177e-06,3.3972674411350714e-11,3.2628415747233424e-08,2.3389261346507554e-13,0.0013622918758892004,0.01119245583537114,0.4974704267961234
1500,1.0011506117674809,1.0,1.0,0.12681520670429375,0.31911683895038717,0.08918424791699042,0.0032283286081222925,0.9999913595181068,8.621631205018044e-06,4.726526338876648e-11,3.6319376810208306e-08,1.4171882243089668e-13,0.0014311186535667167,0.011165168913649867,0.4960250099212626
1600,1.0011944168637952,1.0,1.0,0.12558439281586128,0.31557319937456146,0.09045490851496826,-0.00018363297392188572,0.9999911884493491,8.816527898231904e-06,4.6691226513058096e-11,4.559176336329316e-08,1.4413992118366395e-13,0.0016264384748511307,0.011492510804746016,0.497205873142789
1700,1.001272665034504,1.0,1.0,0.12561315109757717,0.31142004129968676,0.0952375778768695,-0.0015742483784961607,0.9999908924131486,9.027267467587729e-06,6.289231833453368e-11,4.51049028616433e-08,2.6415307690998356e-13,0.0016954257105184073,0.011518846488124372,0.5019175906887637
1800,1.0014246023596576,1.0,1.0,0.11548813079401177,0.3097737757895934,0.09732555434123653,0.0028558190221466997,0.999990542041875,9.3110343887332e-06,6.391287685848098e-11,5.149055770964648e-08,3.3613073626673583e-13,0.0017923229343468953,0.01151031781831566,0.5016600535391731
1900,1.0013821807731764,1.0,1.0,0.11996262390901577,0.3048282371488804,0.10387506812653137,0.0003243832157519591,0.9999903310401487,9.44708833275479e-06,6.838165885187892e-11,5.982440139324495e-08,3.3130701558133494e-13,0.0019288036432763853,0.011769176022986558,0.49658149723863815
2000,1.0015559531437292,1.0,1.0,0.10945283605593663,0.30328669580973977,0.10334706008424628,0.001781487082150798,0.9999899874590934,9.718300153352376e-06,8.325266536791323e-11,6.428270346872348e-08,4.526505463114384e-13,0.001991722590924193,0.011878425496604592,0.5016362768170047
2100,1.001580312732713,1.0,1.0,0.11281203023111744,0.30057031808964774,0.10816237751472291,-0.0016136995046886558,0.999989763200754,9.862917908308954e-06,8.988058450603187e-11,6.403011925765989e-08,3.8745150855741486e-13,0.0021081090476100265,0.011731257304203952,0.497590350774978
2200,1.0017448571658962,1.0,1.0,0.10382077322894522,0.29892918218515047,0.10953721789594613,0.0012978018650476482,0.9999895171034459,1.0063382115846868e-05,9.712523309089456e-11,7.566176156008996e-08,5.724678048578403e-13,0.002131704377815173,0.012065083077552156,0.49622799135872725
2300,1.001830007100576,1.0,1.0,0.10486176461376907,0.297569098821247,0.11227744626744914,-0.0007302009734375486,0.9999894300712326,1.0554115825759234e-05,1.0209867838477908e-10,7.587425677974479e-08,5.134606960248687e-13,0.002366202683291985,0.012039907582099007,0.4989623890789733
2400,1.0018762405812045,1.0,1.0,0.1027946269288164,0.2965252324773711,0.11401596337781514,-0.0019924083321641466,0.9999891446476774,1.076917475506085e-05,1.1517962781166252e-10,8.249657186389661e-08,6.972796271320337e-13,0.002325117237740796,0.012028085334695859,0.500877193787864
2500,1.001992094164492,1.0,1.0,0.0964398030793513,0.291968924487756,0.11557048238468519,0.002408027602352679,0.9999891129837851,1.0863154797244842e-05,1.210371267402329e-10,8.794640862337183e-08,7.423502352997288e-13,0.002543283708823443,0.012207164711635791,0.49836407430369145
2600,1.0020431719236143,1.0,1.0,0.09912965939460223,0.2930544643085817,0.11836979380132043,0.0010237131037704238,0.9999888295493152,1.0807967739271507e-05,1.3750431665844993e-10,9.269099159775851e-08,8.651275329861321e-13,0.0025838612587573725,0.012226546481271985,0.4970698798808952
2700,1.0021963265775267,1.0,1.0,0.09057555774894768,0.29032684036694767,0.12021455788889233,0.0010088693375540584,0.9999888283259999,1.1150810943599542e-05,1.5815209380184053e-10,9.53811777558718e-08,9.573292755674997e-13,0.0026409760689038667,0.01246727997131504,0.49784913971769584
