milliseconds,species_1,species_2,species_3
0,0.0,0.0,0.0
100,14.58223163406741,0.26619688471295877,0.0
200,27.40580987647349,0.3096260252048979,0.0
300,38.86312383968826,0.32381029132058564,0.0
400,49.18578667680407,0.32598533989556533,0.0
500,58.53382824218636,0.32201278585599624,0.0
600,67.02772177266338,0.3146288015804262,0.0
700,74.7629931912549,0.305320630996832,0.0
800,81.81818522742097,0.2949734696931483,0.0
900,88.25964394377678,0.2841437890299709,0.0
1000,94.14458565750155,0.2731938552579302,0.0
1100,99.52311080015033,0.2623605909002734,0.0
1200,104.43969193099431,0.25180101785810144,0.0
1300,108.9341738416869,0.24161753275481812,0.0
1400,113.04251356248972,0.23187420522484714,0.0
1500,116.79736278808825,0.2226088043523756,0.0
1600,120.22852831780975,0.21384142466060205,0.0
1700,123.36320076252083,0.20557706142172433,0.0
1800,126.22629350391736,0.1978112150263731,0.0
1900,128.84068970807175,0.19053339795917928,0.0
2000,131.22738706852473,0.1837282165295621,0.0
2100,133.40566647955413,0.17737701497885305,0.0
2200,135.39323937255057,0.1714591626847171,0.0
2300,137.20637468634075,0.16595289279405528,0.0
2400,138.8600146245556,0.16083600040416285,0.0
2500,140.36787335510135,0.1560862272822929,0.0
2600,141.7425297996424,0.15168153961354092,0.0
2700,142.99551759113834,0.1476004044011363,0.0
2800,144.13740870185987,0.1438220016927629,0.0
2900,145.17788908333017,0.14032635113469505,0.0
3000,146.12582763783888,0.13709437608047548,0.0
3100,146.98934018987435,0.13410793543246366,0.0
3200,147.77585009425312,0.13134984512050138,0.0
3300,148.49214150127213,0.12880387802473278,0.0
3400,149.14441930161027,0.1264547842399419,0.0
3500,149.73834174540198,0.12428821989687887,0.0
3600,150.27909932234834,0.12229082499548938,0.0
3700,150.771401230956,0.12045001755877269,0.0
3800,151.21958260479255,0.11875415760239741,0.0
3900,151.627561434636,0.1171922964380718,0.0
4000,151.99893987973527,0.11575429609803016,0.0
4100,152.3369778479853,0.11443069027974392,0.0
4200,152.64466255825283,0.11321269146193128,0.0
4300,152.92470562506017,0.1120921501183594,0.0
4400,153.17958624600797,0.11106150267788564,0.0
4500,153.41155861733017,0.11011375187198373,0.0
4600,153.62268021754386,0.10924241591613358,0.0
4700,153.81482380348794,0.10844149755827512,0.0
4800,153.98969365712114,0.10770545137564504,0.0
4900,154.14884488345763,0.10702914400221067,0.0
5000,154.29368701100404,0.10640784172655879,0.0
