milliseconds,AcCoA,AcP,OAc,HOAc,LacI,Acs,Pta
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.00194832284320631,0.042192069046552975,0.0017560050704672006,4.985160625013122e-10,5.1318361076234463e-08,1.0263672215246901e-06,0.19940119813801002
200,0.0009490560009593495,0.0858691866978322,0.007750667020069135,4.925041951556976e-09,4.804123620859467e-07,9.608247241718936e-06,0.3976095585196352
300,0.0006319118478493451,0.12601764883579694,0.017150532729951977,1.7058328418917996e-08,1.6155778240620766e-06,3.2311556481241536e-05,0.5946320297956992
400,0.00047475049221372515,0.16343999087230135,0.029339565652447584,3.99283912347418e-08,3.7119124774075053e-06,7.423824954815012e-05,0.7904747219395291
500,0.00038075594863967656,0.1986321874365035,0.04381708038605314,7.599374338260221e-08,6.973197789998648e-06,0.00013946395579997298,0.9851416208457723
600,0.00031819494133776105,0.2319924839093936,0.060171721024253985,1.2724514355938497e-07,1.1567260475638779e-05,0.0002313452095127756,1.1786326031722196
700,0.00027355640517771825,0.26384876763352944,0.07806528076562871,1.9528896411073052e-07,1.7637140761612124e-05,0.0003527428152322427,1.370940785564593
800,0.000240109695437202,0.29447153989462105,0.09721978454692648,2.8141566710766693e-07,2.5309050597566275e-05,0.0005061810119513256,1.5620492275955402
900,0.00021412185577336434,0.3240838124889817,0.11740679503346563,3.866564967580718e-07,3.469798907708737e-05,0.0006939597815417479,1.7519270585741342
1000,0.00019335782386825358,0.3528692791965339,0.13843859698239527,5.118300376021285e-07,4.591167262697604e-05,0.0009182334525395212,1.940525061460732
1100,0.00017639543575004163,0.38097906879873755,0.1601610200611156,6.575799819259686e-07,5.9053243782482636e-05,0.0011810648756496532,2.127770675563875
1200,0.0001622899317663313,0.40853741708352104,0.1824474752461945,8.244064105537533e-07,7.422314005983204e-05,0.0014844628011966416,2.3135625006313245
1300,0.00015038732979311375,0.4356464045138553,0.2051940277275253,1.0126915695012316e-06,9.15203612207526e-05,0.0018304072244150528,2.49776438149656
1400,0.00014022152387766656,0.4623901412182208,0.22831507172496507,1.2227224434342754e-06,0.00011104331615132655,0.0022208663230265328,2.680200153106196
1500,0.000131452230143426,0.4888376159821932,0.25174040115736307,1.4547060303370428e-06,0.0001328903520067008,0.0026578070401340175,2.860646983228111
1600,0.00012382508238264076,0.5150454134777303,0.2754124259900087,1.7087838343610271e-06,0.00015716008085344532,0.0031432016170689085,3.0388294739340878
1700,0.000117146306728129,0.5410602871517485,0.299283543721975,1.98504553128492e-06,0.0001839515451636196,0.0036790309032723933,3.2144173053773293
1800,0.00011126612441169223,0.5669207090058999,0.3233145597899444,2.2835371773858954e-06,0.00021336432703869315,0.004267286540773864,3.387021641804548
1900,0.00010606714366983873,0.5926582720925697,0.3474732610501945,2.604268618091203e-06,0.00024549855926990857,0.0049099711853981725,3.556194170981418
2000,0.00010145592938116271,0.6182990602931061,0.3717330234036427,2.947220715060895e-06,0.0002804548887241366,0.0056090977744827335,3.7214308223405195
2100,9.735796800489214e-05,0.6438644713140554,0.39607197551424644,3.3123496857703186e-06,0.00031833444983880106,0.006366688996776023,3.882176220819066
2200,9.371237636280411e-05,0.6693722182635741,0.420471984024674,3.6995923678072873e-06,0.00035923876871145187,0.007184775374229041,4.037836279010319
2300,9.046918027224728e-05,0.6948369753973824,0.4449179980194554,4.108869618884515e-06,0.0004032696970219904,0.008065393940439808,4.1877933987705225
2400,8.758625440216155e-05,0.7202709010412081,0.4693975207947216,4.540089057348805e-06,0.000450529341721458,0.00901058683442916,4.331425650686765
2500,8.502863642303183e-05,0.7456840972252079,0.4939001429472007,4.993147484551422e-06,0.0005011199923880303,0.01002239984776061,4.468129589769209
2600,8.276599909148532e-05,0.7710849788161429,0.5184171702672218,5.467932816316542e-06,0.0005551440518970348,0.0111028810379407,4.5973449257525765
2700,8.077208648862231e-05,0.7964805704256064,0.5429413231940979,5.964325644143997e-06,0.0006127039729958284,0.012254079459916571,4.718580026630755
2800,7.902354916155215e-05,0.8218767666012486,0.5674664741666736,6.48220060049475e-06,0.0006739021977128863,0.013478043954257729,4.831434125488164
2900,7.749959543243288e-05,0.8472785783438347,0.5919873976255084,7.021427658075937e-06,0.0007388411146076471,0.014776822292152944,4.935609654287
3000,7.618129320547389e-05,0.8726902497988734,0.6164996528101357,7.5818727421561884e-06,0.0008076230147007653,0.016152460294015302,5.030927098034778
3100,7.505132466418076e-05,0.8981153544802201,0.6409994872112557,8.163398237329165e-06,0.0008803500443640449,0.0176070008872809,5.117336800051131
3200,7.409377792629945e-05,0.9235569726303047,0.6654836567457961,8.765863925016124e-06,0.0009571241728500269,0.019142483457000536,5.194911156000538
3300,7.329357639740147e-05,0.9490177844673673,0.6899493316064624,9.389127476718501e-06,0.0010380471641985457,0.020760943283970913,5.263833996884354
3400,7.263768276916593e-05,0.9745001317721457,0.7143940323142591,1.0033044791609388e-05,0.001123220554594902,0.02246441109189803,5.324387781872655
3500,7.21129737809556e-05,1.000006076610809,0.7388155724385381,1.0697470299830995e-05,0.0012127456312031324,0.024254912624062645,5.3769363784287405
3600,7.170760458336012e-05,1.0255374503523798,0.7632120074132889,1.1382257233654086e-05,0.0013067234177075334,0.026134468354150665,5.421906916419656
3700,7.141208494301788e-05,1.0510958969530226,0.7875815883654578,1.2087257872563961e-05,0.0014052546594984412,0.02810509318996882,5.459769879221914
3800,7.121581822627931e-05,1.076682909593329,0.8119227283936233,1.281232372389648e-05,0.0015084398112072527,0.030168796224145047,5.491021250074334
3900,7.111026077222386e-05,1.1022998532929213,0.836233976188826,1.3557305665008864e-05,0.0016163790301616826,0.03232758060323364,5.516167794413131
4000,7.108802032523727e-05,1.127947989298616,0.8605139911983812,1.4322054077375593e-05,0.0017291721689797128,0.03458344337959425,5.535713288138586
4100,7.114148027125995e-05,1.1536284944827142,0.8847615247454972,1.5106418949323278e-05,0.0018469187702445555,0.0369383754048911,5.5501484289867875
4200,7.126475032343555e-05,1.1793424740436824,0.9089754049864724,1.5910249958763647e-05,0.0019697180624314247,0.03939436124862847,5.559943501751784
4300,7.145241602515613e-05,1.2050909751846854,0.9331545232186961,1.673339654858168e-05,0.0020976689577144846,0.04195337915428968,5.565542706354688
4400,7.169912125410197e-05,1.230874997526891,0.9572978236522417,1.7575707983964345e-05,0.0022308700504425375,0.04461740100885073,5.567361054877555
