miliseconds,Per,dClk,dClkF
0,-0.0015136248487257963,-0.0009386070469661875,0.006389754606126369
100,0.0012511777516691991,0.016596850165152728,0.010423871262910882
200,0.0076105078087136254,0.0337959714340825,0.03220508849545066
300,0.013956263445310285,0.042148311586304874,0.034268837569661995
400,0.018495970845017227,0.06629565732407855,0.04776479190673077
500,0.02147073852796318,0.08102259678595179,0.06143338654265784
600,0.02284335095572362,0.08335628551614153,0.07051427770700626
700,0.029248184917096694,0.1056194123220431,0.08037633195848823
800,0.03331832444891744,0.11140513981944188,0.08904239051885363
900,0.03475358896852962,0.12066361731731884,0.09138757537203451
1000,0.03896506771519815,0.13360939070949338,0.09966840559746801
1100,0.04099541002653238,0.15786022603617647,0.10483805494764538
1200,0.04632316107074059,0.15859092287267296,0.11240548851612003
1300,0.04919846696933746,0.17242689605340736,0.12311268464949611
1400,0.05459233093909746,0.19095927915541466,0.13727658222741357
1500,0.06013611861647598,0.2059197548928557,0.14719229939484765
1600,0.06048197702279125,0.22067338646558024,0.14798258856318908
1700,0.06424662896443231,0.22563240042443156,0.16254158854472164
1800,0.06841850912601086,0.23200659413748945,0.17266308503583974
1900,0.07522498249565589,0.2604748681673875,0.17763677230127456
2000,0.07639111960030197,0.26557953343399443,0.18370483973382593
2100,0.08246430517398227,0.28105227154509854,0.18982510459343185
2200,0.08738426799674633,0.28821490214734763,0.20622321009092087
2300,0.08777904019690774,0.30580194328450694,0.21131784386635427
2400,0.09528739013251086,0.32203605921631145,0.2267909681616839
2500,0.09578717354441843,0.31991732584779764,0.23554777902622678
2600,0.10092008142919216,0.3427328898826192,0.23359207313767405
2700,0.10676930286818154,0.3489845066612887,0.24743908604460452
2800,0.10668753310438589,0.3665772688682961,0.26198498772332557
2900,0.11079524539706244,0.3711783658426468,0.26882027024443733
3000,0.11905791833467345,0.3827502238653206,0.2712514459370051
3100,0.12247482864430904,0.39929970140980386,0.28366118829881254
3200,0.12507432765361876,0.40766892920867553,0.29626088691011937
3300,0.12644991457656715,0.4225525058313966,0.3031822918684109
3400,0.13259439348251278,0.44118086951772484,0.3050124491337794
3500,0.13684352075182096,0.44855893053937507,0.3119131258442459
3600,0.13815125019235303,0.46577090490312867,0.3224430016707865
3700,0.1429631643319241,0.4716522954601619,0.33491930912050255
3800,0.14810109725259796,0.4972357620685744,0.3400600250033608
3900,0.14963151138614625,0.49499237483155173,0.353523765201738
4000,0.1510569830154209,0.5153734942624688,0.36361706184893056
4100,0.1538287480380853,0.5145497840513642,0.3627666846389238
4200,0.1524671096821628,0.5250875148721534,0.37435864677753844
4300,0.15776891181039426,0.531352714527324,0.3793338711416243
4400,0.16012266057916996,0.5562104251515736,0.3942551750900936
4500,0.16111323887840348,0.5644055689011712,0.39897725317330573
4600,0.15884375369865986,0.5788409428996439,0.41370812229582477
4700,0.16503154567833705,0.5815110840260835,0.42401372051994596
4800,0.1663042502367743,0.5868804317098942,0.42175331606222927
4900,0.16539194082292136,0.5986452464571116,0.44049168332504696
5000,0.16924563048525987,0.6041478866307872,0.44872223061601324
