milliseconds,D,CDK5,D_CDK5,D75,CK1,D_CK1,D137,PKA,D_PKA,D34,D34_CDK5,D34_CK1,PP2B,D34_PP2B,D34_75,D34_137,D75CK1,D75_PKA,PP2A,D75_PP2A,PP2AP,D75_PP2AP,D75_137,D137_CDK5,D137_PKA,D137_PP2C,PP2C,D34_75_CK1,D34_137_CDK5,D34_75_137,D75_137_PKA,D34_75_PP2B,D34_137_PP2B,D34_75_137_PP2B,D34_75_PP2A,D75_137_PP2A,D34_75_137_PP2A,D34_75_PP2AP,D75_137_PP2AP,D34_75_137_PP2AP,D34_137_PP2C,D75_137_PP2C,PDE,PP2Binactive,D34_75_137_PP2C,CK1P,CK1P_PP2B,PDE_PKA,PDEP,PP2A_PKA,Ca,PP2BinactiveCa2,R2C2,cAMP,cAMP_R2C2,cAMP2_R2C2,cAMP3_R2C2,cAMP4_R2C2,cAMP4_R2C,cAMP4_R2,cAMP_PDE,AMP,cAMP_PDEP,PP2ACa,D34_75_PP2ACa,D34_75_137_PP2ACa,D75_PP2ACa,D75_137_PP2ACa,D34_75_PP2APCa,PP2APCa,D34_75_137_PP2APCa,D75_PP2APCa,D75_137_PP2APCa,PP2ACa_PKA
0,-3.0254477030463774e-06,-1.7234286522404897e-05,-1.0471836541929527e-05,-2.3793475982697735e-06,6.463243450974871e-06,5.18028421417294e-07,4.106553278614386e-05,0.0,0.0,-6.99853329139202e-21,-4.305037647001804e-21,-1.964764940988998e-21,-5.747887464627019e-07,0.0,1.2729315430652507e-21,-4.358889477839109e-21,1.2262762312598351e-05,0.0,2.2469206371748816e-06,-1.6058960193476941e-06,0.0,0.0,2.6144716241728794e-05,-6.240894465600504e-06,0.0,-8.447005325365558e-07,4.553690618182101e-06,-3.8618285231794843e-23,-3.084786439639784e-22,1.6992765002894875e-21,0.0,0.0,0.0,0.0,-2.670055136104189e-22,-4.4726286221841094e-07,-5.517651548300545e-23,0.0,0.0,0.0,8.405287467778644e-22,-8.887030376108343e-06,2e-06,1.1156958726746459e-06,5.141088781463393e-22,2.4558944615464107e-05,-4.4267023316631735e-08,0.0,0.0,0.0,-1.1070464505450361e-07,-1.8005899939513495e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.566717897235674e-09,0.0,0.0,1.717065907736572e-09,-2.0899838031637378e-10,0.0,0.0,0.0,0.0,0.0,0.0
100,3.3425367795411964e-05,-2.4396595105909313e-05,5.895132473386263e-06,3.5607988888308154e-05,1.4865929358854233e-05,5.961160117743356e-07,2.2555906821546564e-05,0.0,0.0,-4.465608632838085e-20,-5.449388272183383e-21,-4.0609859399003147e-22,2.847882068790323e-06,0.0,2.055942292187377e-21,-7.740531054011745e-21,-1.4301364752002867e-05,0.0,2.2476826825885555e-06,1.6442385175567388e-06,0.0,0.0,-1.565855169354186e-05,1.7415473197547375e-06,0.0,1.4953244728798372e-06,8.469356916250511e-06,4.2508787935228375e-22,-5.773582449084703e-22,1.771582544866201e-21,0.0,0.0,0.0,0.0,-3.0695115846310623e-22,4.718373315507813e-06,5.41270199578925e-23,0.0,0.0,0.0,-8.1865874609352e-22,1.1945892145333366e-05,2e-06,1.5723260233547815e-06,2.8524998581623713e-22,-0.0003888742111060263,-1.010649636786626e-07,0.0,0.0,0.0,1.418068306137554e-07,-1.0664588692989057e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.559725637879018e-09,0.0,0.0,1.984753413365452e-09,-1.703220763867828e-10,0.0,0.0,0.0,0.0,0.0,0.0
200,-1.618747352396058e-05,7.323616350893041e-06,1.3111663264278373e-05,4.494798417402353e-05,1.3825752297415708e-05,4.5154493015053493e-07,6.27213444140887e-05,0.0,0.0,-1.4263150637366968e-20,2.2200178826616033e-21,-9.589371844327716e-22,-3.2231237518670064e-06,0.0,1.461765739407193e-20,-5.257444171584235e-21,-4.4891930667750404e-06,0.0,6.402760914356319e-07,1.9904740659884852e-07,0.0,0.0,-5.2483566980115525e-06,7.125022248480764e-06,0.0,-2.321163986278226e-06,-1.1750391478099574e-05,6.024137384269319e-22,4.701722700103203e-22,-1.945088910084274e-23,0.0,0.0,0.0,0.0,-2.979399318801606e-22,-3.723615356688149e-06,2.6533410082095674e-23,0.0,0.0,0.0,-8.332283542730828e-22,-1.174298643673102e-05,2e-06,-1.101180873640698e-06,-5.378937703150599e-22,-8.647282816851998e-05,3.086756878003181e-07,0.0,0.0,0.0,-1.5185225118373377e-07,2.738762236734621e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.44920123647589e-09,0.0,0.0,-2.7790105544173294e-10,-1.0555529507657958e-09,0.0,0.0,0.0,0.0,0.0,0.0
300,9.934109123232843e-06,-8.691155641641958e-06,4.093180285437088e-06,0.0001268948430955505,-2.339809007403358e-06,-1.9552654801483322e-07,-5.872963800250532e-05,0.0,0.0,-4.974075437885653e-20,1.5583242419093171e-22,4.183682052822834e-23,2.018359230383579e-06,0.0,9.973643391101978e-21,8.64281375212857e-21,1.5903372044069333e-05,0.0,-6.325064762092987e-06,2.1465343077237276e-06,0.0,0.0,9.718074224431241e-05,-1.0400746770516864e-05,0.0,2.67532205398935e-06,1.3235701273385946e-05,1.296252636388459e-22,-6.516524023056947e-22,-5.762857654392088e-22,0.0,0.0,0.0,0.0,2.7269164046083184e-22,2.897006202022512e-06,8.689186915831782e-24,0.0,0.0,0.0,4.689644555227347e-22,-1.1285537433018776e-05,2e-06,-3.7875125889393124e-07,4.451537025397558e-22,-0.0004981792511858828,1.5112613200638944e-07,0.0,0.0,0.0,-8.348498433894642e-08,-4.1869822904716496e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.264065795878539e-10,0.0,0.0,1.1251268133052788e-09,-1.0754736489949927e-09,0.0,0.0,0.0,0.0,0.0,0.0
400,-1.6092367969235046e-05,-4.418469012708425e-06,5.464057772903244e-06,0.0001450497114807333,-1.1119504395610673e-05,-4.4046584686399874e-07,-6.577695788527765e-05,0.0,0.0,5.453086119906072e-20,-5.0546882451020105e-21,2.0570754686045886e-21,5.1608569879093745e-06,0.0,-2.7880057729485215e-21,4.6286971007604434e-21,2.2409776189596715e-06,0.0,7.303571871422576e-06,-5.165625646919219e-07,0.0,0.0,0.00010330125974057924,-8.203652458379907e-06,0.0,-7.268961134109565e-07,1.318104868400914e-06,5.880211436863854e-22,7.05279022854073e-22,2.711769817664323e-21,0.0,0.0,0.0,0.0,-3.4833297089899586e-22,-4.538253798498921e-06,4.514554759688692e-24,0.0,0.0,0.0,5.06309109647805e-22,-1.1104363451775707e-05,2e-06,-1.3017759506242398e-06,5.160691144098951e-22,9.853819370903602e-05,-2.2799542452684867e-07,0.0,0.0,0.0,2.014671342431639e-07,5.886048559175287e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6186427962482434e-09,0.0,0.0,1.171467445825032e-09,8.183842778559569e-11,0.0,0.0,0.0,0.0,0.0,0.0
500,7.2918868764447675e-06,6.642981620972155e-06,-1.8370461963005398e-05,0.00010057127147302488,-6.784003598726671e-06,-3.714703442958289e-07,1.1037637039363412e-05,0.0,0.0,1.7377713008887997e-20,-2.6149949309292973e-22,1.0582798629008742e-21,3.44411485964965e-06,0.0,-6.584659759219131e-21,-1.6697906087421852e-21,-1.4898913525760834e-05,0.0,2.9036415841437556e-06,-2.63523797861666e-06,0.0,0.0,-4.767076072516471e-06,-1.2267472087980473e-05,0.0,1.8263865533958475e-06,-6.894226574648897e-06,-5.194932622431617e-22,5.481749210496172e-22,3.023533246515657e-21,0.0,0.0,0.0,0.0,1.1480103823229668e-22,1.866510555380559e-06,-3.3652192289327704e-23,0.0,0.0,0.0,2.7546087356127066e-23,9.014620276209898e-06,2e-06,1.8172406278971841e-06,-4.3812883405206e-22,8.510693993372591e-05,-1.7164375997942618e-07,0.0,0.0,0.0,-2.1291043374461126e-07,4.835023300853602e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.1276296451109684e-09,0.0,0.0,2.592934141343712e-09,1.8869490057730208e-10,0.0,0.0,0.0,0.0,0.0,0.0
600,1.780535341506498e-05,-2.4427536956361077e-05,-1.3461825876417281e-05,-0.00010734123997594911,1.3154621634664986e-05,-1.9356538233976666e-07,6.63021721112724e-05,0.0,0.0,-3.699088025852342e-20,-5.4019636856293205e-21,1.5261532123937347e-21,8.429030039328567e-07,0.0,-2.666429606451894e-21,-8.538151519948532e-21,-7.275436109879227e-06,0.0,-3.661216663674735e-06,9.906470593746956e-07,0.0,0.0,4.174341024524429e-05,-9.140113646134265e-06,0.0,6.852274099832737e-07,-1.3015136332497791e-05,1.8581671606991948e-22,-5.598439493000186e-22,-2.8670608577399086e-21,0.0,0.0,0.0,0.0,1.1361785369737234e-22,4.2730126967376445e-06,6.252112204870465e-23,0.0,0.0,0.0,1.4758858420095132e-23,1.0286684495331905e-05,2e-06,1.6127036290293401e-06,-2.473080016197033e-22,2.6421802405310704e-05,-2.00711527365426e-07,0.0,0.0,0.0,1.7193431019131994e-07,3.441842982056231e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0939872408065685e-09,0.0,0.0,-1.7503268835510132e-09,1.2918606737840908e-09,0.0,0.0,0.0,0.0,0.0,0.0
700,2.775729007200299e-05,2.6870054957542754e-05,9.688951636102508e-06,-0.00014902117051503722,-1.3932394334894458e-05,-1.0339236838078892e-06,4.663780990380983e-05,0.0,0.0,-4.001692418293469e-20,-1.673112615800635e-21,-9.18589002807292e-22,-4.56456649084798e-06,0.0,3.235086761687281e-21,8.254983033475483e-22,-1.3782641525605971e-05,0.0,5.1500788628685804e-06,2.294293151388469e-06,0.0,0.0,0.00012415979130663655,-1.1999531700212246e-05,0.0,1.2940921787886205e-06,8.489428787235813e-06,6.083631091657559e-22,3.583874899095978e-22,3.2247928131810675e-21,0.0,0.0,0.0,0.0,-1.2746469609281826e-22,-3.916328360372985e-07,-2.0454257843401045e-23,0.0,0.0,0.0,-5.509705388297872e-22,-1.1628940797468534e-05,2e-06,-1.6160626407304164e-07,3.2519630357317525e-22,-3.235852225514298e-05,8.490703629182112e-08,0.0,0.0,0.0,1.781850799105971e-07,-5.269294524374773e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073197737500783e-08,0.0,0.0,-2.4812944620930662e-09,-4.709132190736368e-10,0.0,0.0,0.0,0.0,0.0,0.0
800,2.770896106669556e-06,-5.885983235395724e-06,8.641092918469313e-06,-2.2396162465968833e-05,4.3197355449418165e-06,-7.26044353951125e-07,-1.55371765768316e-05,0.0,0.0,4.063662909066132e-22,2.595787876872501e-21,-7.593901338544886e-22,-3.4414257914807736e-06,0.0,-6.969091112300497e-21,-1.4291961090230204e-21,9.071114675267829e-06,0.0,-6.416853472673291e-06,-6.120452193929797e-07,0.0,0.0,-0.00022927338104715485,7.927937377253327e-06,0.0,-9.509250169573786e-07,3.543535672455649e-06,6.822907500630875e-22,3.2176657213721234e-22,-4.069362468646347e-21,0.0,0.0,0.0,0.0,-1.3587277850000865e-22,-2.3203059487612418e-08,-5.804131117755632e-23,0.0,0.0,0.0,1.1621529888398669e-22,7.625224489930066e-06,2e-06,4.880262706909927e-08,2.3812704894462555e-22,0.00030515154624758875,-3.110167627538289e-07,0.0,0.0,0.0,-8.68593395028582e-09,3.654584703208109e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.13889342336981e-09,0.0,0.0,1.608087148663536e-09,-4.975033607585955e-10,0.0,0.0,0.0,0.0,0.0,0.0
900,1.4207570478973636e-05,-1.2900108731662971e-05,-4.271342185691028e-06,0.00017207902443540019,2.1040085004953334e-06,-9.669663406597003e-07,1.3979195965488795e-05,0.0,0.0,3.370859386221205e-20,-5.033928740185046e-21,1.7787582188113778e-21,-5.910925236594222e-06,0.0,6.5827443776589226e-21,-1.0960550404575791e-21,4.675997902563342e-06,0.0,-7.499438681670798e-06,-3.4670770355472185e-06,0.0,0.0,3.87538780455501e-05,-1.3155929581687154e-05,0.0,-3.4853215188519144e-07,1.261734804689638e-05,5.404149631252558e-22,1.0531826935763427e-21,8.452585963524944e-22,0.0,0.0,0.0,0.0,-1.4457842030477525e-22,4.459413953052654e-06,4.263505983251844e-23,0.0,0.0,0.0,2.239475274843482e-22,1.2212287680956796e-05,2e-06,-8.362205791674474e-07,5.224885631524846e-22,9.896910726204656e-05,-2.1099987090484385e-07,0.0,0.0,0.0,5.488952714900476e-08,-1.4932874694567046e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.983686463939043e-09,0.0,0.0,1.241657292698214e-09,-5.934934176256745e-10,0.0,0.0,0.0,0.0,0.0,0.0
