milliseconds,R
0,-0.008207452157744068
100,0.09414222085525019
200,0.20376656603316567
300,0.29665716671486553
400,0.3824049748151639
500,0.47418645977909557
600,0.5113774371098004
700,0.5290900932399347
800,0.536599543009196
900,0.5418002685451285
1000,0.5558365700694614
1100,0.5701582232414789
1200,0.5874745790755442
1300,0.574375809861919
1400,0.5788454175565044
1500,0.5868353710978437
1600,0.5956422906022167
1700,0.6123390009144546
1800,0.6026077705403776
1900,0.6203384737305555
2000,0.6112774529369336
2100,0.6178132224722168
2200,0.6148408561747821
2300,0.6170706743114871
2400,0.6454092052005956
2500,0.6364756016703
2600,0.6470915509552982
2700,0.6499788517317491
2800,0.6419102114171099
2900,0.6417414202396552
3000,0.663790353496785
3100,0.6556676344620813
3200,0.6581010361420282
3300,0.6635835899601725
3400,0.6721609958708261
3500,0.6677442825647946
3600,0.6667753955191899
3700,0.6632247599541697
3800,0.6799658534755002
3900,0.6900145169325995
4000,0.6860682144079753
4100,0.679129309924703
4200,0.6730281727155504
4300,0.6959506960498678
4400,0.7046598585242941
4500,0.6872932563350623
4600,0.7043635910277611
4700,0.6963609043843311
4800,0.7029093857818097
4900,0.7138152976663978
5000,0.7112460599563966
