milliseconds,R
0,-0.001510085115227846
100,0.09307804899716147
200,0.20832336427974982
300,0.28671055679789603
400,0.40783555242728425
500,0.49056668430243444
600,0.5202939569512569
700,0.5272957408726681
800,0.5326976511423853
900,0.5533314201858739
1000,0.5630786011336222
1100,0.5759071441306821
1200,0.5899438565291788
1300,0.5882061580301329
1400,0.5806751410039668
1500,0.5852588111638285
1600,0.6121915533476521
1700,0.6080163696475945
1800,0.6203393120927202
1900,0.6062353947475906
2000,0.6117264933754089
2100,0.6106337714028301
2200,0.6343163805007465
2300,0.6356725198672756
2400,0.6172619668120778
2500,0.6339021380384757
2600,0.6363085976798434
2700,0.6456256239361922
2800,0.6410966227717686
2900,0.6404482557273666
3000,0.6606153433105879
3100,0.6586872989808725
3200,0.6630727455121139
3300,0.6629821217517132
3400,0.6709080201376051
3500,0.679234275573368
3600,0.6714527515430867
3700,0.662910733181439
3800,0.6720341438447909
3900,0.6886746848268186
4000,0.674106426354993
4100,0.6821725915033654
4200,0.6891546655320319
4300,0.6984121133854049
4400,0.6817075343665402
4500,0.7059116546181085
4600,0.6958555006393561
4700,0.7089319263142517
4800,0.7105144642029954
4900,0.6936224116688517
5000,0.6946690225212593
