miliseconds,Mrbc
0,0.9025533232936176
100,-0.062756702212302
200,2.2717697919850615
300,1.8596207357542371
400,1.6098458368430526
500,2.6163965472877173
600,4.9870101966542855
700,5.96397741909608
800,9.483634828857427
900,9.92465214854991
1000,12.153770335223777
1100,13.587033030706154
1200,16.519181473586997
1300,18.09059456809857
1400,19.910509629836266
1500,23.19215853407366
1600,25.34855404925067
1700,27.169121925994883
1800,32.637482997357274
1900,33.240978103469104
2000,34.65858318531523
2100,38.9366441837994
2200,41.86964731887764
2300,44.793302644740066
2400,46.21230354960031
2500,50.41503549623967
2600,51.1236529182668
2700,54.030034754766916
2800,56.416178247802236
2900,58.15417054079973
3000,60.10403915359679
3100,64.71801242500489
3200,66.33492613832101
3300,69.25653204226721
3400,69.05227408562713
3500,73.9271802650836
3600,76.08593820333479
3700,75.31547355276179
3800,78.25066512452928
3900,79.13022290158477
4000,82.87532552973951
4100,84.527340938408
4200,85.22111273238696
4300,88.9527728515627
4400,88.7622331870716
4500,90.74110977744272
4600,92.28445956171358
4700,95.55348596479806
4800,96.59977961432168
4900,99.41023195833738
5000,101.43777647516485
