miliseconds,Mrbc
0,-1.4551221424820056
100,1.0167100646702374
200,1.3568346918424101
300,0.13242110565886933
400,3.3670682350393935
500,2.4006087089616486
600,5.4871713100052
700,5.093993448794302
800,8.302981170212309
900,11.049602695442678
1000,11.554072819679526
1100,13.146261515657859
1200,15.056312946139352
1300,20.291930063124553
1400,20.488480855898423
1500,22.32494930081417
1600,27.579815964535157
1700,27.413986556581357
1800,32.614258305704794
1900,33.21441811565261
2000,37.84209447662202
2100,37.6127531380444
2200,40.098519090039844
2300,43.80785926052321
2400,45.679749960525264
2500,48.84818552353799
2600,51.704877509632794
2700,54.49583623021274
2800,57.319232677543724
2900,59.57789727814638
3000,62.285884735052605
3100,63.21531434209181
3200,64.38189298377941
3300,69.49718382302069
3400,71.11040331768909
3500,72.5280906291364
3600,74.8597689470575
3700,77.49939477994833
3800,77.36971680361638
3900,81.96352165643567
4000,82.95788771354067
4100,85.63005476584021
4200,88.09421579031496
4300,88.26345518216847
4400,90.24601664784548
4500,92.28524988055511
4600,92.70470856529444
4700,96.5049670168675
4800,97.85276065458302
4900,98.05544929955661
5000,100.26684433006592
