miliseconds,S,N
0,0.09925231894423886,0.19992539634859613
100,0.10093662708284293,0.1998197375958226
200,0.10278173525671126,0.1993374824989175
300,0.10357535932530018,0.19905368601759063
400,0.10496439591974176,0.19903935202349773
500,0.10772779944682423,0.19856597560011902
600,0.10843922827626723,0.1984760796709045
700,0.11012156015052209,0.19806531406239022
800,0.11078086552705217,0.19780134667475482
900,0.11214480998346768,0.19764410343302394
1000,0.11332883510285534,0.19756547254447854
1100,0.11497326758381149,0.19709661040667614
1200,0.11584471396562995,0.1970644650981576
1300,0.11784905092413028,0.19670092622156396
1400,0.11862943033497786,0.19666348406553708
1500,0.12006567424439848,0.19629422382845318
1600,0.12223826396359702,0.19603420655409218
1700,0.12324950337456025,0.1959531337195324
1800,0.12420608925285527,0.1957688785675495
1900,0.12513148427234466,0.19557781708997365
2000,0.12733307922226528,0.1953095051750661
2100,0.12829327049930148,0.19500650513807155
2200,0.12838983643179025,0.19492961211136214
2300,0.1295827108439828,0.1946678051094328
2400,0.13132151336553535,0.19446877692886952
2500,0.13280485864057992,0.19432809455714378
2600,0.13315834036615,0.1942306109156415
2700,0.13552442657878044,0.19421016314809947
2800,0.1360518206428645,0.1940375768697619
2900,0.13670118607104578,0.19375994673067
3000,0.13830652726946988,0.19352018962805878
3100,0.13906325356497656,0.19339151504681207
3200,0.14056531482140577,0.19338829434774488
3300,0.14185897046470208,0.19329889082910534
3400,0.14283079448894523,0.1931467053574946
3500,0.14402802730998965,0.19286061852145603
3600,0.14593434058877222,0.1928670224962591
3700,0.1475730936572155,0.1925378504771802
3800,0.1485805659850439,0.19252277366893758
3900,0.14888759188989192,0.19244533030546118
4000,0.15036759743456732,0.19218119755889865
4100,0.1509623234715675,0.19214955161542632
4200,0.15293185696970968,0.19202788608844368
4300,0.15442055574905103,0.19204161918470133
4400,0.15550734653908224,0.1918351895525161
4500,0.15508195259165639,0.19186321455013566
4600,0.15739853605779913,0.1917420137320269
4700,0.15709995876442884,0.191455517934243
4800,0.15859099249880346,0.191586980381494
4900,0.16038518414698466,0.19135946713572186
5000,0.16077058157722196,0.19119944887282417
