miliseconds,S,N
0,0.09970484892363647,0.19988004098321932
100,0.10170562289424917,0.19979232635284014
200,0.10206056492131703,0.19934213551797136
300,0.10470855715092778,0.19919431583073752
400,0.10469626901140885,0.19900612933668174
500,0.10689093517823818,0.19853074494530618
600,0.1077076287968936,0.19846271589138953
700,0.10889714840569373,0.19805401716182228
800,0.11047847344489253,0.1979264111495344
900,0.11144219178623456,0.19767970717766814
1000,0.11404245066621362,0.19754882766982923
1100,0.11505688829099829,0.19732155533229798
1200,0.1154038054324227,0.19690622212781075
1300,0.11830714427383224,0.1967698190716364
1400,0.11933155680358702,0.19641224251167488
1500,0.11994031944184952,0.1963563682532326
1600,0.12115963952909838,0.19616730918172054
1700,0.12289603492249665,0.19579833639328287
1800,0.1235975634374976,0.19578121980703878
1900,0.12578320826083544,0.19552618568437272
2000,0.1273589876549993,0.19532432162075541
2100,0.12837991927929215,0.19522130392983753
2200,0.12826096466614595,0.19502856823349918
2300,0.13099178837818815,0.19470470862275882
2400,0.13189691339666046,0.19466186115454612
2500,0.1320691693117248,0.19454400956552745
2600,0.13299122453989126,0.1941542599811495
2700,0.13446485896318988,0.194064901305754
2800,0.13626584429296565,0.19403663612717337
2900,0.13789448628992393,0.19377307202598748
3000,0.1385071650555799,0.19372966123504257
3100,0.14067592490144562,0.19344291029740465
3200,0.1413994114478009,0.1934235041103974
3300,0.14175668802875718,0.19323760931076384
3400,0.14427946910733896,0.1930226942363985
3500,0.143952959929214,0.19294961185896634
3600,0.14521175872311232,0.1927510324965249
3700,0.14638825162724647,0.19258696975820536
3800,0.1475897057582847,0.1924768824511678
3900,0.1492424585023908,0.19237047032339866
4000,0.15093956467964711,0.1922430242791408
4100,0.15044507337118587,0.19229043642980365
4200,0.15307115676592234,0.19194456346709746
4300,0.1537443014629938,0.19204792148434283
4400,0.15530339940817692,0.19174666626882642
4500,0.15627548841951366,0.191737439060531
4600,0.15650505957269034,0.19167275891805075
4700,0.15835205390792823,0.19154309082428825
4800,0.15871870909138358,0.19139484950251434
4900,0.1597713489063859,0.19135792031711157
5000,0.16111543511135684,0.19141644879364747
