milliseconds,S,N
0,0.0992768485894666,0.20002051553191208
100,0.10052397190127561,0.1997194996941495
200,0.10346135011166108,0.19941858860864736
300,0.10374161302095074,0.1991917096563818
400,0.1053105888294722,0.19893555423013026
500,0.10627140386603326,0.1987523623841673
600,0.10750188083446392,0.19837270151901074
700,0.10919421763828101,0.19816410994776032
800,0.11024618668703688,0.19792781152616826
900,0.11205695847728168,0.19770111134117102
1000,0.11326839938847168,0.19734414387335075
1100,0.11444217552816656,0.19723624688414765
1200,0.11674390005415206,0.1970344334918069
1300,0.11766362972329662,0.19673773984801865
1400,0.11901788174259978,0.1966358616016303
1500,0.12078170586548834,0.19631109652765993
1600,0.12061083517937825,0.19607245912202223
1700,0.12186734086030396,0.19594238398574948
1800,0.12436236707629253,0.19564702546858387
1900,0.12508255093779205,0.195395737685921
2000,0.12634312096008185,0.1953403971770571
2100,0.1272596360450374,0.1950679117535266
2200,0.1285103733035083,0.19506768133565583
2300,0.1308587509271238,0.19481216157192544
2400,0.1319304769961729,0.19450226768435339
2500,0.13240512975868474,0.1945143759752039
2600,0.13368263909748027,0.1943117456927742
2700,0.13590554500397575,0.19412154764003473
2800,0.13647103968698793,0.1938515129115178
2900,0.13838989947687552,0.19369910435677726
3000,0.13953888765232472,0.19372254880367293
3100,0.14009281150122868,0.19339713587773005
3200,0.14176881994202392,0.19333249178797254
3300,0.14135555682021425,0.19305991883778115
3400,0.14251258984010212,0.19313416033236114
3500,0.1445006437301371,0.19303022458195665
3600,0.14594384996175064,0.1928295518821492
3700,0.14625516376604705,0.19252112310037173
3800,0.14737338581051576,0.19245585930427267
3900,0.14820660756154735,0.19231167117223325
4000,0.15072505698250035,0.19222832921048044
4100,0.1508615189430511,0.1921016494883644
4200,0.15272302265889517,0.1920971815055381
4300,0.15273942260629805,0.19184446664702662
4400,0.155435174756749,0.19178529356835586
4500,0.15495334828823482,0.1917900921805846
4600,0.1563166322925994,0.19153225384670464
4700,0.15803185899846237,0.1915584407400066
4800,0.15959822607818308,0.19145897892266162
4900,0.15942325470489963,0.19127690004439912
5000,0.16171424732442083,0.1913728799574931
