miliseconds,S,N
0,0.10056604863775119,0.2000155376915221
100,0.10082873304285339,0.19973276799429449
200,0.10268095273296746,0.19938204789239664
300,0.10389857950316167,0.19915570611782232
400,0.105747304853889,0.19898090632767085
500,0.10774353826635921,0.19870183100484798
600,0.10877925116366842,0.1984866227948401
700,0.10986701827196595,0.19820217280808705
800,0.11122415932147615,0.19780117927552673
900,0.11273320563501152,0.1977111888347989
1000,0.11399321211731045,0.19756542239529037
1100,0.1146633068235995,0.1972096315011764
1200,0.11651718149677809,0.1969893429845521
1300,0.11764152764398383,0.19663655125780766
1400,0.11844937202600654,0.19646100403161562
1500,0.12094242941843109,0.196349987121823
1600,0.1213918034933495,0.19620421301705387
1700,0.12310750081489584,0.19595767064428327
1800,0.12372925322820752,0.19573917962921794
1900,0.12524906152541607,0.19552718200287036
2000,0.12613263426653348,0.19521500078297865
2100,0.12718253590182393,0.1951029733354819
2200,0.12931663401686871,0.19496248972499156
2300,0.130489286410652,0.19471701800023714
2400,0.13209700348094047,0.19456202900686353
2500,0.13194792843143555,0.19450843639288135
2600,0.1339766201562901,0.1943234399831184
2700,0.13554110188843366,0.19398691248432195
2800,0.136582394093919,0.19379537692283066
2900,0.13761187330045496,0.19381246372118466
3000,0.13851656496003464,0.19361836277529845
3100,0.13957405752897964,0.1933340852525777
3200,0.1409698742722434,0.19321235888043745
3300,0.14212495910394587,0.19311263721702526
3400,0.1438075000081457,0.1929524253299966
3500,0.144361798842666,0.19280519478556005
3600,0.14524793803349526,0.19286869405782003
3700,0.14726160528407373,0.19271742772192393
3800,0.14808636901854952,0.19251423268287665
3900,0.1490192714601285,0.19241456427524004
4000,0.14956006238362302,0.19226094482347722
4100,0.1515034648482491,0.19226554410837232
4200,0.15155501347968603,0.19217489310613894
4300,0.15341588393031844,0.19205960070029018
4400,0.15453198597304077,0.19178408117365517
4500,0.15583778486943112,0.19162864803183657
4600,0.156071571849049,0.19165712343437213
4700,0.1583175612399207,0.19150716565379775
4800,0.15899843047360743,0.19137336853646303
4900,0.15958414421283007,0.19135096586255693
5000,0.160640141374493,0.19131499516899703
