miliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
0,-8.177090205657429e-05,-2.5840219438719756e-07,0.00011089856142012635,7.360116299824434e-06,-3.65500164755015e-07,1.3004324424228384e-06,-6.807231340737455e-08,-3.9098408811010007e-07,-7.957999406732264e-10,-7.979692219650085e-09,-4.015725471800069e-11,1.6947062179127228e-08,2.0701215852662039e-07,-3.775675293631348e-11,-2.591348951664893e-06,1.4666850187014196e-13,-5.867116178816697e-10,1.0438085459243006e-07,3.438274201818986e-07,3.6831601346793514e-05,0.0022350417409855564
100,-0.0001459093679756047,-9.393992452410317e-08,0.00030267837756864304,1.0653930970563311e-05,1.0721519384295181e-06,3.6250581751218574e-06,-6.29320779377029e-07,-1.2633250026851555e-06,-4.143972973918982e-09,-2.596852042060987e-07,-5.055763010682362e-12,2.056806478763086e-07,7.912699755653007e-07,1.9382514443738615e-10,-4.269158180847968e-06,2.77967716362705e-13,1.83809454804113e-09,6.851277278698157e-08,6.513165938748877e-07,-0.00031858364966807747,-0.0033116874114418743
200,-0.00016890813282315225,-4.086202733853086e-07,0.00024228130790224578,3.4817142254675125e-06,7.358352452825368e-07,5.552134505773185e-06,-3.276810768619322e-07,-1.3508018176234526e-06,-4.521106696524427e-09,-1.979668272995267e-07,6.407216485037345e-11,1.429966497461831e-07,3.3896312477876057e-07,1.062974797466131e-10,-1.5779787024976886e-06,1.2402156448557297e-13,4.514386923297376e-09,1.1610435097528553e-07,2.2952523468237606e-07,-0.00038638229456673613,0.003071651813908681
300,-7.469534323578539e-07,-1.9767128061160674e-07,7.099621559342713e-05,4.20276418168786e-06,4.324926507935701e-07,-1.429486622486055e-07,-2.5218588793997157e-07,-4.4668716494078776e-07,-4.026926798525923e-09,-1.2868095844561296e-07,5.543362718739671e-11,2.3646550642479666e-07,1.0844304195190415e-06,1.3794746623988811e-11,-2.987086966020835e-06,9.232488191589561e-14,1.6155863264838138e-09,6.456784683208064e-08,-7.105944209118192e-07,-0.000318620121990415,0.002668865022687445
400,-0.00016856428561000126,-6.786490927482644e-07,4.562986255342424e-05,8.161803184275167e-06,4.2258298027050714e-07,5.928195997839008e-06,-3.3881599178199565e-08,-7.114507321620235e-07,4.097558155498769e-09,-5.7345202229574834e-08,-1.4753780755725312e-10,1.223552026708403e-07,5.584563989166644e-07,-1.280365584846581e-10,-5.739285897230502e-06,-3.938603792720188e-13,2.5053084105718817e-09,2.2262183561837109e-07,-2.4467147925350124e-08,-0.0004937806727702392,-0.00435708123510528
500,-0.00020309340084350927,-1.1787833757883725e-06,0.000285197442190715,2.5679607825958913e-05,1.2917138774376235e-06,5.814389045517607e-06,-1.8215016831204959e-07,-2.3367128035071703e-06,1.3241423453280882e-08,-9.017691881283802e-08,-9.061233742030554e-10,2.3682451751369118e-07,1.4748010865785597e-06,3.667653656061679e-11,-1.8568716932725406e-06,-1.0401603607627292e-12,5.054269720049676e-09,3.760989871556398e-07,1.0081572720069109e-06,0.00019036081624227723,-0.007006098352951483
600,-0.00041206839472378797,-1.4039041508167287e-06,0.0005546841286221866,3.43645715873961e-05,2.2497848456871826e-06,1.608396765457966e-05,-2.2738110363326403e-07,-2.2642168907402775e-06,3.72085468743165e-08,-8.029581747678504e-08,-1.0330391405924314e-09,6.170474765591172e-07,2.258595600656638e-06,1.670343803889801e-10,5.549728565923289e-06,-1.3471538030818374e-12,1.0306823395294005e-08,5.328799264934644e-07,1.3280716166300273e-06,0.0003452684350590372,-0.014150310192575165
700,-0.0005757948812710476,-1.6247675642566605e-06,0.0006534995050505163,4.549861550754927e-05,2.6744963352655054e-06,1.6757031828748437e-05,-4.6914431114319923e-07,-4.463734972337271e-06,3.680466171813114e-08,-1.1727587519548789e-07,-1.6758428891840944e-09,6.871083164991573e-07,3.079298913085109e-06,2.0081966500153695e-10,1.3790823229777297e-05,-1.6844332896958121e-12,1.1514714647368704e-08,6.582018331370712e-07,2.9457229014637886e-06,0.0006000504941768732,-0.028092184185883832
800,-0.000638945544539013,-2.919171168395308e-06,0.000900269528622066,5.6173604240404645e-05,3.4619162296636365e-06,2.100637958221396e-05,-5.443613390455368e-07,-5.006246326099889e-06,5.688471825130831e-08,-1.1206964550847493e-07,-2.236373880098699e-09,8.0013850133994e-07,4.473251376768997e-06,3.080059808893411e-10,1.4308162927265677e-05,-1.9924951268675366e-12,1.5831110129249644e-08,7.608196042965814e-07,3.614325751528395e-06,0.000979614528384815,-0.03428866380115788
900,-0.0007913058388951613,-2.7899426621903606e-06,0.0010746587687780322,7.481997477679324e-05,3.763277132008904e-06,2.921714900807305e-05,-7.083758954590388e-07,-5.7390377043709776e-06,6.189942981760913e-08,-1.1896947446154628e-07,-2.3751369912081988e-09,1.0172001669458177e-06,4.305873617233481e-06,5.156527963625627e-10,2.3471301711488464e-05,-2.4469966954533566e-12,1.920357892224876e-08,9.112799283685449e-07,4.503859762970867e-06,0.001775164088022262,-0.04207260438530687
1000,-0.0008938075709222007,-3.6209482146595563e-06,0.0010551823931942389,7.462171893060479e-05,4.411246364857493e-06,3.1879907978247355e-05,-7.947804848318218e-07,-7.231358360626149e-06,7.199829048745882e-08,-1.3524104032680466e-07,-2.9047118119855656e-09,1.2782844221098662e-06,4.984233171974039e-06,6.254345019542669e-10,2.4654434295249812e-05,-3.220593972378985e-12,1.944922817560406e-08,9.922412786709698e-07,5.4331074616722074e-06,0.0018773213297259583,-0.05160335832539406
1100,-0.0010486587893849943,-4.386577444743629e-06,0.0013032080429064077,8.734745992365645e-05,4.914139300772423e-06,3.960432696196422e-05,-9.801234431797272e-07,-7.266539812431475e-06,9.106121570921061e-08,-1.5182081248650102e-07,-3.0306705217717304e-09,1.3690166440226935e-06,6.65027846145734e-06,8.122622054171396e-10,3.351858641019865e-05,-3.4507866198545583e-12,2.3154657246255918e-08,1.2923992288898694e-06,5.436152459931554e-06,0.0024268315641679467,-0.06062209942473643
1200,-0.00106744822342926,-4.533298499844885e-06,0.001408882043022862,9.66949146705686e-05,5.565293573721559e-06,4.2065017144671585e-05,-9.723598892595176e-07,-8.143207823912927e-06,9.908972876819341e-08,-1.673965736656042e-07,-3.724337018923255e-09,1.3979042678021138e-06,7.494280916387734e-06,9.31900403945218e-10,3.75457960608907e-05,-3.519773291751085e-12,2.6224436815892463e-08,1.31429639171925e-06,6.4750180090415515e-06,0.0025212272765693018,-0.06389452166721707
1300,-0.0012301576775417837,-5.052370332778098e-06,0.0016951385740091199,0.00011610353553848405,6.000999760276451e-06,4.659189878574698e-05,-1.068247685506999e-06,-1.0317834603522646e-05,1.2377201153248858e-07,-1.7208536601863176e-07,-3.7992548501852454e-09,1.7306262892079254e-06,8.260513209283663e-06,9.243429343765084e-10,4.490931532632994e-05,-4.181332829022493e-12,2.7895498616650636e-08,1.4209632025768785e-06,7.723023939050742e-06,0.003300208317212789,-0.07838423061266993
