miliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
0,-5.994914525726283e-05,2.2111498309074118e-07,3.5078770845944135e-05,-8.062748949968619e-06,1.8742348721730174e-07,-1.2266935105516622e-06,4.166577510946346e-08,-4.641632786190585e-07,2.283935890352181e-09,6.541764857449698e-09,-2.0282119949532423e-10,-1.870816787699734e-08,3.48990830824905e-07,5.950680913007359e-11,-1.7499675572482439e-06,2.067718816771689e-13,6.583502361071118e-10,4.9434169576822583e-08,2.1912519958001992e-07,5.208841131704689e-05,0.0025867760690860596
100,-8.152013494702327e-05,-2.067883317419177e-07,0.00010549767509710593,1.1637039617096346e-05,1.5596459175519676e-06,3.7304087339939255e-06,-6.149647034801239e-07,-1.0531096363276001e-07,-1.2297586935024798e-08,-2.5334259110562055e-07,-3.9497405387724046e-11,7.883547003425041e-08,4.802246046222851e-07,1.8578211770680945e-10,-1.837152347065764e-06,3.7813289407726957e-13,3.360045200321018e-09,4.069006690884084e-08,-2.780028058295512e-07,-9.50869715287442e-05,0.004990692535373864
200,-6.412921802248827e-05,-3.850362290235379e-07,7.516531827065899e-05,1.2520567586442861e-05,1.2986172471668754e-06,3.013405812629809e-06,-4.08954164330813e-07,-9.080510994854464e-07,-2.9040724075519086e-09,-1.8897389264317429e-07,3.170978450227546e-10,5.614979897830183e-08,5.520330039929462e-07,2.668134824287657e-11,-7.0118451361853196e-06,1.0751368986886738e-13,5.006883193507854e-09,1.225942655336576e-07,-3.901910303839409e-08,-0.0004073072614219464,0.005488531935168756
300,-5.549103026448379e-05,-5.232884657272848e-07,0.00020355037650145565,6.5688208086936994e-06,9.6660887901111e-07,4.592047126254307e-06,-2.303850505211001e-07,-1.16058724154321e-06,-6.9003311382778385e-09,-1.2653458148552239e-07,2.670854187387224e-11,1.8641056033996811e-07,1.023999466441369e-06,9.335830132019112e-12,-3.13427473345534e-06,-3.121722602011272e-14,2.1995417632774708e-09,8.736744468673176e-08,-7.930722559988017e-08,-0.0005076425750270786,0.0057443906013608355
400,-5.300083267475195e-05,-6.850331811744171e-07,6.723033957007504e-05,8.460224884561028e-06,9.951372095684571e-07,4.535199637750343e-06,1.055512163038604e-08,-2.549427978979156e-07,8.243544756681304e-09,-7.041494172260894e-08,-4.805392284151638e-10,9.922599898695874e-08,9.79322338420933e-07,-8.459705758996585e-11,-3.938730579235013e-06,-2.3922971899545385e-13,4.278452499774152e-09,2.175220590220054e-07,-2.614898000150401e-07,-0.00031398010681282307,-0.0013344800482227338
500,-0.00024292157328644238,-1.263600112758194e-06,0.00031008706503652707,1.65960385958792e-05,1.4043700416475545e-06,5.3436131893127985e-06,-1.4218589349209566e-07,-1.7857228579395066e-06,2.034462028772591e-08,-6.973190605389064e-08,-6.073035425419075e-10,4.4771003827238627e-07,1.0927582348522135e-06,-3.347438957841756e-11,-3.0372921191489774e-06,-6.729658305637914e-13,5.313870305502401e-09,4.081902034671934e-07,1.0749088038284685e-06,-2.9499494837248614e-05,-0.0052905683791564405
600,-0.00034848568685540404,-1.3387570503427513e-06,0.000419563368167837,3.686046413289947e-05,2.315939711967013e-06,1.5599884775670834e-05,-2.8939226319647604e-07,-2.2705289340116783e-06,3.91792020767886e-08,-8.260600429842697e-08,-1.2766581830760276e-09,4.930144844123692e-07,2.375657939351783e-06,1.7319096811444552e-10,4.5780505411863975e-06,-1.2073376212440726e-12,9.925529132846911e-09,4.378981746355428e-07,1.789990640556996e-06,0.0004952111403234959,-0.022665002935467096
700,-0.000507798922565473,-1.7787498617999476e-06,0.0005913045606059506,3.875854807980512e-05,2.705417696963774e-06,1.617379250219225e-05,-4.0403457763980414e-07,-3.3150147064298982e-06,3.574634389706056e-08,-1.1162321676887717e-07,-1.3474509017176898e-09,5.815345683296916e-07,3.135038957028521e-06,3.25422034251797e-10,1.3259590694148954e-05,-1.4383054664776858e-12,1.29855062321148e-08,6.678777609599196e-07,2.2726173876583866e-06,0.0006017729156274234,-0.027364824042623043
800,-0.0005407461909194434,-2.674635697294278e-06,0.0007271450125941975,6.316062705961003e-05,3.3877181099738305e-06,2.4401234476022676e-05,-6.278272085988023e-07,-4.4429431538462e-06,6.163396764006114e-08,-1.0563490702274417e-07,-1.773389840376373e-09,8.018320892757263e-07,4.2033729605512605e-06,3.9727275982408387e-10,1.3872850517846624e-05,-2.1421069845675574e-12,1.647992181111258e-08,8.655540651598612e-07,3.0352021071599434e-06,0.0011387682348692157,-0.03140876090574478
900,-0.000787620303627314,-3.478141128689864e-06,0.001006161942385264,6.120291317275853e-05,3.367923016266348e-06,2.5506751800687245e-05,-6.59209740800519e-07,-5.839743432908464e-06,6.540248221648748e-08,-1.1624911811364612e-07,-2.306900338092244e-09,9.67014125187251e-07,4.19067762112551e-06,4.85164068321118e-10,1.944299376521616e-05,-2.8121593300031216e-12,1.9834522581208546e-08,8.239191518955558e-07,4.648873845044261e-06,0.0013931465986575507,-0.04674431804920519
