milliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
0,8.142253385328892e-05,-1.0959173960103395e-07,-3.346195130072904e-05,3.6641639379122904e-06,-2.550261357103387e-07,1.9378763465200584e-06,6.145557420387698e-09,2.1956885680319325e-07,3.3657746025128207e-09,6.216459939230537e-09,8.886852579713637e-11,-7.60191759670063e-08,5.413636682962129e-07,7.281272764606454e-11,-7.906552243198978e-07,-2.280280861012434e-13,1.5315402203110644e-09,8.050793078786569e-08,-4.787136572940791e-07,-0.00010094400806824947,0.0018429747256431016
100,-8.996480843984123e-05,-5.759608955878061e-07,0.00020856492663595837,1.4256605569080744e-05,7.595417242759107e-07,8.274264637246911e-06,-5.086919270920087e-07,-8.707247491973347e-07,-1.7327804967587267e-08,-2.550328402025969e-07,3.5092577655699555e-10,2.589239571040796e-07,4.918936057092769e-07,8.847437777555298e-11,5.1902102112481406e-08,5.637388767317129e-13,1.106200425080334e-09,1.023997584554082e-07,-2.251234243934536e-07,9.527114008825338e-05,-0.004270732594633042
200,-0.00019333319751602867,-5.795275650003568e-07,0.0002513358260874203,1.6964352548562205e-05,6.693164486391216e-07,7.532816400311136e-06,-3.906465216703698e-07,-1.1222850055747137e-06,4.92225873022432e-10,-1.8071013129920905e-07,-1.6023676716016185e-10,2.0146433791714574e-07,9.358811901178963e-07,3.765045787911663e-12,-7.215559470977579e-06,-3.173378419010776e-14,1.8575205403965913e-09,1.644183219119511e-07,-4.203611041052955e-07,-0.0001543130123257996,0.004923945490066484
300,-0.00013347737814523071,-3.101606590139866e-07,4.622937637402031e-05,7.5569123344406e-06,1.1339479642800937e-06,5.252106226847991e-06,-2.7179387895851997e-07,-1.310867166872815e-06,8.564572878242249e-09,-1.2996937013592468e-07,1.1388401969500644e-10,2.5971771466981514e-07,1.0797103907213619e-06,-3.139174675520243e-11,-6.42805538051889e-06,-1.8977212865198988e-13,4.809900312524763e-09,1.1382863030125107e-07,-4.2110319280504935e-07,-0.000550516437838037,0.004231897312891369
400,-0.0001399282710503119,-7.136641089502118e-07,0.0002124379945135948,1.2004759765803587e-05,6.571864831151743e-07,3.547642047769479e-07,3.5051932790027292e-09,-9.956901303268177e-07,4.678161463508776e-10,-5.816940938762947e-08,-5.240630122246989e-10,2.1052624194475764e-07,9.8259002502209e-07,-1.681176264049796e-10,-2.9480493289539643e-06,-3.085760756054598e-13,2.3316055873110997e-09,2.7155004244657537e-07,-6.31689728053573e-07,-0.0006407189076554436,-0.0018196383726363933
500,-0.00013023484551551065,-8.022786786661199e-07,0.00037150721634408087,2.9135504734640142e-05,1.624510901044089e-06,9.9178825366388e-06,-1.1047627760080714e-07,-2.0795265895536643e-06,1.9125889227724993e-08,-8.898613735201593e-08,-4.734706612279619e-10,4.140579833022376e-07,1.018438698229589e-06,8.676966255717146e-11,2.075340471149679e-06,-8.565009392789872e-13,7.0692259574293015e-09,3.7627039597262943e-07,1.1690411640636047e-06,-0.00024884668033181226,-0.007970895698533058
600,-0.0003240885451277199,-1.6085475276974254e-06,0.00042465310724015023,3.811759586020467e-05,1.9498918899644405e-06,1.5252836187652805e-05,-2.3318876399011065e-07,-2.986774764663544e-06,2.9228410182629022e-08,-7.816519767073261e-08,-1.0262636912025885e-09,5.500386381828597e-07,1.967921394615161e-06,1.853172769013098e-10,7.516702377932995e-06,-9.82181117162735e-13,9.209418882472211e-09,4.986829035107644e-07,1.0704659220612746e-06,0.00038891524628631587,-0.01817365951501596
700,-0.0005531106416659513,-2.292165392586323e-06,0.0006803675022241173,4.407214113827965e-05,2.154181104394855e-06,2.0144456655500576e-05,-4.977489163989012e-07,-3.1901804865159423e-06,5.150571687726887e-08,-1.0307956125878644e-07,-1.3979597086173564e-09,7.096315256965236e-07,2.5907294947963635e-06,2.1729099062486857e-10,1.3712422184687794e-05,-1.7149290742377756e-12,1.0644280672311682e-08,6.906824926563641e-07,1.9113962623778947e-06,0.0006949083658194327,-0.029841099911416247
800,-0.0005733882673930805,-2.263520776598117e-06,0.0008592892332195602,4.976104528265215e-05,3.4725624392750217e-06,2.5144585160420524e-05,-6.268503457421763e-07,-5.443813613700725e-06,4.7635277456042e-08,-1.0776312171448984e-07,-2.0425956909226e-09,9.576126354606588e-07,4.124092125258597e-06,3.0904657529200724e-10,1.7369285427686084e-05,-2.2395467574069313e-12,1.505179828308803e-08,6.740566927909194e-07,3.308241485296442e-06,0.001285861300473392,-0.03060455645704431
900,-0.0007596854262784744,-3.480279896101878e-06,0.001013459604143005,6.140916087410662e-05,3.8459119280454365e-06,3.081419295928933e-05,-6.471460835599906e-07,-5.5390773727555616e-06,6.907108727519564e-08,-1.3760072440473886e-07,-2.400951733628174e-09,9.710239124910189e-07,5.130966812555637e-06,5.606249893756622e-10,2.1622682476704877e-05,-2.727696744140906e-12,1.6034665859433606e-08,9.762274890349756e-07,3.7940116286339964e-06,0.0015843841194026736,-0.044480307496523167
1000,-0.0008242960186224629,-3.324801789728044e-06,0.0010919433279464685,7.79153392832516e-05,4.085130452764612e-06,3.073928275268803e-05,-8.498556921926546e-07,-6.252652068760576e-06,7.712016990317643e-08,-1.430191213188252e-07,-2.9089768995842676e-09,1.2445031597524393e-06,5.456206012049591e-06,6.012408899447789e-10,2.924118404804647e-05,-2.7831177512455465e-12,2.1583759181068323e-08,1.0968982150285412e-06,5.213853625078143e-06,0.0019656082429668816,-0.04890672933941783
1100,-0.001001874028460797,-4.260167343718545e-06,0.0012548205896379674,8.232365339705909e-05,5.0523768077220705e-06,3.5907233423447685e-05,-8.659994885958982e-07,-8.198116530059877e-06,9.897599760674014e-08,-1.3504427792928964e-07,-3.307185647380056e-09,1.3727855727242788e-06,6.794612732571971e-06,7.309547588164966e-10,3.092421543129485e-05,-3.644898086912603e-12,2.5119831848874776e-08,1.1921164690914562e-06,5.768148476858373e-06,0.002257479942124951,-0.060802437973128974
