milliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
0,-8.395910033381843e-05,2.893281133158987e-07,-9.588252048825296e-06,-7.115435691184114e-06,-1.669926194099173e-07,-2.908958866366928e-06,3.770411393083637e-08,-6.510659379837115e-07,-4.666036630937107e-10,-3.1671729788433585e-10,-2.497834353930329e-10,8.982269391500723e-08,3.9773807412029495e-07,7.258450028705031e-12,2.1638642585655278e-06,-2.2059425697363761e-13,1.5922617926631032e-09,3.1588324374114e-08,3.297255748567799e-07,-0.0002021845528859459,-0.002111071256669241
100,-8.484910517056426e-05,-1.4608322162621927e-07,9.760075637848913e-05,3.4281200762683576e-06,8.990414229762463e-07,5.226665139283323e-06,-5.422594767045002e-07,-9.998402398951708e-07,-1.3019462257191138e-08,-2.5183967032055986e-07,5.34214146433738e-11,1.7741899594375362e-07,7.494419737833111e-07,1.3835191900658014e-10,-1.5493627112240617e-06,5.808139393921631e-13,4.172476190492028e-09,1.378940016547217e-07,6.651822636225933e-07,7.144561751436679e-06,-0.002108167402315683
200,-0.00020744411269304423,-4.544164379985924e-07,0.00011786011931190928,8.63695477148245e-06,1.3654960576381674e-06,1.275491432222641e-06,-3.4716120194608234e-07,-9.33129956907982e-07,-6.699380226349817e-09,-1.7859148236582232e-07,-2.053923953095253e-10,2.2812645854986063e-07,4.1853025490024006e-07,3.4290029681976775e-11,-6.64999251706377e-06,1.467818142425944e-13,1.3011575473799868e-09,2.0534379304913702e-07,-3.6884507232655057e-07,-0.0002808229348273616,0.004783407042830998
300,-0.00011593766323872723,-3.7982768133242156e-07,5.967447061120209e-05,8.464875355249893e-06,3.446997696197349e-07,6.155702129001559e-06,-1.3389780367152806e-07,-8.289522132930323e-07,-5.375735396642589e-09,-1.2066713696722792e-07,-1.1523269711008894e-10,1.7165200641394143e-07,4.677499554450017e-07,-6.844439634790409e-11,-2.90815434977259e-06,-3.6173340664051797e-13,3.3399535408928603e-09,6.105294096103543e-08,-3.0573280311405667e-07,-0.000430111136345925,0.006241125937938004
400,-0.00010691151012725244,-3.31680046840146e-07,7.283156436094561e-05,6.886214926258336e-06,5.905420606237176e-07,3.2381387465204866e-06,-1.0572264788453736e-07,-6.568748551221595e-07,1.1044023251754822e-08,-8.201107578514463e-08,-4.0623300194818537e-10,7.858099537686955e-08,1.1629800087557152e-06,-1.4987981198716885e-10,-8.040628200834233e-06,-1.741181042376301e-13,5.242887993509885e-09,2.06830438046898e-07,3.8647131297915736e-08,-0.0006250112592674694,-0.0029626008212737297
500,-0.00030111066941164677,-1.116984505064815e-06,0.0003595933893130757,1.4746459407786956e-05,1.287852023754209e-06,5.5162475792867305e-06,-1.522734714746845e-07,-2.5386228994125557e-06,1.672471208639836e-08,-7.210676297255747e-08,-5.015895995698283e-10,3.5732860443079217e-07,1.780446684899493e-06,-5.2971579138207533e-11,1.3345456714725705e-06,-6.1851848358757e-13,7.062000883074519e-09,3.113266629715563e-07,1.0200554379450984e-06,-0.00024112203963365936,-0.013294558694439703
600,-0.00036321809622791274,-1.3293296375367736e-06,0.0004947111388244795,3.5559074142930717e-05,1.8142710272273747e-06,1.0920958662053855e-05,-2.377978603879468e-07,-2.705250629105036e-06,2.3209332025477986e-08,-9.102470821774912e-08,-1.1158823174952535e-09,4.2634312609516685e-07,2.394176605188237e-06,2.1756185782090242e-10,4.904147723360439e-06,-1.3891414676429776e-12,9.583469870934339e-09,5.423448546605262e-07,1.5240265632804465e-06,0.00016212384186540456,-0.01654452416670392
700,-0.0005282588753602147,-2.088399424389177e-06,0.0005273964330482652,5.017206781343448e-05,2.263354621191186e-06,2.001396213216471e-05,-3.790556347712317e-07,-3.782360871823069e-06,4.293600239139886e-08,-1.1202310673620522e-07,-1.6075993054689682e-09,6.194043408739379e-07,2.9317708695157344e-06,3.0626117100457645e-10,1.0484176927948646e-05,-1.917964958243046e-12,1.4014356893474846e-08,6.01118704328007e-07,2.8896129133639895e-06,0.0007586840268089282,-0.02922448028431716
800,-0.0006143986972873436,-2.8247154876872095e-06,0.000709802880566569,4.792060133068206e-05,3.5754234593387134e-06,2.1179374473995488e-05,-5.499091025427104e-07,-5.3907124825131115e-06,5.409326508566167e-08,-1.0695043545386752e-07,-1.810681673042501e-09,8.347820675840969e-07,3.7277837461819853e-06,4.2299600287911876e-10,1.845041270040906e-05,-2.0757269563871562e-12,1.378060133700459e-08,7.705796949600015e-07,3.810902322806189e-06,0.0010365765328138221,-0.02980466892658716
900,-0.0008009888183563829,-3.3944579533951698e-06,0.0008673819699095985,7.039189993166522e-05,3.8966122725539915e-06,2.504584647389983e-05,-5.979199689166869e-07,-5.88171133258724e-06,6.963045064450067e-08,-1.3319064817822533e-07,-2.6196653961745987e-09,1.0408587701423807e-06,5.227270034656834e-06,5.847432511095593e-10,2.399051139727034e-05,-2.491143959383126e-12,1.6284911387295033e-08,8.549043870604887e-07,4.6149581355129514e-06,0.0016378778149586453,-0.040825075513716565
