miliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
0,4.439964210463555e-05,-2.5301362393857174e-08,4.1428511601244825e-05,3.7264968512642242e-06,-7.995830525236828e-08,-3.051320438874108e-06,3.266977714342103e-08,5.694246130286312e-07,8.45826709816581e-09,-1.1763531364613008e-08,3.6675971016370806e-11,1.147619776381655e-08,2.960685860871897e-07,1.905852235299569e-11,-9.410194096741193e-08,2.401040875975948e-13,4.021854197822989e-10,-3.2385148146335466e-08,-3.390272722546297e-08,-0.00020570611450287875,-0.001706860947870134
100,-0.00011406909675660392,-3.07128427146599e-07,0.0003044142824396114,7.782500021306459e-06,1.449407763255536e-06,3.3402934403540995e-06,-5.620266579451286e-07,-5.474590605026525e-07,-1.765020463724839e-08,-2.708784850907104e-07,5.015834580498265e-10,2.0974104221081945e-07,8.122050818395085e-07,8.228290650844175e-11,-1.1029226692328729e-06,5.139191124481568e-13,2.7922571914411324e-09,5.420112528322026e-08,-4.469127772420781e-07,-0.00027578373573237556,-0.0019193915763264092
200,-0.0001750597005299033,1.4804502992776082e-07,8.27031274821099e-05,3.270450468104892e-06,6.314519759113631e-07,1.0733891982545192e-06,-4.1213797031793374e-07,-9.572713661177772e-07,-1.3785418027263826e-09,-1.8459762476782916e-07,-1.4497156843899955e-10,1.3047882261286082e-07,4.627580925731323e-07,-1.4873838678728416e-11,-5.256338976445082e-06,1.5626819263467825e-13,4.754357968063673e-09,6.18469532998141e-08,-5.020740090954397e-07,-0.0003775717396752571,0.0018367030086803124
300,-2.02718737279941e-05,3.460797531683953e-08,0.0001604479981206374,1.5500835555948237e-05,7.515933573990345e-07,4.636756488956487e-06,-1.2662598334124533e-07,-1.2918413236040954e-06,6.6886065338883736e-09,-1.1650421658690479e-07,-1.6404049018642867e-10,1.9719593925891376e-07,6.156923073525106e-07,-1.0207036892651506e-10,-6.5473622592470615e-06,-3.752666748942824e-13,3.1584302959139444e-09,1.6499970915763054e-07,7.851228558304415e-08,-0.0004103197837844653,-0.001262060754162452
400,-7.17024752114775e-05,-6.231839274046159e-07,0.00016041258735049481,1.7716875578107608e-05,3.48331460886896e-07,-2.6598265611333582e-08,-1.1990290702079968e-07,-1.5192013851793804e-06,9.873055585236404e-09,-8.018627118911295e-08,-2.2671699431373831e-10,2.1841567558059418e-07,2.0717658097537036e-07,-1.1031698179081858e-10,-3.290719203822502e-06,-1.090406598968995e-13,2.0585060699880024e-09,1.8224137408190078e-07,-2.2830233880169658e-07,-0.000520084308178303,-0.004855333053611954
500,-0.00018229520361514614,-8.938649320358402e-07,0.0003754298733620663,1.3945594672158809e-05,1.3314361804006201e-06,7.385695560281363e-06,-2.119988048011818e-07,-1.7562643304579378e-06,1.626174702089492e-08,-7.486839792728301e-08,-7.130429672352196e-10,4.0406071762278874e-07,1.1788828175796643e-06,-6.858574443296883e-11,-1.6665903312242198e-06,-6.278661391892173e-13,5.24559170820404e-09,3.0972781903941746e-07,2.9778556352913065e-07,6.521041121181687e-05,-0.008234537738760256
600,-0.000274597970603972,-1.6504017849495392e-06,0.0004200981073680371,3.615354470109507e-05,1.6970658327603884e-06,1.5350953577071442e-05,-2.8110277586125786e-07,-2.9845511426509653e-06,2.625450022045246e-08,-9.474057357335411e-08,-8.899549496187917e-10,4.185609308660962e-07,1.981918805124545e-06,8.08699037485442e-11,1.7635010642555344e-06,-1.2162191553303003e-12,8.176794327659199e-09,3.644729388554712e-07,1.4390068965828484e-06,0.0003808684780798166,-0.0162334813260901
700,-0.0004802707703804292,-2.2376814429209527e-06,0.0005814015222573832,4.335446369497493e-05,2.9496684346201255e-06,1.577262929890927e-05,-4.608170751326806e-07,-3.3676118218536175e-06,4.080946176110296e-08,-9.599723226846532e-08,-1.451734643548985e-09,7.415713727814514e-07,2.748026772353119e-06,3.3495962250545957e-10,8.73509947073813e-06,-1.948513910873206e-12,1.2989795877126915e-08,6.450725748884133e-07,2.2630851497628724e-06,0.0008525958642558417,-0.031050601534237228
800,-0.0005807479198065801,-2.3989988639982216e-06,0.0009117141918941851,6.407380384788127e-05,3.595690506022867e-06,2.0397831448600346e-05,-5.761472055443783e-07,-4.991058421602303e-06,5.135973133067749e-08,-1.0359200442981711e-07,-1.9380479265702106e-09,7.994520131654534e-07,4.28506446050118e-06,3.4048524588276544e-10,1.7975472450208136e-05,-1.9864247457201144e-12,1.4806659074872813e-08,7.589021752958417e-07,3.5908064998259486e-06,0.0009690413534926563,-0.03780329810427217
900,-0.0007720513943019062,-3.4459805492214985e-06,0.0010823797627813635,5.9489393136636444e-05,4.063950782087396e-06,2.9886143305940934e-05,-7.008204987211954e-07,-6.175745987030439e-06,5.9183089520170305e-08,-1.170132741962236e-07,-2.397724031864291e-09,9.067700952799017e-07,4.774212056669784e-06,4.540175511374195e-10,1.8353796751934003e-05,-2.7876667491580316e-12,1.7778127420546885e-08,8.950034676329932e-07,4.301424347445324e-06,0.0017311529708936783,-0.04513647974520444
