miliseconds,Cm,Ct,T
0,0.0,0.0,2004399.3104961356
100,0.0,0.0,2007812.5466574593
200,0.0,0.0,2023116.6295885963
300,0.0,0.0,2027993.135617101
400,0.0,0.0,2045006.834585189
500,0.0,0.0,2063181.909462458
600,0.0,0.0,2062915.5886829419
700,0.0,0.0,2074205.7063528378
800,0.0,0.0,2090439.9068737936
900,0.0,0.0,2111168.5809074827
1000,0.0,0.0,2107515.842401232
1100,0.0,0.0,2135501.233790937
1200,0.0,0.0,2135871.9057774376
1300,0.0,0.0,2143513.9775936874
1400,0.0,0.0,2164647.292439304
1500,0.0,0.0,2176171.673334353
1600,0.0,0.0,2197377.5368937524
1700,0.0,0.0,2192101.771677075
1800,0.0,0.0,2210205.217343867
1900,0.0,0.0,2217448.681065829
2000,0.0,0.0,2248437.1419333736
2100,0.0,0.0,2260659.271953168
2200,0.0,0.0,2272766.9151605912
2300,0.0,0.0,2270936.6870189854
2400,0.0,0.0,2284711.812347896
2500,0.0,0.0,2294496.104346277
2600,0.0,0.0,2313218.4637796446
2700,0.0,0.0,2337074.740817187
2800,0.0,0.0,2350868.949351484
2900,0.0,0.0,2354664.310249822
3000,0.0,0.0,2365143.3079415206
3100,0.0,0.0,2380685.633000541
3200,0.0,0.0,2388483.7715484723
3300,0.0,0.0,2402507.7151664724
3400,0.0,0.0,2419828.3652080763
3500,0.0,0.0,2434947.4829179826
3600,0.0,0.0,2456558.738895561
3700,0.0,0.0,2465155.2556030983
3800,0.0,0.0,2486080.6582432548
3900,0.0,0.0,2495478.3605241734
4000,0.0,0.0,2502144.584810824
4100,0.0,0.0,2520037.750590671
4200,0.0,0.0,2540291.86486225
4300,0.0,0.0,2554858.5337770823
4400,0.0,0.0,2571731.407517558
4500,0.0,0.0,2569629.869636719
4600,0.0,0.0,2587594.3399260775
4700,0.0,0.0,2613575.1179575585
4800,0.0,0.0,2619291.340761224
4900,0.0,0.0,2643090.223644657
5000,0.0,0.0,2653788.026042402
