miliseconds,Cm,Ct,T
0,0.0,0.0,1993546.1063431574
100,0.0,0.0,2016232.457671596
200,0.0,0.0,2020183.9291135725
300,0.0,0.0,2036092.8565509748
400,0.0,0.0,2049357.5894114533
500,0.0,0.0,2053782.2029889105
600,0.0,0.0,2061107.617172563
700,0.0,0.0,2087654.4103914693
800,0.0,0.0,2089825.0503622887
900,0.0,0.0,2110205.634238174
1000,0.0,0.0,2107312.7098923395
1100,0.0,0.0,2131796.5664403234
1200,0.0,0.0,2148154.4695910383
1300,0.0,0.0,2151272.9574963194
1400,0.0,0.0,2171966.2554054055
1500,0.0,0.0,2182029.660596328
1600,0.0,0.0,2185778.4767952845
1700,0.0,0.0,2199708.5344254635
1800,0.0,0.0,2208297.8695630524
1900,0.0,0.0,2225705.0728950626
2000,0.0,0.0,2234270.7102971487
2100,0.0,0.0,2246187.73968388
2200,0.0,0.0,2271132.647473871
2300,0.0,0.0,2272149.0012871563
2400,0.0,0.0,2294935.1168189878
2500,0.0,0.0,2312115.9639875344
2600,0.0,0.0,2317374.2422146206
2700,0.0,0.0,2332963.0343457726
2800,0.0,0.0,2338125.9282517685
2900,0.0,0.0,2357282.8605361357
3000,0.0,0.0,2362174.0966924164
3100,0.0,0.0,2373330.3929111483
3200,0.0,0.0,2392549.7916184315
3300,0.0,0.0,2410925.28162876
3400,0.0,0.0,2429159.3343669935
3500,0.0,0.0,2436805.1030176235
3600,0.0,0.0,2460663.865875221
3700,0.0,0.0,2463875.38774012
3800,0.0,0.0,2480079.2006647284
3900,0.0,0.0,2486977.726324425
4000,0.0,0.0,2516637.196034402
4100,0.0,0.0,2512733.075040017
4200,0.0,0.0,2530522.5106026744
4300,0.0,0.0,2559640.494531885
4400,0.0,0.0,2571479.1934970757
4500,0.0,0.0,2583687.097338178
4600,0.0,0.0,2590008.311436209
4700,0.0,0.0,2608001.225383856
4800,0.0,0.0,2625119.424472078
4900,0.0,0.0,2636101.7696058713
5000,0.0,0.0,2656722.870937358
