miliseconds,Cm,Ct,T
0,0.0,0.0,2004882.2392630037
100,0.0,0.0,2016157.145314335
200,0.0,0.0,2021008.7596967437
300,0.0,0.0,2027881.6842071435
400,0.0,0.0,2045157.087944069
500,0.0,0.0,2049150.0635099283
600,0.0,0.0,2067192.5773196488
700,0.0,0.0,2072246.700541447
800,0.0,0.0,2086230.2661971617
900,0.0,0.0,2102125.0347933127
1000,0.0,0.0,2122527.6478409832
1100,0.0,0.0,2119064.6893608994
1200,0.0,0.0,2140761.0941120833
1300,0.0,0.0,2152685.1891167527
1400,0.0,0.0,2166771.276718908
1500,0.0,0.0,2169936.9944528835
1600,0.0,0.0,2187253.1389284036
1700,0.0,0.0,2205274.6796042835
1800,0.0,0.0,2209543.6963585867
1900,0.0,0.0,2217294.6626873375
2000,0.0,0.0,2235864.7026556362
2100,0.0,0.0,2250150.559863076
2200,0.0,0.0,2273328.235805825
2300,0.0,0.0,2275073.1413633507
2400,0.0,0.0,2286239.9582364685
2500,0.0,0.0,2298716.181740895
2600,0.0,0.0,2324740.8551054643
2700,0.0,0.0,2332931.2408601996
2800,0.0,0.0,2351429.1448563538
2900,0.0,0.0,2347297.50761735
3000,0.0,0.0,2370457.5802500267
3100,0.0,0.0,2376697.115606683
3200,0.0,0.0,2401679.6694730516
3300,0.0,0.0,2415689.268021473
3400,0.0,0.0,2432109.707700949
3500,0.0,0.0,2441009.783125268
3600,0.0,0.0,2444865.7748960527
3700,0.0,0.0,2455799.6267860522
3800,0.0,0.0,2471244.303007332
3900,0.0,0.0,2488438.7951284857
4000,0.0,0.0,2507375.9465879486
4100,0.0,0.0,2519343.6807086137
4200,0.0,0.0,2540625.0053173457
4300,0.0,0.0,2548792.1370564587
4400,0.0,0.0,2566205.2512593875
4500,0.0,0.0,2583144.081157596
4600,0.0,0.0,2591185.7934564417
4700,0.0,0.0,2611058.3470638813
4800,0.0,0.0,2630439.5495924167
4900,0.0,0.0,2644103.9609234496
5000,0.0,0.0,2661369.324332131
