milliseconds,Cm,Ct,T
0,0.0,0.0,1990334.9671239522
100,0.0,0.0,2011327.4090085698
200,0.0,0.0,2025351.6448847463
300,0.0,0.0,2039041.947000271
400,0.0,0.0,2041965.579126261
500,0.0,0.0,2058159.2959758781
600,0.0,0.0,2065633.1148369205
700,0.0,0.0,2087352.216746163
800,0.0,0.0,2087493.4426108652
900,0.0,0.0,2099184.968652321
1000,0.0,0.0,2121830.0826592282
1100,0.0,0.0,2121681.025528772
1200,0.0,0.0,2147365.5157464207
1300,0.0,0.0,2155506.8914707857
1400,0.0,0.0,2171019.348653318
1500,0.0,0.0,2179682.49223179
1600,0.0,0.0,2191562.697957606
1700,0.0,0.0,2204128.7304095183
1800,0.0,0.0,2219944.3636401584
1900,0.0,0.0,2231512.0599189764
2000,0.0,0.0,2237315.560264437
2100,0.0,0.0,2255512.137769224
2200,0.0,0.0,2260942.873478708
2300,0.0,0.0,2286719.37409801
2400,0.0,0.0,2294345.701679184
2500,0.0,0.0,2302711.4524404365
2600,0.0,0.0,2309176.1090164073
2700,0.0,0.0,2324023.71228305
2800,0.0,0.0,2348569.0619974826
2900,0.0,0.0,2351392.3209291277
3000,0.0,0.0,2361795.805397075
3100,0.0,0.0,2387148.239191565
3200,0.0,0.0,2393971.4443751234
3300,0.0,0.0,2415874.7830159506
3400,0.0,0.0,2419647.648269208
3500,0.0,0.0,2434196.470029364
3600,0.0,0.0,2458739.936840406
3700,0.0,0.0,2467177.3288550866
3800,0.0,0.0,2471539.0458007697
3900,0.0,0.0,2490682.3721189355
4000,0.0,0.0,2514973.9979931833
4100,0.0,0.0,2518256.2627594746
4200,0.0,0.0,2527007.5826034104
4300,0.0,0.0,2556468.4739955566
4400,0.0,0.0,2557829.5043358584
4500,0.0,0.0,2586320.163451733
4600,0.0,0.0,2592433.528453024
4700,0.0,0.0,2611215.1081331717
4800,0.0,0.0,2630318.518275944
4900,0.0,0.0,2642970.86069189
5000,0.0,0.0,2644342.703046007
