milliseconds,Cm,Ct,T
0,0.0,0.0,1995454.885358778
100,0.0,0.0,2019598.5761301883
200,0.0,0.0,2014057.6369488293
300,0.0,0.0,2026538.3780170684
400,0.0,0.0,2037243.8281734479
500,0.0,0.0,2065387.003250962
600,0.0,0.0,2067239.740050575
700,0.0,0.0,2074964.198136468
800,0.0,0.0,2085396.3449112715
900,0.0,0.0,2103147.068911948
1000,0.0,0.0,2124369.845248489
1100,0.0,0.0,2122927.1849470707
1200,0.0,0.0,2140073.6938559483
1300,0.0,0.0,2147474.1344656916
1400,0.0,0.0,2160743.5677739037
1500,0.0,0.0,2175209.6732401554
1600,0.0,0.0,2188084.8198194513
1700,0.0,0.0,2200137.498456851
1800,0.0,0.0,2214565.1027071583
1900,0.0,0.0,2232332.2102954537
2000,0.0,0.0,2234290.354668738
2100,0.0,0.0,2243060.3674195926
2200,0.0,0.0,2268106.236855137
2300,0.0,0.0,2285697.217626143
2400,0.0,0.0,2287415.2327685975
2500,0.0,0.0,2297261.822196591
2600,0.0,0.0,2317028.0562357544
2700,0.0,0.0,2325913.4954366605
2800,0.0,0.0,2336342.3516893336
2900,0.0,0.0,2359085.327350424
3000,0.0,0.0,2376336.625296774
3100,0.0,0.0,2375583.325642514
3200,0.0,0.0,2393430.267777929
3300,0.0,0.0,2404392.4221987464
3400,0.0,0.0,2428590.5581515925
3500,0.0,0.0,2439768.619201629
3600,0.0,0.0,2460498.727118496
3700,0.0,0.0,2463536.5787017844
3800,0.0,0.0,2482682.2171240356
3900,0.0,0.0,2490148.102022098
4000,0.0,0.0,2506380.1735221883
4100,0.0,0.0,2526901.215903474
4200,0.0,0.0,2537948.351231911
4300,0.0,0.0,2540336.396805584
4400,0.0,0.0,2561992.9162464705
4500,0.0,0.0,2575085.6558877206
4600,0.0,0.0,2594646.2147407173
4700,0.0,0.0,2610949.2982533798
4800,0.0,0.0,2622213.522502141
4900,0.0,0.0,2628958.8496972253
5000,0.0,0.0,2644251.8974493663
